CpG_ID,Epi,Fib,Fat,IC
cg02133070,0.793503467,0.268637564,0.929595951,0.908395146
cg14552882,0.919605572,0.313105967,0.594929336,0.983157534
cg16703420,0.784698154,0.143436309,0.542945485,0.824916214
cg17810360,0.73306237,0.211780696,0.738265507,0.883952947
cg18737349,0.856021726,0.284300519,0.927409541,0.921595941
cg04313733,0.857339098,0.314884586,0.927799171,0.978868414
cg18351406,0.109319453,0.693088948,0.277110742,0.030558202
cg24627789,0.765146359,0.228897052,0.902853877,0.910321376
cg21472050,0.947185936,0.344136855,0.935284593,0.978378103
cg24940096,0.775372621,0.135887456,0.707312699,0.927792203
cg16717546,0.757156908,0.205301929,0.801392828,0.910736262
cg20945212,0.851614533,0.316715432,0.922073483,0.984098437
cg10294853,0.872361399,0.28970224,0.69225175,0.924263506
cg19192280,0.10771838,0.741606595,0.14466751,0.065613402
cg10148419,0.833798231,0.098663682,0.542204707,0.971217032
cg16360831,0.908860414,0.311897171,0.65659495,0.95666501
cg16340136,0.634478481,0.140741117,0.585564133,0.772619073
cg11518826,0.883666509,0.151079955,0.514192496,0.896237056
cg11229267,0.723600296,0.204959954,0.928055419,0.885942454
cg01201932,0.736407601,0.269304041,0.807900206,0.926114775
cg04398893,0.799142453,0.127244868,0.585195705,0.935520834
cg09006039,0.779087359,0.216940514,0.917829563,0.907878286
cg15742515,0.729894496,0.14863546,0.442017438,0.865070978
cg09304624,0.793612529,0.113121861,0.697968329,0.898617319
cg03225502,0.843716249,0.253086235,0.9438332,0.935255494
cg17764838,0.856678267,0.306345426,0.968404752,0.97479876
cg24657419,0.753451081,0.230275571,0.815176429,0.932042521
cg02154084,0.797011495,0.253402787,0.839943041,0.869261489
cg24919476,0.778981489,0.235224066,0.747688915,0.906482481
cg18867781,0.803697322,0.168557293,0.55111505,0.888745979
cg03873264,0.884158743,0.322892323,0.961571831,0.968754434
cg17751550,0.810979558,0.19519089,0.878814357,0.964827315
cg19092343,0.822708856,0.264414979,0.957668036,0.877925294
cg25311507,0.781379073,0.261399855,0.819209357,0.911855862
cg19088503,0.740971268,0.128539978,0.919582881,0.848172508
cg04913974,0.704975286,0.150358491,0.819228452,0.851601926
cg11779299,0.772351281,0.177964056,0.984988114,0.910692119
cg10386298,0.187309816,0.755993783,0.144800915,0.024946205
cg20565833,0.770525974,0.286096449,0.81511623,0.963420514
cg04940695,0.844279925,0.293581813,0.89577503,0.981494546
cg27135989,0.736732547,0.210224226,0.929708058,0.89293342
cg14531663,0.136721368,0.798164133,0.27599085,0.047769376
cg26445785,0.814673608,0.278771942,0.800474872,0.931525883
cg24436715,0.222285401,0.820648066,0.34456525,0.068218718
cg21044434,0.780075174,0.133427194,0.742532368,0.960510797
cg18084999,0.945050985,0.226618159,0.963104143,0.934965877
cg26308042,0.834821428,0.237740289,0.681464522,0.968299923
cg11662745,0.733993255,0.233839365,0.860703297,0.906291515
cg13442709,0.868764036,0.278516869,0.739558467,0.92795871
cg05700616,0.803565878,0.288638221,0.718598357,0.962801625
cg12845215,0.860719011,0.210213442,0.900884455,0.894354413
cg03879386,0.871776295,0.273100677,0.9561407,0.941235069
cg12387464,0.757386645,0.240793755,0.821145194,0.887764314
cg22102078,0.93985546,0.251235759,0.946874714,0.908277218
cg19034132,0.079780639,0.856939464,0.652179859,0.042246061
cg12994591,0.703097787,0.149589271,0.682556876,0.822920193
cg20677267,0.92350427,0.201672558,0.610851442,0.917935472
cg03726785,0.755277204,0.2595331,0.884848361,0.901586368
cg18530920,0.853708969,0.332546058,0.84432802,0.973052197
cg23411036,0.734981712,0.187490826,0.54031448,0.819149461
cg20573218,0.736426188,0.087468365,0.749534227,0.881330538
cg21143224,0.855709782,0.287105373,0.741522298,0.978069186
cg00081799,0.835848402,0.265805886,0.89908015,0.9594548
cg06520081,0.741259235,0.126704989,0.627699931,0.8683631
cg14184077,0.785991077,0.275213793,0.90633807,0.902626291
cg06958537,0.151076291,0.641930626,0.272547589,0.00637933
cg10938393,0.744706611,0.086181905,0.867953243,0.924311803
cg07351758,0.885248934,0.20472111,0.954976487,0.986354326
cg03742629,0.821110571,0.267421705,0.790424294,0.89365247
cg00295325,0.765011954,0.122354111,0.474551472,0.798650295
cg10076958,0.757947632,0.228278587,0.759545557,0.899954387
cg02312706,0.846489368,0.246984749,0.611519466,0.958751063
cg22998873,0.680570987,0.165709786,0.764465812,0.877436472
cg23217025,0.098575087,0.708177999,0.454090721,0.071800875
cg05415931,0.85265669,0.196733115,0.538948162,0.868913862
cg23831864,0.806511501,0.285537971,0.94199974,0.923621821
cg26442740,0.733104011,0.229908089,0.890309786,0.906900786
cg19923393,0.789991314,0.056152181,0.4885783,0.983994221
cg18480946,0.748373836,0.213640799,0.954886066,0.866634221
cg26220985,0.752969756,0.073196409,0.606493587,0.817898561
cg14744743,0.703921224,0.185192628,0.726176454,0.834855508
cg00764796,0.171297804,0.78599608,0.51221075,0.043182903
cg05701478,0.888355668,0.279417616,0.727131995,0.975736006
cg00979178,0.730729774,0.237701797,0.865849888,0.922392731
cg25942572,0.94014428,0.337897466,0.885665146,0.986143646
cg22538355,0.759814881,0.190759288,0.639604718,0.888423714
cg16363708,0.940962709,0.314879633,0.816491272,0.978197606
cg07466560,0.838551418,0.224081652,0.83747822,0.983122167
cg09169764,0.801741421,0.245667634,0.914858239,0.882215493
cg04540711,0.846784015,0.298866379,0.746093498,0.948996272
cg11515115,0.971827022,0.302585444,0.969943245,0.98476845
cg03271520,0.716630273,0.227600366,0.887032903,0.916519776
cg15503018,0.790033974,0.232947379,0.557613307,0.888930224
cg13729285,0.739555734,0.133388003,0.555447156,0.871576677
cg20390015,0.720650363,0.243352262,0.749462386,0.891891426
cg02294420,0.830579827,0.268776535,0.733036026,0.949834786
cg17160666,0.71696032,0.138136188,0.630696606,0.965019743
cg08814536,0.703258112,0.064407249,0.486851226,0.828466239
cg11061774,0.7766142,0.245044469,0.710702068,0.906003662
cg04138378,0.866245563,0.337289461,0.703298315,0.992111423
cg18798446,0.725070481,0.187944818,0.694392813,0.923553197
cg23943495,0.745446174,0.217888548,0.816390461,0.917157857
cg12448298,0.714792494,0.205822439,0.724601032,0.890394788
cg11382687,0.757116867,0.067057323,0.63126563,0.983423822
cg13625388,0.736295687,0.171412837,0.627522523,0.874882033
cg14186944,0.875100506,0.268589255,0.679500009,0.960561361
cg21451309,0.765991492,0.060051007,0.567695188,0.959073192
cg12332558,0.921942208,0.360944351,0.937207745,0.985939823
cg25140419,0.197409489,0.797551722,0.262795582,0.079517207
cg01733284,0.773469075,0.319084746,0.903194345,0.95944326
cg24727339,0.873795247,0.240559445,0.771705721,0.965999455
cg13852116,0.749913292,0.211378844,0.845101395,0.884702822
cg03113045,0.849681614,0.246860476,0.952252865,0.958409491
cg06936290,0.019065437,0.010946379,0.581800255,0.010635723
cg23662097,0.061622449,0.043124816,0.662548018,0.022930739
cg04786142,0.07417555,0.070097446,0.65198645,0.094257794
cg26579713,0.058124556,0.020323158,0.798857511,0.020169566
cg05973398,0.046140042,0.048717819,0.597689854,0.025777777
cg13414270,0.023039508,0.042380382,0.590900384,0.040732891
cg00041401,0.057289724,0.054737224,0.645554063,0.004449123
cg03003434,0.01882691,0.104776632,0.657623079,0.008595924
cg27640794,0.069983624,0.061728791,0.608877297,0.034249715
cg14385738,0.06975528,0.053061561,0.651663317,0.010177326
cg22261694,0.171129821,0.158306314,0.804025517,0.10748841
cg01190109,0.923488104,0.858207474,0.334945235,0.944461113
cg06659209,0.879551623,0.916765565,0.343480626,0.901261364
cg09853702,0.028138542,0.034574464,0.692075378,0.077216944
cg13309012,0.087158764,0.099837669,0.769960912,0.018679583
cg25592413,0.081937244,0.026492433,0.720045991,0.01815432
cg13242558,0.111974279,0.106929683,0.609935216,0.0785802
cg08443563,0.038368193,0.034829443,0.647692613,0.059563554
cg16640865,0.066055519,0.108043017,0.59200785,0.066031125
cg07996838,0.103169102,0.071698891,0.588178241,0.078012484
cg03663556,0.020911266,0.126511842,0.649895091,0.009614108
cg09784934,0.089777958,0.124901764,0.646209407,0.065876445
cg06636485,0.936169602,0.979801069,0.299064378,0.977109679
cg05902503,0.905170808,0.881521828,0.386414658,0.951916849
cg11854392,0.057017268,0.117987145,0.613491541,0.016110322
cg08368520,0.87686502,0.789442427,0.3492712,0.930949952
cg21786786,0.841640046,0.806158984,0.2902123,0.81833966
cg09248694,0.081684426,0.141574213,0.698470161,0.022825792
cg12744447,0.88130072,0.821116938,0.396868062,0.912180087
cg13544946,0.118612532,0.047194355,0.575896205,0.028946999
cg13327911,0.033224757,0.030612826,0.731804765,0.091087879
cg25388800,0.046735621,0.136681741,0.577795397,0.002943527
cg20935363,0.062327741,0.117360814,0.62087345,0.019508219
cg03731202,0.035914367,0.134507052,0.680739493,0.063635315
cg18935743,0.896732701,0.821089315,0.374213653,0.94721329
cg14858786,0.920119395,0.883086157,0.42258145,0.980926136
cg22117968,0.961898113,0.830842132,0.4207807,0.975837685
cg00916635,0.149228268,0.17362393,0.836197393,0.002793962
cg00238510,0.858904061,0.762560324,0.350439439,0.953329548
cg09869811,0.882809402,0.867048079,0.301073681,0.98824252
cg10728351,0.114163912,0.243530917,0.78182296,0.041568556
cg25188166,0.807525735,0.896216847,0.047357389,0.933737292
cg18944451,0.103809442,0.169260968,0.69778045,0.050465574
cg22335802,0.778748946,0.661579255,0.1514429,0.864514258
cg12379452,0.918011662,0.867145653,0.384517674,0.898026607
cg26821745,0.193204326,0.165119063,0.76519279,0.121981548
cg24900563,0.123884273,0.134439525,0.732869216,0.014183129
cg20144066,0.835276349,0.753867535,4.02e-22,0.93863656
cg25916282,0.106312498,0.169584556,0.78327945,0.039474538
cg12656085,0.055233493,0.295514071,0.787648614,0.057780566
cg23052776,0.088293979,0.033703584,0.868261829,0.096074062
cg20594841,0.874353514,0.847112729,0.40504426,0.935891674
cg14597862,0.720741413,0.805431618,0.124058008,0.843510188
cg03518729,0.049111352,0.21939371,0.672612054,0.010095913
cg08626131,0.75906562,0.639709653,0.153681341,0.822108409
cg10781087,0.782318084,0.814857424,0.310058283,0.975453981
cg13180315,0.092333859,0.196134997,0.72802035,0.020273309
cg19244380,0.836661278,0.850144213,0.32228951,0.97767701
cg06390651,0.177084992,0.206216659,0.71128145,0.110108845
cg05737153,0.894358563,0.752413867,0.390206497,0.957845322
cg02286008,0.913006479,0.795146129,0.37262925,0.988779469
cg06718369,0.80063316,0.725760423,0.286555499,0.935335945
cg21308365,0.102254621,0.311244839,0.80410899,0.065492793
cg16163382,0.067952737,0.089316044,0.789251226,0.127398939
cg02555579,0.87760889,0.777054297,0.397132121,0.95518923
cg15242225,0.139975448,0.161791503,0.726743278,0.021935617
cg04221117,0.198842458,0.152265947,0.62114481,0.027209573
cg12819548,0.805231692,0.875162313,0.402607556,0.962355782
cg17113029,0.098524517,0.253267767,0.632675024,0.067356775
cg22539670,0.86832992,0.759081097,0.362556026,0.954223797
cg23195763,0.884482169,0.869279247,0.350655552,0.986209409
cg18634175,0.858640502,0.821665259,0.266910054,0.785278063
cg25766247,0.111197632,0.1509277,0.698084596,0.074329162
cg06225634,0.213035555,0.399405162,0.753687295,0.205589173
cg25639095,0.848873014,0.837037051,0.37014615,0.910366533
cg06633978,0.211120727,0.063717321,0.740281484,0.010727115
cg22319016,0.739386202,0.916239887,0.331769725,0.95607964
cg13435834,0.765386503,0.803594097,0.36278315,0.898634273
cg15697160,0.110453739,0.126007925,0.598069364,0.040829592
cg07249433,0.855798301,0.853355036,0.4369977,0.985464685
cg09401639,0.846197882,0.878221542,0.280473524,0.923244642
cg20017683,0.840294911,0.883672538,0.399428677,0.968225961
cg01535312,0.882735716,0.74454679,0.311312103,0.950911353
cg14940165,0.158345934,0.185022775,0.591990432,0.060825445
cg09015246,0.23343989,0.085820953,0.634748965,0.027441647
cg14640149,0.090710059,0.338890784,0.703685111,0.017462029
cg24485696,0.834973704,0.807424053,0.295287347,0.955578599
cg04268405,0.926868152,0.737477904,0.385652348,0.984035872
cg17799287,0.061383125,0.236923989,0.648549353,0.102375687
cg13427361,0.153634315,0.332172181,0.754860618,0.083559065
cg10255237,0.14355699,0.151357542,0.705409617,0.011681022
cg12057190,0.060857726,0.331339789,0.575300312,0.036667858
cg19252956,0.958179198,0.946869572,0.89739199,0.008772245
cg26112797,0.960217473,0.956021196,0.927329504,0.001756993
cg16509569,0.979050624,0.978270485,0.898054003,0.006030438
cg07137244,0.949707978,0.943244004,0.9148981,0.010966574
cg00037681,0.961510068,0.964375244,0.890618215,0.015143692
cg11802899,0.974079303,0.97413265,0.867330505,0.006219681
cg12192582,0.963317302,0.967893962,0.888658012,0.017058578
cg10530767,0.945436487,0.948130925,0.861469468,0.007531701
cg23966363,0.948749876,0.96818078,0.891886564,0.011866671
cg15159247,0.969251027,0.967048757,0.867548711,0.00803112
cg10590292,0.967055378,0.96995894,0.90655501,0.048421384
cg25574765,0.971717091,0.969680347,0.8764593,0.007465883
cg23612220,0.963138365,0.967132028,0.863794791,0.010799274
cg01903374,0.939334849,0.945662796,0.856767703,0.007974147
cg05596756,0.976439897,0.981842376,0.851187956,0.006086343
cg09153080,0.939391889,0.908671777,0.83728639,0.013964861
cg07380416,0.969818542,0.964518101,0.836913162,0.006655575
cg09638208,0.949106007,0.915322162,0.819447094,0.006331689
cg18384097,0.952183113,0.966863712,0.884612128,0.049297667
cg14556909,0.957832963,0.954865309,0.8359287,0.041482737
cg11804789,0.959132224,0.926677751,0.845926702,0.017946718
cg15046675,0.951668031,0.957055744,0.822776898,0.005548757
cg00240653,0.961547644,0.884905674,0.896813675,0.001054045
cg27641239,0.946209115,0.948533699,0.814615909,0.002484192
cg21376733,0.96068807,0.973742716,0.851326294,0.00341819
cg01631215,0.929998275,0.948512846,0.804186469,0.018577634
cg26232412,0.956404457,0.964678579,0.83525125,0.026113717
cg08075204,0.97439224,0.974037233,0.8216096,0.035216422
cg07354583,0.959231946,0.910470922,0.911328963,0.011949573
cg13399952,0.919343764,0.957787455,0.88023625,0.023622957
cg00166343,0.923749816,0.958740872,0.839840534,0.013590233
cg03028216,0.964874643,0.943713694,0.878480319,0.024625389
cg25765104,0.961858306,0.944774383,0.784318161,0.005563889
cg11733245,0.938191902,0.891486506,0.894311234,0.007027964
cg22687244,0.928872106,0.925588626,0.899196034,0.014483279
cg18555277,0.964190507,0.964434519,0.775313895,0.006729036
cg02597698,0.944572582,0.951553916,0.768603094,0.010467894
cg00702417,0.966245995,0.928981067,0.790647234,0.025035306
cg10673833,0.960532068,0.975011821,0.79852625,0.041322996
cg06380123,0.93239526,0.951929188,0.756315983,0.016773007
cg26215003,0.966492457,0.95384215,0.83781999,0.015143805
cg13496041,0.070157164,0.042682057,0.182534,0.981311119
cg06064964,0.935156616,0.955718606,0.787065505,0.016671377
cg16117781,0.935704098,0.910546961,0.851005784,0.017691458
cg04785083,0.938053101,0.947858962,0.911702796,0.012251883
cg14845962,0.020283187,0.020129359,0.19898445,0.954855654
cg03519577,0.918868413,0.957765759,0.774147167,0.014242284
cg05258935,0.027810622,0.021581976,0.23634045,0.980546725
cg07860918,0.943959551,0.964376795,0.86141009,0.023123958
cg24749672,0.972803498,0.97651898,0.7572768,0.026155577
cg25913612,0.949767623,0.951583936,0.752106005,0.013789827
cg05608541,0.946218286,0.919580246,0.809816363,0.016827914
cg01382502,0.898684928,0.955727771,0.864863379,0.004997361
cg12116027,0.038739439,0.046760029,0.257774891,0.984623445
cg18621299,0.959339961,0.967945781,0.734181561,0.017623423
cg04441857,0.970211186,0.97499328,0.85772691,0.03245218
cg09354037,0.971512084,0.937917655,0.74400304,0.009041618
cg14106719,0.913745264,0.906221972,0.877410934,0.003492494
cg25588348,0.026576755,0.01158076,0.257870794,0.983839973
cg25666403,0.955136825,0.966947928,0.7086545,0.010137021
cg02237342,0.951512234,0.942882386,0.7906007,0.028314043
cg27482619,0.952353028,0.954742943,0.710287411,0.028293349
cg08846870,0.027981553,0.022187428,0.2833197,0.979672006
cg19645616,0.045542167,0.040552422,0.288404226,0.97820192
cg10257110,0.02200886,0.051666941,0.203582554,0.961549651
cg22961212,0.034890777,0.019682455,0.281692945,0.97367672
cg11166893,0.941374444,0.956937092,0.848908588,0.031070624
cg08640619,0.022228345,0.018855313,0.290831118,0.976776952
cg14313184,0.075890418,0.017999591,0.202544781,0.989366245
cg03436397,0.944606633,0.912341893,0.753689154,0.000374606
cg16890093,0.957046635,0.976236775,0.703233812,0.010778734
cg19853565,0.028795727,0.023215695,0.276120822,0.954590956
cg02794695,0.947190121,0.9010101,0.759224064,0.010189237
cg18918390,0.050899997,0.040756771,0.306733719,0.975604451
cg18908499,0.939017164,0.949303064,0.795044972,0.026826081
cg21188037,0.910998476,0.94391606,0.787354478,0.004863047
cg09030187,0.033005301,0.023152206,0.238341034,0.954699374
cg18091964,0.963585656,0.946585786,0.865509398,0.04209663
cg05494668,0.017120525,0.023377352,0.284000405,0.958366359
cg02522196,0.971363768,0.970374425,0.91151239,0.034106381
cg08846079,0.028045718,0.013976245,0.292451697,0.956282824
cg08616663,0.0501181,0.016938662,0.250549261,0.961172649
cg12431891,0.0582625,0.022770782,0.255496364,0.975628343
cg08101036,0.028589143,0.044225954,0.31494345,0.985583638
cg04960065,0.945694689,0.953563212,0.686885602,0.009931431
cg06787669,0.942965071,0.955035181,0.67356315,0.010040103
cg09735908,0.949064254,0.971165158,0.675972341,0.016140612
cg23013029,0.970428165,0.97308415,0.79497629,0.04078868
cg01062942,0.024444884,0.014340569,0.32938279,0.977185112
cg02026204,0.96812178,0.974249522,0.65543255,0.005418776
cg17936488,0.964016664,0.961441811,0.647911383,0.008526454
cg08251901,0.947407399,0.956116099,0.65410199,0.004287715
cg11748354,0.955123327,0.976086562,0.667764952,0.016120624
