cpg,breast_bc_hc,breast_bc_case,breast_delta_bc,breast_mean_beta_hc,breast_mean_beta_case,breast_sd_beta_hc,breast_sd_beta_case,breast_delta_var,breast_bimodal_in_hc,breast_lost_in_case,breast_loss_of_bimodality,breast_in_residual_concordant,ad_bc_hc,ad_bc_case,ad_delta_bc,ad_mean_beta_hc,ad_mean_beta_case,ad_sd_beta_hc,ad_sd_beta_case,ad_delta_var,ad_bimodal_in_hc,ad_lost_in_case,ad_loss_of_bimodality,ad_in_residual_concordant,double_disease_gain_of_bimodality,double_disease_loss_of_bimodality,opposing_bimodality_pattern,residual_map_firing_pattern,CHR,MAPINFO
cg00023321,0.3041261577503344,0.2850108904910735,-0.0191152672592609,0.8927793035042777,0.8656386213415945,0.0349592095350379,0.053986177986848,0.0016923610823129,False,True,False,True,0.3200343639263709,0.3072557688062598,-0.0127785951201111,0.867718932059448,0.8682638757763975,0.0143964163962754,0.0152340386317769,2.4819127979523332e-05,False,False,False,False,False,False,False,fires_breast_only,6,31543586.0
cg00025331,0.3050700406382014,0.2997481970272848,-0.0053218436109166,0.916045226099004,0.9118614542090993,0.0132390430792171,0.0186846498342774,0.0001738438777761,False,True,False,False,0.3645333121373017,0.3724922248422695,0.0079589127049678,0.922407753715499,0.9235628881987578,0.0114652057092856,0.0103399033572573,-2.453734051881387e-05,False,False,False,False,False,False,False,fires_neither_background,2,144389783.0
cg00026290,0.3093876265783553,0.3998218097034339,0.0904341831250786,0.1892890914852655,0.1818445905520027,0.0462883322467887,0.0434524055508982,-0.0002544981540293,False,True,False,False,0.306328336682925,0.3715673046960256,0.0652389680131007,0.1554055753715499,0.1417601987577639,0.0417068069436672,0.0435195414853804,0.0001544927456614,False,False,False,True,True,False,False,fires_AD_only,4,10684930.0
cg00028336,0.2717015449335501,0.3083114802386204,0.0366099353050702,0.9297085599653104,0.9296645806736816,0.0147422955728459,0.0230478086456383,0.0003138662046088,False,True,False,False,0.3154108159544792,0.3408734665081043,0.0254626505536251,0.9015393970276008,0.9024380745341616,0.0138982725657632,0.0121808852759932,-4.478801420533643e-05,False,False,False,False,False,False,False,fires_neither_background,4,185820634.0
cg00028929,0.3399992622376605,0.3873242099808925,0.047324947743232,0.6998243699538479,0.7064273042615103,0.0426068527071441,0.0557354939175746,0.0012911013846277,False,True,False,False,0.3709321153876714,0.4645597375055849,0.0936276221179134,0.7667205902335457,0.7686236397515527,0.0488372457319274,0.0499292390103926,0.0001078523374762,False,False,False,False,False,False,False,fires_neither_background,12,52514694.0
cg00031013,0.2553275226279189,0.4333967525538185,0.1780692299258995,0.8698662931568353,0.8599392693967295,0.0337947934905983,0.0392992292579972,0.0004023413532004,False,True,False,False,0.4146772596962397,0.4551662000479881,0.0404889403517483,0.8640138259023354,0.8642790869565218,0.0259749486532666,0.0334807925941112,0.00044626551519,False,False,False,False,False,False,False,fires_neither_background,17,7854615.0
cg00031187,0.7125904312635457,0.2997977362484471,-0.4127926950150986,0.8695838218512174,0.8753834222237387,0.0358101799536729,0.0216353697316369,-0.0008142797648898,True,True,True,False,0.2898867490324831,0.3873890500284865,0.0975023009960033,0.8725790934182591,0.8757478509316771,0.0185936012157402,0.0169371193109288,-5.885599561733816e-05,False,False,False,False,False,False,True,fires_neither_background,12,31370063.0
cg00034336,0.3427321590724518,0.3055261326872377,-0.037206026385214,0.1694308830345149,0.1544614659752514,0.0565855098939186,0.0549407220151758,-0.0001834369944059,False,True,False,False,0.3130303450447348,0.426354469578892,0.1133241245341572,0.2033737176220807,0.1911179068322981,0.0640957988443602,0.067358569691317,0.0004289054813633,False,False,False,False,False,False,False,fires_neither_background,2,8543996.0
cg00037681,0.2941633701310759,0.5475561628770295,0.2533927927459535,0.0552124661519261,0.0741284828437012,0.0292027280586451,0.0355399751224763,0.000410290505639,False,True,False,True,0.3411832587602658,0.4578254405256762,0.1166421817654104,0.0386798747346072,0.0373593664596273,0.0072036413873447,0.0082278945329967,1.580579920865132e-05,False,False,False,False,True,False,False,fires_breast_only,12,47216588.0
cg00041401,0.1795728522224949,0.2126019825281779,0.033029130305683,0.0385928687085633,0.0379183696673423,0.0098819885785723,0.0104377587998018,1.129311049580752e-05,False,True,False,False,0.3044018044999927,0.3102978821137936,0.0058960776138008,0.0247774288747346,0.0244674658385093,0.003596938858508,0.00385924905589,1.9558341235428712e-06,False,False,False,False,False,False,False,fires_neither_background,1,113871786.0
cg00041575,0.2369571295172673,0.3368706326094481,0.0999135030921807,0.0899720329998989,0.0906720567699615,0.0347957799520278,0.0550811866843455,0.0018231908240857,False,True,False,False,0.5680879931902533,0.507926718664519,-0.0601612745257342,0.0434534203821656,0.0405998322981366,0.0147284694224921,0.0111086342416811,-9.352605681383552e-05,True,True,True,False,False,False,True,fires_neither_background,11,2301511.0
cg00041865,0.4336817744079735,0.6771189945119612,0.2434372201039877,0.97224241123799,0.9588876211231244,0.0189769044478609,0.0413511055342784,0.0013497910264837,False,False,False,True,0.3172920612662068,0.266840335919247,-0.0504517253469597,0.9192359129511676,0.919814093167702,0.0055357263267566,0.0049737678220354,-5.90589961723127e-06,False,False,False,False,False,False,True,fires_breast_only,5,14904314.0
cg00043076,0.3548609478583061,0.4134592833211429,0.0585983354628368,0.919957854471652,0.9216490806598688,0.030060632232456,0.0347160807423798,0.0003015646518964,False,True,False,False,0.4786137960231245,0.6304782022118606,0.1518644061887361,0.8958172314225051,0.8975278944099377,0.0179073920679734,0.0191615540332727,4.649046229391408e-05,False,False,False,False,True,False,False,fires_neither_background,4,8442050.0
cg00045753,0.2733489702043896,0.5483057979748966,0.274956827770507,0.9351618131067088,0.9266606518779458,0.0310831191507299,0.0349777050144139,0.0002572795519368,False,True,False,False,0.3798385571793765,0.3855028150428009,0.0056642578634243,0.8815927643312101,0.882522695652174,0.0163722376590217,0.0179572991472282,5.441442669955245e-05,False,False,False,False,False,False,False,fires_neither_background,9,120868267.0
cg00047683,0.2543379748770034,0.3315043611774299,0.0771663863004265,0.9242850170108672,0.9182903329033716,0.0222396192141178,0.0260884912248093,0.0001860087115979,False,True,False,False,0.582617088266246,0.3822615031470138,-0.2003555851192321,0.8867347813163481,0.8905061801242234,0.0246403523408628,0.0190606022363172,-0.0002438404058707,True,True,True,False,False,False,True,fires_neither_background,16,72000223.0
cg00048743,0.3397479171782367,0.3890965422669664,0.0493486250887296,0.2408835914029687,0.2323175683980339,0.0791233319082781,0.1011055744068148,0.0039618355238644,False,True,False,False,0.5848010357082097,0.5505766522371506,-0.0342243834710591,0.1512750297239915,0.1507455652173913,0.091145013048807,0.0942440035297195,0.0005745187976425,True,True,True,False,False,False,False,fires_neither_background,5,141402800.0
cg00051307,0.2997563251383923,0.3952862337408764,0.0955299086024841,0.885842461047641,0.8847360329967127,0.0199518099032591,0.0233673546837872,0.0001479585465021,False,True,False,False,0.4133539327413019,0.4354982207281507,0.0221442879868488,0.8702187303609341,0.8665499627329193,0.024935317233806,0.023536389311258,-6.780842373944169e-05,False,False,False,False,False,False,False,fires_neither_background,5,73228366.0
cg00057966,0.4859772358929769,0.1880466818029398,-0.2979305540900371,0.0377194865764515,0.0352050556477661,0.0210416953513748,0.0135935426881443,-0.0002579685404456,False,True,False,False,0.3442428875226622,0.4242415538393584,0.0799986663166962,0.0262799341825902,0.0264347763975155,0.0037410873225886,0.0036857289763613,-4.111362680438814e-07,False,False,False,False,False,False,True,fires_neither_background,17,58331333.0
cg00058887,0.5018485862548513,0.4917578399235899,-0.0100907463312613,0.8768807339750293,0.875610869280301,0.0462736969401314,0.0598150325755912,0.0014365830935119,False,True,False,False,0.6109095412948956,0.6767513032299994,0.0658417619351038,0.8376796369426751,0.8331153291925467,0.0812362940424206,0.0986705509320522,0.003136542151488,True,False,False,False,False,False,False,fires_neither_background,4,183987865.0
cg00067884,0.3974625850956112,0.3424622426028776,-0.0550003424927336,0.950175063191449,0.9270108718488592,0.0256906491799825,0.035868016266199,0.0006265051355833,False,True,False,True,0.3214655581562901,0.4702747205695018,0.1488091624132116,0.9256962781316348,0.9248807329192548,0.0063922017883769,0.0074976353928736,1.5354292781142743e-05,False,False,False,False,False,False,True,fires_breast_only,15,63677999.0
cg00070899,0.4090183156722003,0.3309400605246311,-0.0780782551475692,0.8900651611475066,0.883315085987707,0.0347695573022923,0.0316518355016524,-0.0002070834243737,False,True,False,False,0.4467664925124873,0.4327125031808654,-0.0140539893316219,0.7783937558386412,0.7698016149068323,0.0823613052639188,0.0859394838400154,0.0006022102779118,False,False,False,False,False,False,False,fires_neither_background,6,34056702.0
cg00075967,0.3270401158171483,0.3240131897797995,-0.0030269260373488,0.8241052141528827,0.8146857938808494,0.03735376645985,0.0429931017760836,0.0004531029315916,False,True,False,False,0.3939365246486012,0.4429013377613313,0.04896481311273,0.7534590106157112,0.7526141925465838,0.0567346944865936,0.0648893538038517,0.0009918026785943,False,False,False,False,False,False,False,fires_neither_background,15,74203013.0
cg00078348,0.3379158998720423,0.3758115669256643,0.037895667053622,0.6814844397311681,0.701655481392633,0.0569745176862134,0.0710747630350796,0.001805526274916,False,True,False,False,0.3725073893409742,0.3608927767093513,-0.0116146126316229,0.6229028343949045,0.6112963167701864,0.0554519224421476,0.0532781638960116,-0.0002363529543996,False,False,False,False,False,False,False,fires_neither_background,11,113974765.0
cg00081602,0.2902644478100342,0.2780688904480047,-0.0121955573620294,0.9415397559476968,0.9381788926420216,0.0175646789080457,0.0248492385264326,0.0003089667102007,False,True,False,False,0.4940536512390039,0.4949835103872605,0.0009298591482566,0.9295109235668793,0.9310243229813664,0.0120927461465276,0.0095223137298679,-5.5560050594327234e-05,False,False,False,False,False,False,False,fires_neither_background,5,73627132.0
cg00082235,0.3554968949924091,0.3738449944862335,0.0183480994938243,0.0551489068416503,0.0494653661813761,0.0096766458178395,0.0142900597634387,0.0001105683337587,False,True,False,False,0.3634138447886724,0.2806148973184012,-0.0827989474702711,0.0340750467091295,0.0342520434782608,0.0056191811932807,0.006048853817406,5.01343522142782e-06,False,False,False,False,False,False,False,fires_neither_background,12,6555370.0
cg00090674,0.6552126814678492,0.4248461659405715,-0.2303665155272776,0.9038431281991234,0.8959279530641672,0.0310703636968707,0.0175031997581105,-0.0006590054984835,True,True,True,False,0.3473557864702027,0.6666154216262105,0.3192596351560077,0.9031140530785564,0.9001549254658384,0.0158211593721874,0.0241417453080635,0.0003325147826392,False,False,False,False,False,False,True,fires_neither_background,22,50008249.0
cg00092400,0.2539324931929512,0.5813829814959691,0.3274504883030179,0.1524912086125427,0.1518209117057648,0.0345306276245289,0.0517000298452905,0.00148052884186,False,False,False,False,0.3683074504548488,0.5349138050749236,0.1666063546200747,0.124234212314225,0.1181849875776397,0.0324727461062732,0.0389276612850662,0.0004608835734423,False,False,False,False,True,False,False,fires_neither_background,12,51394501.0
cg00098182,0.3198059498425431,0.3511661540983371,0.031360204255794,0.7926462884295682,0.7967468508338529,0.0403109462243399,0.0497757753531944,0.00085265542651,False,True,False,False,0.3091570796567474,0.4929169431466325,0.1837598634898851,0.7919982484076433,0.7967107329192545,0.0528030075096456,0.0533149262180345,5.432375557077934e-05,False,False,False,False,False,False,False,fires_neither_background,15,22879895.0
cg00100680,0.6014195670934297,0.4905100152145972,-0.1109095518788325,0.980350741947316,0.9716389701069316,0.0178165798343126,0.0178809316833398,2.2972008718304625e-06,True,True,True,True,0.6592371380629028,0.9409222900181904,0.2816851519552876,0.9507554925690022,0.9486382795031056,0.0131719681528877,0.0377943593268577,0.0012549128519069,True,False,False,False,False,False,True,fires_breast_only,4,4404473.0
cg00101602,0.5577623714898703,0.4170445419141511,-0.1407178295757192,0.9137201240058056,0.90739749097144,0.0295023431997393,0.0220889928235236,-0.0003824646503175,True,True,True,False,0.422096955657161,0.3674382259020365,-0.0546587297551244,0.910262617834395,0.9112759192546585,0.0109718283455916,0.0101920214279204,-1.6503716457938673e-05,False,False,False,False,False,False,False,fires_neither_background,10,72098085.0
cg00118342,0.3280214896935788,0.3057875203503217,-0.0222339693432571,0.0689324655292037,0.0645003647573359,0.0210811761044677,0.0297975715509861,0.0004434792843885,False,True,False,False,0.5004339350067688,0.4735281024627446,-0.0269058325440241,0.0500009278131634,0.0506276335403726,0.0138131546441993,0.0125630065150073,-3.2974108528447174e-05,False,False,False,False,False,False,False,fires_neither_background,2,106160582.0
cg00130808,0.2976960044098494,0.4947129026323347,0.1970168982224853,0.7075404516970901,0.6630637572841308,0.0794676273907648,0.1009748694305665,0.0038808204534025,False,True,False,True,0.2904577229159277,0.3613782682454887,0.0709205453295609,0.660763872611465,0.6736977329192547,0.0860514496393323,0.1066524452623894,0.0039698920954164,False,False,False,False,True,False,False,fires_breast_only,15,36886708.0
cg00136822,0.5183070335037102,0.5483542923834132,0.0300472588797029,0.971282101660902,0.9516096204461504,0.0234525100414778,0.0371547738166165,0.0008304569901183,False,True,False,True,0.1804823376230234,0.4150215419462317,0.2345392043232083,0.8785040658174097,0.8783482732919253,0.0131302904180226,0.0191921199115638,0.0001959329402382,False,False,False,False,False,False,False,fires_breast_only,12,46221071.0
cg00141162,0.2949718213413506,0.4385441814946457,0.1435723601532951,0.0461777233013019,0.0420513136782477,0.0093709780869284,0.0142513351448399,0.0001152853231048,False,True,False,False,0.390629229862061,0.2865857601369835,-0.1040434697250775,0.0264742229299363,0.0259105962732919,0.0041594199016547,0.0041316593585067,-2.30164863545585e-07,False,False,False,False,False,False,True,fires_neither_background,3,121660930.0
cg00143809,0.3443398052256594,0.2751054098802336,-0.0692343953454258,0.922844966595387,0.9258373881535716,0.0188799494314515,0.024897316840709,0.0002634238953324,False,True,False,False,0.4693488428969546,0.4602905847828457,-0.0090582581141089,0.8986541231422505,0.8997252298136645,0.0262311963588127,0.0286530667839954,0.0001329225737135,False,False,False,False,False,False,False,fires_neither_background,22,50282123.0
cg00147943,0.2007083560951013,0.2145516420343554,0.0138432859392541,0.9125904148285552,0.91169972994267,0.0293216288719479,0.032233333152435,0.0001792298464116,False,True,False,False,0.3415357633967198,0.5959913631284711,0.2544555997317512,0.8844690106157114,0.8814125279503107,0.013232136975492,0.019161800668603,0.000192085155925,False,False,False,False,False,False,False,fires_neither_background,1,67760030.0
cg00149213,0.287949374758654,0.3016746400757896,0.0137252653171356,0.087336754183361,0.0873256609558667,0.0293581863920512,0.0360495735645501,0.0004376686459554,False,True,False,False,0.5631353107641625,0.5699077352312273,0.0067724244670648,0.0551904968152866,0.0556433416149068,0.0196734636418588,0.0214420028819329,7.27143159212768e-05,True,False,False,False,False,False,False,fires_neither_background,1,160647334.0
cg00150245,0.2752270222255329,0.382964699323394,0.107737677097861,0.9325838064849896,0.9328956714655198,0.0202665647424418,0.029133791910426,0.0004380441846204,False,True,False,False,0.3469794291865672,0.3704008460211618,0.0234214168345945,0.9190024543524415,0.9185555279503108,0.0073216661385362,0.0082453900893636,1.4379662681587977e-05,False,False,False,False,False,False,False,fires_neither_background,16,19111382.0
cg00154950,0.4530508818197535,0.3090380702302652,-0.1440128115894882,0.9695236219269162,0.9697599405575972,0.0122063284978753,0.012551176839106,8.537584648467202e-06,False,True,False,False,0.3519217806158068,0.5043011004816289,0.152379319865822,0.9521960743099788,0.9513966832298136,0.0132170667576979,0.0121257896755336,-2.765607842216561e-05,False,False,False,False,False,False,True,fires_neither_background,8,4116508.0
cg00157012,0.3971798756582346,0.3036607703742266,-0.093519105284008,0.236524190039127,0.2242467958575916,0.0502045888144637,0.0410296464146003,-0.0008370688531222,False,True,False,False,0.3557125261309098,0.4500131203347295,0.0943005942038196,0.1717044203821656,0.1588821118012422,0.0535299040375934,0.0598484799295263,0.0007163899236009,False,False,False,True,False,False,True,fires_AD_only,8,25201736.0
cg00164282,0.3148189988125519,0.3583939853531285,0.0435749865405766,0.0613842288256076,0.0624574998278023,0.0280423692582529,0.0306902008317597,0.0001555139534775,False,True,False,False,0.4098039352967005,0.3887079233736938,-0.0210960119230066,0.0313325690021231,0.0309520124223602,0.0044272698838543,0.0040616669207167,-3.103580449639177e-06,False,False,False,False,False,False,False,fires_neither_background,17,32503714.0
cg00164583,0.3568111427850854,0.4729626773806967,0.1161515345956113,0.9666548459357712,0.968623119596032,0.0099243590590051,0.0114292657899689,3.213521376569773e-05,False,True,False,False,0.3886680984634816,0.4342957343972709,0.0456276359337892,0.957649983014862,0.9579244223602484,0.0058429275622399,0.0062733239799963,5.214791260413651e-06,False,False,False,False,False,False,False,fires_neither_background,16,88488012.0
cg00164997,0.2202331016295907,0.372190503571886,0.1519574019422952,0.0664815441871672,0.0613133214507965,0.0125727933715393,0.0129078714112992,8.538011207212423e-06,False,True,False,False,0.3610700910101728,0.3816966707862795,0.0206265797761067,0.0579609256900212,0.0597974099378881,0.0106887525690185,0.0102532574875451,-9.120142375799715e-06,False,False,False,True,False,False,False,fires_AD_only,6,25042320.0
cg00166343,0.3997466746246293,0.4634754639558165,0.0637287893311872,0.0447631971116153,0.04634035149567,0.0267077291946583,0.0263999409066863,-1.634591885866989e-05,False,True,False,False,0.2320380352647259,0.289749917258003,0.057711881993277,0.0566224416135881,0.0556276211180124,0.0099788785744973,0.0093705357016982,-1.1771078267761256e-05,False,False,False,False,True,False,False,fires_neither_background,17,30823082.0
cg00167158,0.4427215256060887,0.3876811194412188,-0.0550404061648699,0.9640012245036612,0.9453131114371268,0.0236216955158543,0.0389461068193797,0.0009588147373428,False,True,False,True,0.3069081805226524,0.2472147050742068,-0.0596934754484455,0.9018900615711252,0.9010698322981364,0.0073623848306152,0.0083656161206422,1.5778822683876986e-05,False,False,False,False,False,False,False,fires_breast_only,2,157053132.0
cg00168191,0.3080905668790977,0.2949253457838674,-0.0131652210952303,0.9437406756601414,0.9447049319897984,0.0166107686248339,0.0188267910374375,7.853042645956769e-05,False,True,False,False,0.3430251526255194,0.4208160967616079,0.0777909441360885,0.9143493312101912,0.9143797329192548,0.0086522186307759,0.0089940894729245,6.032758212224789e-06,False,False,False,False,False,False,False,fires_neither_background,19,3097567.0
cg00171729,0.2828752490222105,0.2472636097731873,-0.0356116392490231,0.9159404557012348,0.9248419387825852,0.0194910919736433,0.0281148618734394,0.0004105427918375,False,True,False,False,0.4728522410156381,0.6176945710420103,0.1448423300263721,0.8740143821656051,0.8687826956521738,0.0227418780707652,0.0310983657532922,0.0004499153343399,False,False,False,False,False,False,False,fires_neither_background,6,52552058.0
cg00172074,0.2608118055836738,0.2977330892592511,0.0369212836755773,0.9574780535022528,0.9525332540360246,0.0203849816276555,0.0202247702671026,-6.50614360277619e-06,False,True,False,False,0.2748142987718566,0.3399222910769828,0.0651079923051262,0.912523762208068,0.9125440248447204,0.0082775507462111,0.0078047297414374,-7.604040019221725e-06,False,False,False,False,False,False,False,fires_neither_background,4,183316233.0
cg00172603,0.3949558542114623,0.3532390451917348,-0.0417168090197275,0.1241381762005545,0.1181235988808661,0.0539911912419301,0.0512888759104958,-0.0002844999395604,False,True,False,False,0.5908165338886145,0.6993356728356243,0.1085191389470097,0.0851207324840764,0.0830479192546583,0.03760767854496,0.0411113414347207,0.0002758049090211,True,False,False,False,False,False,False,fires_neither_background,1,54356358.0
cg00183886,0.2332245738877321,0.3858084628653933,0.1525838889776612,0.9365217282041444,0.928151824171375,0.0244896074777016,0.044818318818,0.0014089408272599,False,True,False,False,0.4392702232265172,0.4793393709921156,0.0400691477655983,0.8420503163481955,0.8395462422360248,0.0353902452587758,0.0395132993169351,0.0003088313634333,False,False,False,False,False,False,False,fires_neither_background,4,52658129.0
cg00187503,0.2428363537330596,0.3382125225685649,0.0953761688355052,0.9227791045591024,0.9170936299335848,0.0159214852294668,0.0180459024932447,7.216090488356406e-05,False,True,False,False,0.2482852482558881,0.4256265419962886,0.1773412937404004,0.9077723630573248,0.908466857142857,0.0112984569945311,0.0134200812096355,5.244344921594355e-05,False,False,False,False,True,False,False,fires_neither_background,18,77017563.0
cg00195796,0.310661652082165,0.4159012825223763,0.1052396304402112,0.1958890336062766,0.1923728754381159,0.0295228259885095,0.0462720004078454,0.0012695007673958,False,True,False,False,0.2849790289086051,0.51199187103151,0.2270128421229048,0.1634960403397027,0.1647623788819876,0.0360633014483378,0.0490424773680867,0.0011046028750456,False,False,False,False,True,False,False,fires_neither_background,3,181726343.0
cg00199519,0.3507347927927918,0.4272047390150678,0.0764699462222759,0.9597482986316908,0.9552751819007615,0.0291485147318198,0.0277417139181154,-8.003321995655706e-05,False,True,False,False,0.8939739637536698,0.9589639609063788,0.064989997152709,0.9123855201698514,0.9098296521739132,0.0343248065365163,0.0577090801146428,0.0021521455839089,True,False,False,False,True,False,False,fires_neither_background,17,18119807.0
cg00200645,0.3288733137581596,0.7328406201696762,0.4039673064115165,0.903411520886211,0.9026999419255194,0.0156361307643354,0.0441712544106572,0.0017066111309316,False,False,False,False,0.2671537537046363,0.3261961711550083,0.059042417450372,0.8793343227176221,0.8791758198757765,0.0155945251754846,0.0180480356499981,8.254237537477928e-05,False,False,False,False,True,False,False,fires_neither_background,17,60158417.0
cg00206063,0.2886926305266596,0.6029945378989343,0.3143019073722747,0.9152650335213758,0.9098637881803175,0.0179818916897866,0.034272857720489,0.0008512803475856,False,False,False,False,0.4150131744994362,0.5624216412877826,0.1474084667883463,0.9052833524416136,0.9038719440993788,0.0204861004899427,0.0268497827065808,0.0003012305181065,False,False,False,False,True,False,False,fires_neither_background,10,3763060.0
cg00208218,0.1936070109134667,0.4060894482810672,0.2124824373676005,0.94179028264357,0.9437898832556416,0.0166570152476739,0.0207647295928742,0.0001537178381039,False,True,False,False,0.3538382700606516,0.3835583118535691,0.0297200417929175,0.907941668789809,0.9090701739130436,0.0103031560552374,0.0093619082713977,-1.850969821651176e-05,False,False,False,False,False,False,False,fires_neither_background,2,71024323.0
cg00211625,0.5016631802092624,0.5970511049852576,0.0953879247759952,0.9771561029063552,0.9695310589498572,0.0180865168128773,0.0293338408363312,0.0005333521277887,False,False,False,False,0.1259105017129941,0.4047886598154111,0.278878158102417,0.942933628450106,0.9426370062111804,0.0049308641329717,0.0043854611480676,-5.081151616615941e-06,False,False,False,False,True,False,False,fires_neither_background,3,169837125.0
cg00212786,0.3229130759075892,0.3853403329812817,0.0624272570736924,0.9128088038321986,0.9156028081631572,0.0219020407867648,0.0235986761788733,7.719812677021569e-05,False,True,False,False,0.6645393959638073,0.6284634622527941,-0.0360759337110131,0.9067092271762208,0.905766701863354,0.0252914992478,0.0255143231599538,1.1320752109086375e-05,True,False,False,False,False,False,False,fires_neither_background,2,132414368.0
cg00213668,0.3624719335389346,0.3780105397198051,0.0155386061808704,0.902454470834426,0.9003682217725739,0.0340449868770054,0.0346157138967533,3.918651712640905e-05,False,True,False,False,0.5970780857718692,0.5571703432254485,-0.0399077425464207,0.8769620106157112,0.8789755900621119,0.0292635299448999,0.0306304372351816,8.186950038234356e-05,True,False,False,False,False,False,False,fires_neither_background,7,98398895.0
cg00216138,0.4773456758989662,0.2875807283024078,-0.1897649475965583,0.1342446683782401,0.1267309815386307,0.0371058762686882,0.033874935892752,-0.0002293347719291,False,True,False,False,0.5322752338708239,0.6414188339748259,0.109143600104002,0.0915553014861995,0.1022235279503105,0.0287051367600869,0.043546724675781,0.0010723323535729,False,False,False,False,False,False,True,fires_neither_background,15,36878974.0
