"cpg_id","chr","pos"
"cg15935877","chrY",9303715
"cg17834650","chrY",9214205
"cg17837162","chrY",9340946
"cg18032798","chrY",15816361
"cg18077436","chrY",15016622
"cg18188392","chrY",14649262
"cg25032547","chrY",14773536
"cg25071634","chrY",9172441
"cg25427172","chrY",23566730
"cg25518695","chrY",16636258
"cg25705492","chrY",9307448
"cg25756647","chrY",21728575
"cg26058907","chrY",22917942
"cg26517491","chrY",21906943
"cg26520468","chrY",14099742
"cg26983430","chrY",24549675
"cg26983535","chrY",22737594
"cg27049643","chrY",21906893
"cg27433982","chrY",2802985
"cg27539833","chrY",3447947
"cg00008945","chrX",80377379
"cg00011200","chrX",48380234
"cg00011891","chrX",153714660
"cg00014152","chrX",48457128
"cg00016522","chrX",149737876
"cg00016934","chrX",40035961
"cg00018261","chrX",117957689
"cg00021786","chrX",31090306
"cg00026186","chrX",48367230
"cg00072288","chrX",153200492
"cg00072839","chrX",91035267
"cg00074638","chrX",2883307
"cg00112256","chrX",117629928
"cg00114625","chrX",24483478
"cg00114913","chrX",118107540
"cg00116709","chrX",49020091
"cg00139317","chrX",24665544
"cg00140085","chrX",152954284
"cg00142683","chrX",118708623
"cg00192980","chrX",77394971
"cg00200463","chrX",67913573
"cg00206414","chrX",39949510
"cg00240113","chrX",136648241
"cg00241296","chrX",103811315
"cg00241907","chrX",12993156
"cg00243584","chrX",119022103
"cg00264378","chrX",49687306
"cg00265812","chrX",47518579
"cg00266918","chrX",17755541
"cg00360365","chrX",54556536
"cg00373606","chrX",68048660
"cg00374088","chrX",68758562
"cg00378717","chrX",20160007
"cg00378950","chrX",89177498
"cg00380985","chrX",101397146
"cg00381376","chrX",53350680
"cg00388637","chrX",153653174
"cg00391044","chrX",136510091
"cg00399450","chrX",73834086
"cg00408231","chrX",100807848
"cg00412010","chrX",110339837
"cg00412368","chrX",138285393
"cg00416689","chrX",102631887
"cg00423014","chrX",114252499
"cg00427681","chrX",68441389
"cg00457389","chrX",18372736
"cg00458505","chrX",17393449
"cg00466309","chrX",148622572
"cg00473354","chrX",48334413
"cg00478198","chrX",49644500
"cg00529027","chrX",151806225
"cg00551957","chrX",45017137
"cg00554969","chrX",79278012
"cg00573298","chrX",40594678
"cg00575851","chrX",134232238
"cg00583618","chrX",49020114
"cg00598664","chrX",152938750
"cg00611101","chrX",101380608
"cg00619443","chrX",110039536
"cg00621925","chrX",152989492
"cg00622384","chrX",118925635
"cg00622389","chrX",100914950
"cg00636562","chrX",47518136
"cg00645049","chrX",153656930
"cg00650640","chrX",13587678
"cg00661180","chrX",31285029
"cg00666173","chrX",46433828
"cg00668426","chrX",102319340
"cg00680081","chrX",79590905
"cg00680673","chrX",48815747
"cg00685229","chrX",118828778
"cg00685925","chrX",48398048
"cg00688681","chrX",53030043
"cg00697812","chrX",154488728
"cg00723997","chrX",48690473
"cg00727483","chrX",62975065
"cg00729461","chrX",133371084
"cg00735883","chrX",106567457
"cg00739467","chrX",152875780
"cg00751785","chrX",44732817
"cg00767637","chrX",72223388
"cg00769799","chrX",133594079
"cg00776430","chrX",53111427
"cg00810519","chrX",48769107
"cg00812634","chrX",147062702
"cg00813156","chrX",153775885
"cg00818649","chrX",41782297
"cg00824273","chrX",26576402
"cg00824714","chrX",49189225
"cg00832270","chrX",77359535
"cg00839572","chrX",68047847
"cg00845806","chrX",154445068
"cg00849191","chrX",152939154
"cg00855706","chrX",77358961
"cg00895705","chrX",54384537
"cg00904184","chrX",63425896
"cg00907920","chrX",119249786
"cg00916680","chrX",152529487
"cg00935924","chrX",118708353
"cg00936435","chrX",55187903
"cg00938641","chrX",153035233
"cg00940287","chrX",139332755
"cg00968771","chrX",101854294
"cg00981879","chrX",39680221
"cg00988678","chrX",119005603
"cg00993140","chrX",85403122
"cg00996177","chrX",38186710
"cg00997174","chrX",56756686
"cg00997875","chrX",64886318
"cg01000789","chrX",69509790
"cg01003813","chrX",2715058
"cg01013491","chrX",135180748
"cg01051089","chrX",19989310
"cg01052065","chrX",110339654
"cg01055931","chrX",153583236
"cg01056373","chrX",151999547
"cg01058588","chrX",153775683
"cg01062269","chrX",100603843
"cg01078565","chrX",30233575
"cg01083397","chrX",153362990
"cg01120006","chrX",48768342
"cg01120894","chrX",129305726
"cg01142317","chrX",101186992
"cg01150083","chrX",48980043
"cg01187510","chrX",103401766
"cg01191902","chrX",48931851
"cg01215118","chrX",152066708
"cg01215761","chrX",129254804
"cg01274846","chrX",152683499
"cg01275664","chrX",34405983
"cg01284128","chrX",22290916
"cg01303569","chrX",48755020
"cg01310267","chrX",13956720
"cg01318188","chrX",123094675
"cg01333849","chrX",118370171
"cg01353788","chrX",147582069
"cg01364818","chrX",129402953
"cg01366378","chrX",100353183
"cg01370077","chrX",150565243
"cg01370179","chrX",153218937
"cg01374431","chrX",102469950
"cg01397290","chrX",37208295
"cg01404988","chrX",53449561
"cg01405303","chrX",152066574
"cg01408682","chrX",13063132
"cg01411845","chrX",41192275
"cg01413492","chrX",47985547
"cg01419069","chrX",71092795
"cg01434723","chrX",153715087
"cg01463832","chrX",52964651
"cg01472347","chrX",52950534
"cg01475387","chrX",37430689
"cg01477427","chrX",53461421
"cg01483252","chrX",46433132
"cg01522249","chrX",39951640
"cg01533115","chrX",48911192
"cg01538344","chrX",100546291
"cg01543116","chrX",100184268
"cg01555661","chrX",47004645
"cg01570817","chrX",34148917
"cg01573544","chrX",44402332
"cg01573782","chrX",38079899
"cg01600123","chrX",69672435
"cg01600263","chrX",102840724
"cg01668271","chrX",47696333
"cg01671070","chrX",101410339
"cg01706033","chrX",102862807
"cg01710449","chrX",34961658
"cg01728536","chrX",7070451
"cg01732428","chrX",16730881
"cg01737421","chrX",48367069
"cg01742836","chrX",135229755
"cg01755617","chrX",153626633
"cg01757402","chrX",103810984
"cg01758988","chrX",148621525
"cg01759889","chrX",68725086
"cg01761453","chrX",140983037
"cg01762011","chrX",139173393
"cg01773478","chrX",46434442
"cg01777017","chrX",138287603
"cg01780412","chrX",37004521
"cg01798375","chrX",47489719
"cg01804836","chrX",102565738
"cg01807728","chrX",150151624
"cg01813294","chrX",17393426
"cg01814152","chrX",49368707
"cg01814235","chrX",47422454
"cg01819787","chrX",152953167
"cg01821906","chrX",103268245
"cg01825872","chrX",67653324
"cg01828474","chrX",21676593
"cg01831199","chrX",106362045
"cg01832419","chrX",24043059
"cg01850541","chrX",67867448
"cg01857253","chrX",139014460
"cg01864404","chrX",8434367
"cg01869765","chrX",47862977
"cg01873087","chrX",48397836
"cg01891172","chrX",21676483
"cg01913024","chrX",129300230
"cg01913196","chrX",125687041
"cg01915804","chrX",77395258
"cg01924074","chrX",53711167
"cg01938887","chrX",135579106
"cg01972979","chrX",133680446
"cg01990854","chrX",134121706
"cg01991530","chrX",21857632
"cg01992935","chrX",108868271
"cg01996818","chrX",131157562
"cg01997410","chrX",71351858
"cg01999076","chrX",46696420
"cg01999212","chrX",68047865
"cg02004156","chrX",48900769
"cg02010442","chrX",107335011
"cg02027189","chrX",63264258
"cg02031980","chrX",71401203
"cg02035866","chrX",19002442
"cg02049865","chrX",117973548
"cg02062238","chrX",38186830
"cg02064569","chrX",103809580
"cg02124059","chrX",47341898
"cg02127807","chrX",114468833
"cg02151779","chrX",48327875
"cg02153534","chrX",37402468
"cg02156712","chrX",8700341
"cg02156782","chrX",49126099
"cg02157475","chrX",72782852
"cg02161125","chrX",41782692
"cg02161919","chrX",19002980
"cg02188515","chrX",70798610
"cg02195366","chrX",11776368
"cg02201836","chrX",129039832
"cg02210067","chrX",11777709
"cg02214597","chrX",70474483
"cg02223323","chrX",20134399
"cg02225164","chrX",153979588
"cg02229344","chrX",130216380
"cg02261899","chrX",125686940
"cg02268650","chrX",68348465
"cg02274705","chrX",119763815
"cg02275875","chrX",102531009
"cg02276461","chrX",132092575
"cg02283535","chrX",103811660
"cg02285254","chrX",135229382
"cg02285579","chrX",106516174
"cg02286623","chrX",17879424
"cg02288667","chrX",135991582
"cg02291897","chrX",47509947
"cg02293258","chrX",57147872
"cg02295369","chrX",117959263
"cg02295504","chrX",100878362
"cg02327549","chrX",105066292
"cg02330362","chrX",70402012
"cg02332456","chrX",37026473
"cg02333283","chrX",153707099
"cg02337670","chrX",48815787
"cg02353937","chrX",53449152
"cg02354343","chrX",131351392
"cg02360578","chrX",105855130
"cg02386310","chrX",48367223
"cg02393514","chrX",43809039
"cg02417823","chrX",21958684
"cg02480419","chrX",48815856
"cg02496423","chrX",21958619
"cg02510708","chrX",123095692
"cg02522370","chrX",12992795
"cg02533866","chrX",37545375
"cg02538330","chrX",47004146
"cg02539591","chrX",24483092
"cg02540297","chrX",49297285
"cg02540440","chrX",39866758
"cg02540826","chrX",19002582
"cg02580986","chrX",105421602
"cg02581653","chrX",47092037
"cg02589074","chrX",148586938
"cg02600772","chrX",80259473
"cg02602182","chrX",40026844
"cg02602528","chrX",49028148
"cg02615131","chrX",152066735
"cg02621658","chrX",67867676
"cg02623256","chrX",24483231
"cg02623604","chrX",150067276
"cg02624484","chrX",24043392
"cg02634083","chrX",150153136
"cg02639793","chrX",70273113
"cg02685544","chrX",39956797
"cg02714202","chrX",55515315
"cg02714462","chrX",30265188
"cg02722239","chrX",138528984
"cg02723311","chrX",13707135
"cg02742918","chrX",153284103
"cg02746718","chrX",103294519
"cg02770249","chrX",119603233
"cg02772106","chrX",152992265
"cg02775175","chrX",68048001
"cg02803670","chrX",134478751
"cg02810043","chrX",9433103
"cg02817946","chrX",24168272
"cg02821380","chrX",135579081
"cg02859554","chrX",19140359
"cg02864732","chrX",130192365
"cg02869694","chrX",153775262
"cg02875834","chrX",95939848
"cg02879223","chrX",69672415
"cg02883100","chrX",53460671
"cg02890812","chrX",129114962
"cg02894810","chrX",118284617
"cg02896361","chrX",47441581
"cg02909397","chrX",20284697
"cg02918903","chrX",114141866
"cg02921434","chrX",146993433
"cg02929371","chrX",43741601
"cg02931149","chrX",153586557
"cg02932805","chrX",40031550
"cg02935635","chrX",129147515
"cg02936290","chrX",135962199
"cg02937293","chrX",49687792
"cg02938958","chrX",25022847
"cg02939364","chrX",18443708
"cg02954623","chrX",84258791
"cg02971392","chrX",70887792
"cg02971902","chrX",135991927
"cg02973417","chrX",153220895
"cg02994943","chrX",154033409
"cg02997061","chrX",40126573
"cg03024957","chrX",106693522
"cg03031357","chrX",21959700
"cg03043267","chrX",15809023
"cg03043405","chrX",7066183
"cg03048084","chrX",16888622
"cg03055372","chrX",73641073
"cg03056321","chrX",71352048
"cg03100923","chrX",138285922
"cg03102729","chrX",120181504
"cg03102848","chrX",41192538
"cg03104298","chrX",135579224
"cg03120461","chrX",12993214
"cg03128268","chrX",48432279
"cg03139204","chrX",46937658
"cg03140487","chrX",40027582
"cg03171708","chrX",16889152
"cg03177323","chrX",153236770
"cg03189022","chrX",153237590
"cg03197110","chrX",71096923
"cg03202526","chrX",139587311
"cg03213202","chrX",70474012
"cg03219705","chrX",38420578
"cg03240752","chrX",68058033
"cg03244432","chrX",48367513
"cg03245429","chrX",114524308
"cg03272642","chrX",69509773
"cg03280420","chrX",73640648
"cg03315431","chrX",153032930
"cg03323437","chrX",54835446
"cg03334316","chrX",54209370
"cg03335173","chrX",151806923
"cg03347749","chrX",102565889
"cg03348338","chrX",16804461
"cg03360001","chrX",53453272
"cg03360374","chrX",48980258
"cg03363535","chrX",101771438
"cg03364121","chrX",119379165
"cg03370193","chrX",31284813
"cg03374735","chrX",84581306
"cg03391801","chrX",153607825
"cg03440272","chrX",51139066
"cg03440485","chrX",107179415
"cg03485809","chrX",102862945
"cg03505772","chrX",72299310
"cg03513471","chrX",146993485
"cg03514678","chrX",148586584
"cg03517379","chrX",118740406
"cg03523199","chrX",133593973
"cg03553781","chrX",52897080
"cg03554089","chrX",73071041
"cg03580328","chrX",73641615
"cg03590418","chrX",153570171
"cg03601619","chrX",120008681
"cg03605032","chrX",149533195
"cg03657257","chrX",100673072
"cg03658985","chrX",153167899
"cg03668629","chrX",68004195
"cg03670113","chrX",153640589
"cg03672915","chrX",153236845
"cg03675615","chrX",49593824
"cg03679005","chrX",118926017
"cg03679269","chrX",71351803
"cg03683587","chrX",50557066
"cg03687305","chrX",134031461
"cg03691313","chrX",153603062
"cg03705894","chrX",49687068
"cg03717198","chrX",20285056
"cg03718079","chrX",149716257
"cg03723123","chrX",55935143
"cg03723195","chrX",2847354
"cg03723938","chrX",8700319
"cg03728850","chrX",55515614
"cg03730082","chrX",63425725
"cg03746520","chrX",49166345
"cg03748372","chrX",49126128
"cg03748858","chrX",69502014
"cg03751162","chrX",54466849
"cg03752015","chrX",71526944
"cg03754195","chrX",119694964
"cg03757053","chrX",30265185
"cg03759948","chrX",48555275
"cg03769817","chrX",99666219
"cg03801901","chrX",42637584
"cg03802424","chrX",85403388
"cg03802931","chrX",12155999
"cg03806192","chrX",50212665
"cg03811055","chrX",16888211
"cg03814733","chrX",149106755
"cg03822658","chrX",153409560
"cg03825574","chrX",129116503
"cg03829216","chrX",47497456
"cg03831206","chrX",48814955
"cg03832506","chrX",53286187
"cg03851490","chrX",35937794
"cg03892808","chrX",153096307
"cg03894002","chrX",69664599
"cg03900860","chrX",119737944
"cg03905487","chrX",53123054
"cg03906572","chrX",152676991
"cg03927302","chrX",106871544
"cg03928924","chrX",49179088
"cg03944921","chrX",117479980
"cg03959273","chrX",135579015
"cg03962769","chrX",102775697
"cg03968699","chrX",153236214
"cg03971283","chrX",153141451
"cg03971469","chrX",25031338
"cg03977822","chrX",70503563
"cg03978312","chrX",103401777
"cg03983969","chrX",41782695
"cg03989304","chrX",117973613
"cg04014504","chrX",37430717
"cg04026379","chrX",47483043
"cg04027004","chrX",107019426
"cg04027312","chrX",46618632
"cg04029282","chrX",131624049
"cg04029366","chrX",45017072
"cg04029664","chrX",117250962
"cg04031645","chrX",53713676
"cg04033011","chrX",100807961
"cg04037732","chrX",70364775
"cg04039555","chrX",102000746
"cg04055739","chrX",11157142
"cg04061482","chrX",117629338
"cg04065558","chrX",3631575
"cg04065832","chrX",72667191
"cg04072009","chrX",71351668
"cg04075675","chrX",149861694
"cg04094482","chrX",73834489
"cg04096096","chrX",13752933
"cg04128303","chrX",122318829
"cg04149024","chrX",153656891
"cg04149171","chrX",36985874
"cg04166210","chrX",103087157
"cg04167532","chrX",102631697
"cg04167725","chrX",14027171
"cg04177426","chrX",150863969
"cg04184316","chrX",118987146
"cg04186471","chrX",153523440
"cg04190662","chrX",115085326
"cg04216286","chrX",129039782
"cg04225046","chrX",101906179
"cg04238575","chrX",51486666
"cg04288012","chrX",53711065
"cg04289416","chrX",31089464
"cg04290452","chrX",118370187
"cg04292836","chrX",23761484
"cg04294190","chrX",129629140
"cg04297907","chrX",10126668
"cg04298609","chrX",77041722
"cg04301343","chrX",19140658
"cg04302178","chrX",122993941
"cg04302300","chrX",107179321
"cg04307491","chrX",152954836
"cg04317640","chrX",73640431
"cg04327763","chrX",118925713
"cg04344997","chrX",153607129
"cg04345928","chrX",38420783
"cg04369574","chrX",102192359
"cg04371001","chrX",153715321
"cg04371585","chrX",3264725
"cg04373587","chrX",13752698
"cg04376185","chrX",17755081
"cg04381324","chrX",15808235
"cg04387098","chrX",48380042
"cg04388383","chrX",64754908
"cg04393989","chrX",153688713
"cg04394795","chrX",3762130
"cg04402486","chrX",131352242
"cg04406445","chrX",43515575
"cg04413754","chrX",39956558
"cg04414946","chrX",9435372
"cg04419618","chrX",135962940
"cg04424654","chrX",109561524
"cg04428826","chrX",75649367
"cg04481865","chrX",139584049
"cg04483741","chrX",5821720
"cg04490290","chrX",45709881
"cg04493225","chrX",103089404
"cg04494122","chrX",134155740
"cg04495420","chrX",134568966
"cg04524851","chrX",57618891
"cg04533302","chrX",79829018
"cg04552106","chrX",146993425
"cg04595393","chrX",102001018
"cg04617012","chrX",134558553
"cg04624564","chrX",73325368
"cg04626171","chrX",47510405
"cg04630982","chrX",139006339
"cg04646630","chrX",30233581
"cg04647039","chrX",31285105
"cg04650971","chrX",134555733
"cg04663649","chrX",131157704
"cg04665139","chrX",15353772
"cg04667267","chrX",73513464
"cg04675919","chrX",49042889
"cg04676446","chrX",152954816
"cg04685060","chrX",30265350
"cg04689451","chrX",27827716
"cg04691867","chrX",124339261
"cg04699313","chrX",57163839
"cg04702045","chrX",67653598
"cg04702079","chrX",150731584
"cg04709809","chrX",47930636
"cg04712194","chrX",153639778
"cg04716051","chrX",18443256
"cg04730443","chrX",26210529
"cg04734394","chrX",48911060
"cg04739874","chrX",131157495
"cg04744025","chrX",146993175
"cg04748497","chrX",101906989
"cg04752574","chrX",75005102
"cg04763286","chrX",128812388
"cg04764476","chrX",153236825
"cg04765675","chrX",16804334
"cg04771154","chrX",48755502
"cg04777541","chrX",71263427
"cg04779297","chrX",16964882
"cg04820593","chrX",54383906
"cg04820960","chrX",9431250
"cg04836978","chrX",72783164
"cg04843066","chrX",134654334
"cg04855291","chrX",152161956
"cg04855977","chrX",128977653
"cg04856605","chrX",69353178
"cg04886382","chrX",49333935
"cg04924141","chrX",154493858
"cg04924736","chrX",101410888
"cg04927657","chrX",53254027
"cg04927982","chrX",53254653
"cg04929599","chrX",151142862
"cg04931939","chrX",15693595
"cg04932755","chrX",68047893
"cg05028071","chrX",48900948
"cg05031352","chrX",152486179
"cg05032098","chrX",102840912
"cg05032353","chrX",128674224
"cg05032903","chrX",99665948
"cg05044339","chrX",24040675
"cg05045028","chrX",129299924
"cg05045659","chrX",67352784
"cg05049545","chrX",18372696
"cg05059648","chrX",103356954
"cg05059874","chrX",147133821
"cg05064925","chrX",107681469
"cg05086798","chrX",23350313
"cg05087624","chrX",22290866
"cg05088151","chrX",152677200
"cg05091491","chrX",114423926
"cg05091873","chrX",150067687
"cg05096434","chrX",106243404
"cg05096731","chrX",9754594
"cg05100261","chrX",153626754
"cg05104476","chrX",49092076
"cg05109065","chrX",72783402
"cg05109619","chrX",69509801
"cg05113908","chrX",2747136
"cg05114100","chrX",114524286
"cg05123368","chrX",37026697
"cg05124235","chrX",113816263
"cg05127178","chrX",51636111
"cg05134041","chrX",82763219
"cg05135828","chrX",142721385
"cg05137263","chrX",30327625
"cg05140257","chrX",103401646
"cg05147108","chrX",128674369
"cg05152874","chrX",50557122
"cg05172693","chrX",119379153
"cg05181702","chrX",9983462
"cg05184436","chrX",153050598
"cg05184682","chrX",21857796
"cg05196231","chrX",40944772
"cg05200254","chrX",119737969
"cg05200893","chrX",39956808
"cg05206294","chrX",118708375
"cg05219621","chrX",15683403
"cg05222959","chrX",153665103
"cg05223760","chrX",49126243
"cg05237970","chrX",134124948
"cg05239680","chrX",63005366
"cg05242815","chrX",25023562
"cg05257372","chrX",141291755
"cg05260852","chrX",54665817
"cg05260949","chrX",153880742
"cg05288927","chrX",146993092
"cg05293502","chrX",24380421
"cg05307865","chrX",152482021
"cg05356800","chrX",70836822
"cg05370638","chrX",37706736
"cg05371922","chrX",8751557
"cg05374090","chrX",152864599
"cg05378963","chrX",38115545
"cg05379196","chrX",150151580
"cg05393376","chrX",53467938
"cg05397816","chrX",117957786
"cg05411132","chrX",99195115
"cg05411980","chrX",68345134
"cg05414241","chrX",51240059
"cg05424879","chrX",153719176
"cg05425577","chrX",54522221
"cg05438092","chrX",153603066
"cg05442715","chrX",23926141
"cg05443523","chrX",43515213
"cg05445331","chrX",133119028
"cg05449830","chrX",71527091
"cg05452887","chrX",119005413
"cg05453458","chrX",100878340
"cg05454424","chrX",42637578
"cg05456652","chrX",34960884
"cg05461361","chrX",154299395
"cg05463813","chrX",153051005
"cg05467600","chrX",103499724
"cg05473496","chrX",39953435
"cg05474077","chrX",80457709
"cg05476089","chrX",151999289
"cg05476522","chrX",54521732
"cg05479376","chrX",2847478
"cg05515118","chrX",102565934
"cg05524154","chrX",7811760
"cg05526804","chrX",47342124
"cg05532720","chrX",100880276
"cg05533223","chrX",73071194
"cg05534333","chrX",153707029
"cg05551025","chrX",110924355
"cg05572834","chrX",16730380
"cg05600581","chrX",134232907
"cg05605384","chrX",77395277
"cg05629323","chrX",132351068
"cg05630320","chrX",133594116
"cg05679489","chrX",148552714
"cg05685296","chrX",40020363
"cg05687312","chrX",63425794
"cg05692422","chrX",42637044
"cg05704524","chrX",119378521
"cg05721877","chrX",39953075
"cg05747459","chrX",21393306
"cg05782106","chrX",9754927
"cg05785344","chrX",129118279
"cg05788681","chrX",103499545
"cg05799859","chrX",153744612
"cg05803370","chrX",153715241
"cg05803913","chrX",38664442
"cg05804339","chrX",40036023
"cg05806018","chrX",147582520
"cg05829338","chrX",106750612
"cg05835545","chrX",80065003
"cg05849149","chrX",68048224
"cg05849875","chrX",151806628
"cg05866836","chrX",106960378
"cg05872222","chrX",71459071
"cg05876899","chrX",153072756
"cg05887304","chrX",12809548
"cg05893072","chrX",107979700
"cg05899999","chrX",100603765
"cg05905814","chrX",150151809
"cg05907136","chrX",134156306
"cg05908188","chrX",134478884
"cg05911774","chrX",99899345
"cg05914696","chrX",68114669
"cg05922253","chrX",50213977
"cg05935584","chrX",150151823
"cg05939965","chrX",118983320
"cg05941375","chrX",154299737
"cg05946161","chrX",40006261
"cg05947181","chrX",50557283
"cg05950094","chrX",16964965
"cg05958126","chrX",19533458
"cg05994819","chrX",103411244
"cg05996419","chrX",38663393
"cg06016676","chrX",63263994
"cg06022838","chrX",153238133
"cg06024075","chrX",24480790
"cg06027835","chrX",48456564
"cg06039729","chrX",118827102
"cg06041068","chrX",152990341
"cg06042004","chrX",153707710
"cg06051391","chrX",131352293
"cg06053110","chrX",51636681
"cg06055478","chrX",62974905
"cg06058235","chrX",154113543
"cg06069996","chrX",54466836
"cg06070578","chrX",102602857
"cg06072560","chrX",100075379
"cg06077978","chrX",48690457
"cg06079963","chrX",24711994
"cg06084034","chrX",153637827
"cg06093412","chrX",47518594
"cg06097615","chrX",68723812
"cg06098232","chrX",149106699
"cg06104510","chrX",19002482
"cg06104959","chrX",67913324
"cg06112349","chrX",37061801
"cg06119392","chrX",150067307
"cg06124711","chrX",153640000
"cg06130360","chrX",117633362
"cg06131666","chrX",18373515
"cg06135529","chrX",118986703
"cg06135650","chrX",38662916
"cg06136002","chrX",150151615
"cg06137672","chrX",153060026
"cg06139288","chrX",11683125
"cg06144825","chrX",80457687
"cg06144999","chrX",11129626
"cg06148972","chrX",149736729
"cg06157408","chrX",49090934
"cg06158088","chrX",47518504
"cg06164717","chrX",136114030
"cg06170110","chrX",114426240
"cg06172626","chrX",48398133
"cg06174815","chrX",147582133
"cg06178309","chrX",14048147
"cg06184979","chrX",107225589
"cg06185870","chrX",54666407
"cg06206449","chrX",118708409
"cg06228453","chrX",106242522
"cg06252876","chrX",129299948
"cg06256374","chrX",49217059
"cg06256785","chrX",70460157
"cg06266461","chrX",153719192
"cg06267203","chrX",67356424
"cg06272245","chrX",48398018
"cg06282443","chrX",34406351
"cg06282524","chrX",139593371
"cg06288270","chrX",135963596
"cg06292022","chrX",134571427
"cg06293983","chrX",135863104
"cg06295352","chrX",130037150
"cg06297686","chrX",48755002
"cg06300944","chrX",153141270
"cg06302025","chrX",102000758
"cg06309256","chrX",40595209
"cg06334238","chrX",153284899
"cg06376033","chrX",102883934
"cg06380355","chrX",51239518
"cg06407366","chrX",13707511
"cg06408025","chrX",106449904
"cg06408185","chrX",18443714
"cg06408301","chrX",37208607
"cg06411441","chrX",100307072
"cg06428288","chrX",15511530
"cg06443675","chrX",103401820
"cg06443888","chrX",107980132
"cg06444329","chrX",75392755
"cg06454337","chrX",15683427
"cg06462425","chrX",106045920
"cg06462727","chrX",106515879
"cg06464066","chrX",16964808
"cg06467636","chrX",150905602
"cg06469252","chrX",136113985
"cg06472116","chrX",46937653
"cg06506080","chrX",70503908
"cg06510592","chrX",103411278
"cg06511189","chrX",152864830
"cg06521531","chrX",135229551
"cg06535161","chrX",17878715
"cg06538336","chrX",150346599
"cg06540859","chrX",46434696
"cg06544877","chrX",83757131
"cg06551391","chrX",51636562
"cg06554760","chrX",153775341
"cg06558166","chrX",132549003
"cg06614969","chrX",54835405
"cg06615444","chrX",19533456
"cg06616857","chrX",153719132
"cg06624970","chrX",49643941
"cg06625916","chrX",41332957
"cg06630839","chrX",16964684
"cg06649034","chrX",53349902
"cg06650546","chrX",136633004
"cg06650776","chrX",102632072
"cg06654051","chrX",153409667
"cg06672093","chrX",103502294
"cg06673178","chrX",50557022
"cg06700462","chrX",19002006
"cg06705078","chrX",102884538
"cg06720669","chrX",108868282
"cg06721573","chrX",24483234
"cg06746884","chrX",31285129
"cg06774787","chrX",56258973
"cg06775759","chrX",21676994
"cg06779458","chrX",152586916
"cg06779802","chrX",107979401
"cg06783548","chrX",47479436
"cg06791102","chrX",153191600
"cg06796204","chrX",71351792
"cg06803079","chrX",47518114
"cg06804788","chrX",47696363
"cg06805513","chrX",73641955
"cg06807018","chrX",119602917
"cg06818555","chrX",20287610
"cg06834235","chrX",48334621
"cg06864633","chrX",145700537
"cg06878303","chrX",151903174
"cg06899582","chrX",129402809
"cg06915321","chrX",136648249
"cg06915915","chrX",129657974
"cg06922569","chrX",47420444
"cg06938654","chrX",21875563
"cg06943437","chrX",64887365
"cg06943593","chrX",25030643
"cg06944922","chrX",38186842
"cg06945800","chrX",118892610
"cg06963219","chrX",100548167
"cg06963664","chrX",153695784
"cg06964654","chrX",139590383
"cg06968752","chrX",79830173
"cg07012573","chrX",102470153
"cg07038409","chrX",47509941
"cg07051162","chrX",30671305
"cg07051329","chrX",110039369
"cg07056506","chrX",103357323
