CpG_ID,B,NK,CD4T,CD8T,Mono,Neutro,Eosino
cg20666585,0.071822303,0.823020617,0.951354409,0.863533049,0.940372133,0.956043347,0.961830492
cg27582527,0.895259933,0.070446516,0.90256871,0.426928435,0.969393015,0.972059761,0.975374164
cg06202778,0.980339643,0.149274891,0.956749683,0.554811073,0.931893613,0.964833689,0.96920854
cg09345868,0.970338055,0.143944031,0.789210613,0.417442043,0.978061904,0.985653506,0.986232573
cg26934362,0.850233271,0.108656751,0.851218019,0.328637563,0.956109776,0.949036528,0.9664075
cg05653887,0.958772197,0.172101102,0.934969591,0.507222605,0.958893223,0.947421234,0.948421963
cg07307830,0.948405562,0.151332248,0.760244103,0.486641858,0.963083911,0.967540937,0.977979922
cg21634628,0.816259704,0.164619519,0.870023568,0.532393083,0.968825112,0.971046503,0.979108795
cg02384859,0.93146544,0.179495821,0.926275704,0.494092215,0.956255562,0.950319429,0.967305751
cg03708221,0.905001506,0.1544009,0.87807239,0.481514995,0.934159661,0.926877497,0.93599796
cg20657709,0.970269028,0.224634665,0.967554365,0.625139708,0.968260968,0.960004427,0.968200998
cg03538296,0.978986999,0.256279088,0.98253074,0.736939823,0.983051838,0.985305317,0.979318315
cg19696012,0.946104212,0.18869398,0.881043403,0.517991613,0.971906252,0.964517906,0.956959349
cg27309871,0.952839614,0.228524523,0.966288309,0.614493363,0.965268504,0.969869334,0.969787308
cg21474838,0.97641988,0.22137919,0.885420213,0.588215314,0.978643769,0.972300384,0.978480073
cg05875239,0.932439933,0.24061775,0.9456583,0.739089967,0.932869267,0.94905135,0.969111633
cg01940139,0.975276584,0.228152148,0.910273823,0.589974285,0.974019484,0.965883686,0.975468636
cg14301562,0.935249653,0.192572958,0.936070799,0.57683794,0.93157822,0.894454393,0.899807257
cg13613174,0.958926628,0.162398785,0.788531362,0.394493713,0.956011553,0.887607437,0.957212478
cg09261289,0.973516625,0.268092069,0.97229541,0.693391393,0.977522141,0.973220415,0.983703311
cg15241779,0.93632561,0.24925346,0.945380459,0.666563112,0.968352032,0.966335441,0.969376856
cg20460771,0.932541115,0.177484303,0.873529873,0.465233319,0.90959161,0.908910419,0.908227511
cg13617280,0.935954,0.247475217,0.928621883,0.8325228,0.948072717,0.845426417,0.917575367
cg04780380,0.829444284,0.116012175,0.692193345,0.273281891,0.943554935,0.930002516,0.94481142
cg10628126,0.951814221,0.232012497,0.874743506,0.643196532,0.865000872,0.975128076,0.984915946
cg26012482,0.929670037,0.217530205,0.816577127,0.55033036,0.969636524,0.950527725,0.924368134
cg10142452,0.898656237,0.227780576,0.895243488,0.571659278,0.942992774,0.944022391,0.945187959
cg22749642,0.860688167,0.205279338,0.910695267,0.506280783,0.9356272,0.924042017,0.9118187
cg18310515,0.951714732,0.243158465,0.889752748,0.570464735,0.948780097,0.946808864,0.954723955
cg18461635,0.916009169,0.183804539,0.692435846,0.428540839,0.94577797,0.944008405,0.950073218
cg21333217,0.98003705,0.287170867,0.9600134,0.59962005,0.971059283,0.971570617,0.978933017
cg02663352,0.562187056,0.181878548,0.881203731,0.520220551,0.940851979,0.956138187,0.964522202
cg11335172,0.986960719,0.323725345,0.975239164,0.748619122,0.987597493,0.977720785,0.974679561
cg18748064,0.862810589,0.233354249,0.877176625,0.476879765,0.963322403,0.955513386,0.958423173
cg02902412,0.970849621,0.267159101,0.982458762,0.440929683,0.969168224,0.952131476,0.977972966
cg00366435,0.97777892,0.938731568,0.149595435,0.631944477,0.9840993,0.962791285,0.92954914
cg24462702,0.932516817,0.815784433,0.131929713,0.837676767,0.879266767,0.86468915,0.8466021
cg26166854,0.973109029,0.772971464,0.131234321,0.478237967,0.979394812,0.960728927,0.987424243
cg11848483,0.971306782,0.916678079,0.153455055,0.371217956,0.982368891,0.96923173,0.990743141
cg01874152,0.893329822,0.887667204,0.167952716,0.481760075,0.982721834,0.975777706,0.987747558
cg23723835,0.716747662,0.891010992,0.136014993,0.488750478,0.972043007,0.96492262,0.979899668
cg07713946,0.975495827,0.831081258,0.154916043,0.397863908,0.97770724,0.962729875,0.976760373
cg10240150,0.960026143,0.81111267,0.141311469,0.3924842,0.952853478,0.94212764,0.967422405
cg02661764,0.908196472,0.904501922,0.163320142,0.533106382,0.848476467,0.898372896,0.941654443
cg13651908,0.952943826,0.813077629,0.178562774,0.46069767,0.951927545,0.922437069,0.937932791
cg05074138,0.952532431,0.80059002,0.1809618,0.405706958,0.942628972,0.932000884,0.941208294
cg12353788,0.953816242,0.787468695,0.164098544,0.356776171,0.934853048,0.903682386,0.910947729
cg25226014,0.959710194,0.582242859,0.152339823,0.292093178,0.974357557,0.966466897,0.981746487
cg16193207,0.972252373,0.896903042,0.244896701,0.507821067,0.968599093,0.959316431,0.974774802
cg10599446,0.958316286,0.658090144,0.145894981,0.268652366,0.926251398,0.938252617,0.928609834
cg00219921,0.981476017,0.829737393,0.915257301,0.164928074,0.967777918,0.966288634,0.978174228
cg10977115,0.970922906,0.280572752,0.427334056,0.022726253,0.971908445,0.959922973,0.974933781
cg22512531,0.970249324,0.247591337,0.571126624,0.050046143,0.968750483,0.963329334,0.977739536
cg06164961,0.97995542,0.574716741,0.137138896,0.057316421,0.976109167,0.958489692,0.979929075
cg24456340,0.985476471,0.261638985,0.695619196,0.107942859,0.979244681,0.97778519,0.933143485
cg20894640,0.970385496,0.206738276,0.26546592,0.035628932,0.963670275,0.949636581,0.975295645
cg24841244,0.970497299,0.667969419,0.15213779,0.091976352,0.960183327,0.936964094,0.970949251
cg27470208,0.952883022,0.287652456,0.18970765,0.033168317,0.953373241,0.94961958,0.968462366
cg22689323,0.972502977,0.308672595,0.17485774,0.036050072,0.964769704,0.944990658,0.936568995
cg24612198,0.972711425,0.59819885,0.146296954,0.090151773,0.969474459,0.955046317,0.979275743
cg09088496,0.959726369,0.249424938,0.17059666,0.030614225,0.959419986,0.937903336,0.977487145
cg07661835,0.962244594,0.696056848,0.470822848,0.152515795,0.9297253,0.938997867,0.969855122
cg05356800,0.858556133,0.249769967,0.795938783,0.098405742,0.89140635,0.915962467,0.92720135
cg13750061,0.955695942,0.728026028,0.15609863,0.116347965,0.952010259,0.958041065,0.970905661
cg14506192,0.962292906,0.243850476,0.557776134,0.105775025,0.957770115,0.944344252,0.979205769
cg09032544,0.955924533,0.282821517,0.227549567,0.05003733,0.950739083,0.915841983,0.97612325
cg00467547,0.957264345,0.153660659,0.089263725,0.011890594,0.954858931,0.946492333,0.971481947
cg00277591,0.97947117,0.197618798,0.137708448,0.016330348,0.955525356,0.89725312,0.92998032
cg27008565,0.933008302,0.158021418,0.438782488,0.061056683,0.945452507,0.93655308,0.953808828
cg09354050,0.958042047,0.300233941,0.112846156,0.031595288,0.950529772,0.918758031,0.923256449
cg11531557,0.935140652,0.628632744,0.503336131,0.157042955,0.942014613,0.936668712,0.950683435
cg02324835,0.92499501,0.646433227,0.380872875,0.142551747,0.939752838,0.947060682,0.963171568
cg23318020,0.864221004,0.5545825,0.153193079,0.077530528,0.948840258,0.923747905,0.959390221
cg21330949,0.886500587,0.144728874,0.218543602,0.016630589,0.933253308,0.901678098,0.943101384
cg09909069,0.961797988,0.284668306,0.135728666,0.049183002,0.954779835,0.938677765,0.943348181
cg27111890,0.974789694,0.667559837,0.188918022,0.123832626,0.964952943,0.941665716,0.92180187
cg11760500,0.839691273,0.187194884,0.116914255,0.023233891,0.979472729,0.95579348,0.960911614
cg16093065,0.978325361,0.35281932,0.177180856,0.089892258,0.971735868,0.969287525,0.981099888
cg14278300,0.928891801,0.25920776,0.227040324,0.051401631,0.916430294,0.913492086,0.945491775
cg19994968,0.954666103,0.64287815,0.158244776,0.124404939,0.963107985,0.945939239,0.959437088
cg15046489,0.949139065,0.189039663,0.252008545,0.063694402,0.956193648,0.951029598,0.960927242
cg26538782,0.740953022,0.965057621,0.965978353,0.98928633,0.11602119,0.947732419,0.979178743
cg08538581,0.67014829,0.94709961,0.929169286,0.961747103,0.072896793,0.764669342,0.918483853
cg06297318,0.948948772,0.943502753,0.937201572,0.956577544,0.148776382,0.864919016,0.932217534
cg16429499,0.410532667,0.915673445,0.929276038,0.977150237,0.080686892,0.965687309,0.967734082
cg13430807,0.880870545,0.862489518,0.865171465,0.957055905,0.128883266,0.9194191,0.926689511
cg17660833,0.951743951,0.900667629,0.92808177,0.94805128,0.094904876,0.546057738,0.927674905
cg10278149,0.941048939,0.92225605,0.938185059,0.96872226,0.11555009,0.760405315,0.775646195
cg27059140,0.967566465,0.930099632,0.953593122,0.967897631,0.076782035,0.51292343,0.738825943
cg13093111,0.962149072,0.923798916,0.965530333,0.981592889,0.061942713,0.510233573,0.624129806
cg00091349,0.846671852,0.838820476,0.868730504,0.922880497,0.03066922,0.539650275,0.742354089
cg12207930,0.898170294,0.912849166,0.896940733,0.946744413,0.11022442,0.681351182,0.886649835
cg11814087,0.94487536,0.88960536,0.92155275,0.962140179,0.058753496,0.380237853,0.808343889
cg09322573,0.903389031,0.926024194,0.947668386,0.97566299,0.104284512,0.66312423,0.757153603
cg10624395,0.955887682,0.930738249,0.92547423,0.965308116,0.195736534,0.975754661,0.963420469
cg00208012,0.881724816,0.902970514,0.893766149,0.954349904,0.162654157,0.919846724,0.95996306
cg12655112,0.878250267,0.889405767,0.852087617,0.956055267,0.091582647,0.689246117,0.816544033
cg21683390,0.8450607,0.904983204,0.945504445,0.978537583,0.075179786,0.46631064,0.797644015
cg04605532,0.969548725,0.943621664,0.934421606,0.982714909,0.059663196,0.304905899,0.676535618
cg18990407,0.569436233,0.925303717,0.922877887,0.964365883,0.121259245,0.862510667,0.9292178
cg02780988,0.772253625,0.850969812,0.877974524,0.902360782,0.136705159,0.917778774,0.933138622
cg23363263,0.945351393,0.959776563,0.96211693,0.983364646,0.071939253,0.313717648,0.691566285
cg01110616,0.980742243,0.921503196,0.959248611,0.944508849,0.177759995,0.79841447,0.875424101
cg20978247,0.939707752,0.92717195,0.935102154,0.983751553,0.112860323,0.502459072,0.801258167
cg09310966,0.971995425,0.854570953,0.87799045,0.934772172,0.08652683,0.533832502,0.756870235
cg05242065,0.933030691,0.950142648,0.809614426,0.967612531,0.186899044,0.916757984,0.948359415
cg17541002,0.725333292,0.929530607,0.906450931,0.978139773,0.055210774,0.301766725,0.892480285
cg22381196,0.992262544,0.990033963,0.990030903,0.995874817,0.814533981,0.078716485,0.071731264
cg21685770,0.940166905,0.951762284,0.97392093,0.976310717,0.78629855,0.079497195,0.204455287
cg00439981,0.993892536,0.979058827,0.983742908,0.995039329,0.624193657,0.073951619,0.008365028
cg11557901,0.99002586,0.979396802,0.973930822,0.978696884,0.471611048,0.055487806,0.008624366
cg05344747,0.818608474,0.974605995,0.972443148,0.987474919,0.854963953,0.09404286,0.022701515
cg09859659,0.952428817,0.947964179,0.978783384,0.976567126,0.915598213,0.15540572,0.191803447
cg04609694,0.976480923,0.971810303,0.979089246,0.978452559,0.881297646,0.208934502,0.493491831
cg13468144,0.985443202,0.977528511,0.950849753,0.975666121,0.952292856,0.277931634,0.832373649
cg13396713,0.982600895,0.97039061,0.964817463,0.985415325,0.476747366,0.070582331,0.009925398
cg27200257,0.950893983,0.933232538,0.937030336,0.921871931,0.699287802,0.100050405,0.019828282
cg03406844,0.927227722,0.934135486,0.934231154,0.929479485,0.827570437,0.130727413,0.091125783
cg23819411,0.957840367,0.93849305,0.950305217,0.948337617,0.679636,0.2258918,0.683085117
cg27545615,0.869788019,0.856294322,0.82943494,0.876324425,0.624516715,0.050707435,0.007109803
cg13633625,0.930087017,0.963521389,0.977016225,0.974419453,0.685641218,0.254116888,0.740633869
cg11597277,0.987581262,0.977422142,0.98482916,0.984904441,0.713846713,0.222955347,0.423945963
cg07356342,0.964484072,0.929573612,0.93537387,0.956979721,0.482015575,0.135329242,0.262148711
cg25757820,0.98683718,0.975534642,0.990391812,0.988746796,0.836366388,0.323045048,0.861205191
cg00405190,0.952620034,0.935540526,0.886584788,0.948058119,0.464771056,0.097775962,0.094401876
cg13785123,0.9802668,0.977128083,0.976880467,0.982287767,0.83988805,0.320816817,0.8585245
cg13079571,0.967554158,0.970741309,0.968202609,0.976129201,0.781422501,0.206927632,0.260390429
cg13618516,0.982864158,0.951169609,0.966413584,0.978027281,0.405200272,0.115310961,0.083608529
cg05171937,0.926194701,0.980043382,0.980194485,0.986208895,0.683894725,0.256904781,0.655114382
cg01040749,0.973448658,0.976569882,0.976194685,0.976793519,0.864725887,0.284382548,0.563307532
cg09163720,0.973530257,0.956245632,0.960305977,0.956149772,0.718929652,0.203721931,0.276911252
cg21237481,0.989404336,0.97994431,0.987892825,0.979013793,0.936009003,0.734667188,0.119887581
cg10342963,0.962389483,0.960701167,0.968368117,0.966074883,0.937127667,0.207656933,0.020744455
cg18380211,0.973824335,0.976414923,0.979595819,0.976271589,0.945857094,0.844406099,0.166786809
cg01953317,0.969855482,0.9850079,0.982584729,0.981592775,0.976781817,0.897313847,0.194272307
cg23990557,0.967635608,0.948902977,0.968435234,0.956855553,0.935786784,0.548944225,0.117545707
cg01012879,0.959559418,0.944509134,0.96720437,0.954858622,0.940468422,0.270917991,0.08226244
cg01742370,0.96892328,0.970598731,0.968908401,0.976793357,0.540694121,0.198348129,0.025051689
cg04003615,0.905120729,0.908235401,0.936282396,0.950419355,0.658005828,0.262060502,0.025067222
cg00290355,0.925165875,0.927064905,0.949067801,0.966119139,0.779542552,0.571218239,0.118236392
cg01655008,0.979458865,0.961947502,0.953205398,0.984564319,0.557605132,0.216807468,0.047231291
cg02722672,0.948013417,0.92346775,0.9514876,0.9524952,0.815494833,0.319904617,0.094034358
cg04836151,0.986479617,0.9761217,0.985367567,0.990365383,0.797160333,0.410950833,0.13465127
cg11690666,0.987457341,0.975794978,0.972655817,0.985917915,0.6404483,0.193856104,0.081512995
cg23540819,0.844951627,0.880324738,0.919289017,0.915507781,0.772105009,0.453546167,0.092371044
cg03329755,0.9861952,0.981346967,0.986610633,0.9852599,0.975807117,0.787712383,0.248456592
cg25003924,0.866031975,0.920241809,0.910239634,0.93351432,0.716705499,0.445155988,0.097557873
cg22460173,0.828114371,0.937265187,0.9660058,0.942137834,0.809988213,0.652680307,0.158660427
cg02380585,0.010073134,0.268161517,0.902914256,0.885832621,0.008999124,0.036554904,0.002099293
cg19628988,0.17330804,0.444478965,0.933079658,0.907100489,0.019445126,0.051026591,0.025265895
cg04776231,0.128614692,0.329877686,0.877204851,0.877203962,0.021585187,0.048016049,0.010062555
