cpg,d_AIBL,d_AddNeuroMed,concordant_strong,mean_abs_d,CHR,MAPINFO
cg00582562,0.004053,-0.092740,False,0.048397,17,48311103.0
cg00584026,0.112857,-0.092884,False,0.102871,4,948554.0
cg00587301,0.060869,0.289249,False,0.175059,6,156396272.0
cg00588393,-0.013409,0.208442,False,0.110926,6,46359195.0
cg00590639,-0.064887,0.091506,False,0.078197,19,10354095.0
cg00592315,-0.194624,-0.004458,False,0.099541,14,93918265.0
cg00596833,0.190128,-0.248203,False,0.219165,4,15913219.0
cg00599850,0.182745,-0.087581,False,0.135163,16,88616815.0
cg00607627,0.039805,-0.006535,False,0.023170,16,28984673.0
cg00610577,-0.251964,-0.277831,True,0.264898,12,11855732.0
cg00619207,-0.023266,-0.045689,False,0.034477,1,111200746.0
cg00622170,-0.068983,-0.050233,False,0.059608,4,2942867.0
cg00622516,0.219625,0.126415,False,0.173020,13,89363520.0
cg00626702,-0.159238,-0.122999,False,0.141119,4,1645289.0
cg00630080,0.040378,0.142638,False,0.091508,16,67230345.0
cg00636427,-0.220097,-0.040354,False,0.130225,18,79430089.0
cg00638021,0.159557,-0.088176,False,0.123866,17,50189701.0
cg00643814,0.028970,-0.205421,False,0.117196,12,106179417.0
cg00646621,-0.071716,-0.134264,False,0.102990,2,235040954.0
cg00661485,0.133147,0.040610,False,0.086879,5,170106368.0
cg00666105,0.010809,-0.037594,False,0.024202,3,181710589.0
cg00666124,0.173496,0.074035,False,0.123766,2,54529266.0
cg00681462,0.016474,0.062056,False,0.039265,14,75334021.0
cg00682096,-0.108008,0.014464,False,0.061236,17,48595562.0
cg00685614,-0.092122,-0.224946,False,0.158534,16,89052430.0
cg00686083,-0.160533,-0.019883,False,0.090208,6,33453699.0
cg00695265,0.208150,0.189280,False,0.198715,7,98403274.0
cg00695982,0.083118,0.140906,False,0.112012,8,63297880.0
cg00697672,0.021310,-0.135468,False,0.078389,16,89084935.0
cg00697916,0.009837,-0.072548,False,0.041192,3,65356969.0
cg00701064,-0.228561,-0.119710,False,0.174135,4,6278687.0
cg00702417,0.106552,-0.016825,False,0.061689,1,5994807.0
cg00703902,0.109582,0.048786,False,0.079184,7,5213385.0
cg00707814,0.006887,-0.224163,False,0.115525,12,121455865.0
cg00713400,-0.031303,-0.028224,False,0.029763,7,22193588.0
cg00715197,0.055651,0.093150,False,0.074400,14,68137877.0
cg00718036,0.021987,0.255709,False,0.138848,4,107824169.0
cg00724315,0.130082,-0.084609,False,0.107345,4,1940122.0
cg00725777,-0.086560,-0.110773,False,0.098666,X,103375483.0
cg00730887,0.002901,0.143348,False,0.073125,4,159228452.0
cg00741954,0.062294,-0.083686,False,0.072990,6,1765812.0
cg00742587,0.107432,0.139479,False,0.123455,14,30159283.0
cg00747975,-0.093884,-0.207803,False,0.150843,14,76867644.0
cg00754027,-0.050108,-0.027808,False,0.038958,1,200621331.0
cg00759427,-0.077453,-0.115709,False,0.096581,20,64077277.0
cg00762678,-0.092284,0.043968,False,0.068126,16,88936827.0
cg00764217,0.048396,-0.074495,False,0.061446,7,117020186.0
cg00765705,-0.187543,-0.210893,False,0.199218,12,124380584.0
cg00765737,0.061454,0.053210,False,0.057332,13,110341146.0
cg00767000,-0.229711,-0.053973,False,0.141842,16,87491701.0
cg00769161,-0.041180,0.073123,False,0.057152,12,57736400.0
cg00773370,0.073697,-0.166496,False,0.120096,12,6374606.0
cg00793843,0.046786,0.031540,False,0.039163,15,90234657.0
cg00796302,0.073771,0.004760,False,0.039265,4,105556442.0
cg00799826,0.001332,0.063449,False,0.032390,6,30103423.0
cg00804354,-0.242185,0.007073,False,0.124629,1,248817208.0
cg00806644,-0.197173,-0.063538,False,0.130356,10,125201246.0
cg00808492,0.227753,-0.007891,False,0.117822,1,119811536.0
cg00812096,0.119760,-0.314420,False,0.217090,13,80010352.0
cg00815177,0.115606,0.109205,False,0.112405,1,24464703.0
cg00816037,-0.167153,0.217343,False,0.192248,16,88745934.0
cg00829990,0.054529,-0.091527,False,0.073028,1,3012400.0
cg00832105,0.177550,0.122765,False,0.150158,8,11474198.0
cg00841988,0.002920,-0.077515,False,0.040218,14,99737816.0
cg00842122,0.137156,0.032295,False,0.084725,15,49324297.0
cg00847221,0.250249,-0.145612,False,0.197931,17,66952326.0
cg00852964,-0.229466,-0.004267,False,0.116867,6,132714011.0
cg00854273,0.076320,0.226807,False,0.151564,17,77963674.0
cg00858840,0.067356,-0.046475,False,0.056915,2,170717329.0
cg00859858,-0.008696,0.210455,False,0.109575,1,37478656.0
cg00864618,-0.246035,-0.046154,False,0.146094,8,140508380.0
cg00866541,-0.043710,-0.003364,False,0.023537,16,85362055.0
cg00869668,-0.251849,-0.208334,True,0.230091,17,1645718.0
cg00870778,0.225055,-0.055066,False,0.140060,7,97969180.0
cg00872532,-0.100526,0.111874,False,0.106200,2,188303721.0
cg00872683,-0.178555,-0.379745,False,0.279150,4,40395988.0
cg00873953,0.227845,-0.114032,False,0.170938,12,94616272.0
cg00874605,0.177721,0.001684,False,0.089703,16,14475741.0
cg00880290,-0.145154,0.303442,False,0.224298,19,14440187.0
cg00884805,0.088113,0.002644,False,0.045378,1,67830924.0
cg00898480,-0.018514,-0.161746,False,0.090130,17,76645193.0
cg00902153,-0.459108,-0.386505,True,0.422806,3,188788927.0
cg00902464,-0.008241,0.285898,False,0.147069,1,100628561.0
cg00903584,-0.077734,0.023250,False,0.050492,1,202159554.0
cg00909094,0.174795,0.006323,False,0.090559,3,12544869.0
cg00916635,-0.125739,0.099374,False,0.112556,1,113871690.0
cg00916899,-0.196365,-0.101366,False,0.148865,20,37316529.0
cg00917373,0.115008,-0.190729,False,0.152869,14,61297889.0
cg00921266,0.010382,0.033635,False,0.022008,7,27114044.0
cg00928596,-0.056018,0.070530,False,0.063274,16,14309165.0
cg00928816,0.076250,0.041733,False,0.058991,10,62049339.0
cg00932141,0.201846,0.285585,True,0.243715,4,79911033.0
cg00933443,0.100079,-0.055820,False,0.077949,3,138173590.0
cg00936935,0.115301,0.182400,False,0.148851,10,50512139.0
cg00943287,0.010307,-0.140054,False,0.075181,1,245311420.0
cg00960147,-0.076477,-0.036153,False,0.056315,1,116509531.0
cg00963378,0.073543,-0.325324,False,0.199434,13,20142499.0
cg00974944,0.057076,0.087071,False,0.072073,3,61664250.0
cg00977842,0.143287,-0.219187,False,0.181237,10,80291037.0
cg00980649,-0.041779,-0.140372,False,0.091075,14,105900645.0
cg00980904,0.086809,0.021268,False,0.054038,3,50336304.0
cg00983904,-0.028426,0.179347,False,0.103886,12,6556122.0
cg00992348,0.061525,-0.269567,False,0.165546,10,93166296.0
cg00994306,0.001577,0.192322,False,0.096950,16,1245607.0
cg00994616,-0.200135,-0.175455,False,0.187795,12,6746057.0
cg00994629,0.091522,0.184178,False,0.137850,14,22226652.0
cg00994717,0.066476,-0.104694,False,0.085585,10,100971782.0
cg00995854,-0.405678,-0.364773,True,0.385226,1,157832515.0
cg01005211,-0.083161,-0.167025,False,0.125093,3,72289432.0
cg01006587,0.260175,0.502318,True,0.381246,19,42074914.0
cg01009920,0.106152,-0.017805,False,0.061978,8,8296128.0
cg01012445,0.105773,-0.039405,False,0.072589,4,150583768.0
cg01015401,-0.097362,0.171098,False,0.134230,4,128709458.0
cg01017395,0.098618,0.087675,False,0.093147,1,12549927.0
cg01019643,0.160742,0.220063,False,0.190402,16,10531261.0
cg01020840,0.161487,-0.010263,False,0.085875,14,88550635.0
cg01021952,-0.038334,-0.150527,False,0.094431,20,43558992.0
cg01035931,0.040582,0.023591,False,0.032087,19,46864205.0
cg01041405,0.020001,-0.115786,False,0.067893,16,68406717.0
cg01045337,-0.208080,-0.092696,False,0.150388,16,324988.0
cg01051098,0.263559,0.002880,False,0.133220,14,55137736.0
cg01051524,-0.192861,0.058374,False,0.125618,2,105798688.0
cg01051583,-0.034856,-0.127058,False,0.080957,14,92729727.0
cg01053766,0.026747,0.066154,False,0.046450,5,10479618.0
cg01054110,-0.386219,-0.404886,True,0.395553,12,124517786.0
cg01058360,-0.343861,-0.261238,True,0.302549,7,151745285.0
cg01062942,0.012979,0.033008,False,0.022994,19,15458124.0
cg01068601,-0.008920,-0.024121,False,0.016521,16,67884796.0
cg01070161,0.153415,-0.038835,False,0.096125,3,197821020.0
cg01070987,-0.177485,0.085899,False,0.131692,3,149969215.0
cg01075459,-0.020435,-0.227481,False,0.123958,16,12570461.0
cg01083093,0.026054,0.356468,False,0.191261,1,111476935.0
cg01084215,0.158869,-0.090846,False,0.124857,17,79950470.0
cg01086369,-0.173148,-0.122816,False,0.147982,19,50382116.0
cg01087925,0.108719,0.006368,False,0.057544,3,52520782.0
cg01089914,-0.019281,-0.130948,False,0.075114,2,217978506.0
cg01093854,0.188280,0.012921,False,0.100601,10,68602665.0
cg01095004,0.190442,-0.207711,False,0.199076,16,88388475.0
cg01096199,-0.132863,0.241053,False,0.186958,14,89724701.0
cg01097872,0.094892,0.073427,False,0.084160,11,65793292.0
cg01119135,-0.047442,0.065702,False,0.056572,1,207032180.0
cg01120369,0.131040,-0.087857,False,0.109449,3,129584483.0
cg01126699,0.081162,0.274523,False,0.177843,14,104159131.0
cg01129641,-0.247304,0.285289,False,0.266296,2,240621820.0
cg01133215,-0.066761,0.004284,False,0.035522,6,45431944.0
cg01134758,0.129734,-0.030381,False,0.080057,10,8162078.0
cg01138020,-0.002884,0.220762,False,0.111823,17,4433799.0
cg01144086,0.151695,-0.026824,False,0.089259,16,50681349.0
cg01146539,-0.134138,0.097575,False,0.115857,5,135352933.0
cg01147727,-0.028999,-0.077648,False,0.053324,14,104896678.0
cg01152726,0.325818,0.465781,True,0.395799,18,23872880.0
cg01154353,0.110009,0.042125,False,0.076067,13,44379772.0
cg01157280,-0.088118,0.006939,False,0.047529,2,237590821.0
cg01166685,-0.108904,0.136110,False,0.122507,10,92848313.0
cg01178188,0.085296,-0.241775,False,0.163536,11,61755573.0
cg01180479,0.039060,-0.107821,False,0.073440,11,65607362.0
cg01202639,0.062043,-0.005432,False,0.033738,12,100504830.0
cg01203773,-0.108684,-0.152596,False,0.130640,6,45955695.0
cg01206912,0.054273,-0.058206,False,0.056240,3,187998132.0
cg01209296,-0.058715,-0.049161,False,0.053938,20,63803963.0
cg01214458,-0.113013,-0.341561,False,0.227287,22,27798008.0
cg01215651,0.075565,0.206585,False,0.141075,4,164753986.0
cg01231543,-0.300581,-0.237248,True,0.268915,16,68707845.0
cg01243072,-0.037116,-0.102985,False,0.070050,2,43171032.0
cg01243992,0.176471,0.171037,False,0.173754,20,32790470.0
cg01244043,-0.084999,-0.074017,False,0.079508,20,1467792.0
cg01247454,0.197892,0.002741,False,0.100316,2,189164209.0
cg01260308,0.095601,0.121299,False,0.108450,14,49766944.0
cg01262913,-0.180171,0.019518,False,0.099845,21,37208185.0
cg01264765,-0.035472,0.040448,False,0.037960,16,84294263.0
cg01271812,-0.228916,-0.054239,False,0.141578,2,66444346.0
cg01272393,0.108661,-0.014881,False,0.061771,2,102622934.0
cg01275887,0.222038,0.034365,False,0.128202,7,4707585.0
cg01280881,0.046489,0.087586,False,0.067038,5,65076673.0
cg01281993,0.029315,0.130353,False,0.079834,16,11280233.0
cg01288184,-0.032442,-0.018277,False,0.025359,18,23231444.0
cg01289421,0.046501,0.126648,False,0.086575,19,17797437.0
cg01290568,-0.348192,-0.248203,True,0.298197,2,112836282.0
cg01291088,-0.074977,0.012003,False,0.043490,16,67653745.0
cg01303222,0.205635,-0.060167,False,0.132901,19,17239917.0
cg01303236,-0.024773,-0.077274,False,0.051024,5,74639017.0
cg01303385,-0.000531,-0.132695,False,0.066613,3,111732623.0
cg01303480,0.226064,-0.068170,False,0.147117,21,41765724.0
cg01305421,-0.226195,-0.206151,True,0.216173,12,102480508.0
cg01312412,0.137089,-0.092219,False,0.114654,13,26708488.0
cg01315201,0.218682,-0.078733,False,0.148707,13,44759157.0
cg01323777,-0.059786,-0.149599,False,0.104692,17,7929625.0
cg01325552,-0.040096,0.170560,False,0.105328,4,186104266.0
cg01341572,-0.110796,0.085728,False,0.098262,12,120978709.0
cg01347702,-0.056791,-0.013107,False,0.034949,6,31877895.0
cg01348584,0.136844,-0.102069,False,0.119456,7,4871391.0
cg01351822,0.122494,0.032368,False,0.077431,15,90930245.0
cg01356872,0.075662,-0.125005,False,0.100334,2,224221790.0
cg01364755,0.222323,-0.021801,False,0.122062,10,1328499.0
cg01373932,-0.019882,0.019884,False,0.019883,6,31534685.0
cg01379730,-0.054914,-0.117582,False,0.086248,2,170214436.0
cg01382502,0.103680,0.161892,False,0.132786,16,22241183.0
cg01394199,-0.015984,-0.166907,False,0.091446,12,120978744.0
cg01410923,0.053024,-0.109096,False,0.081060,2,191334115.0
cg01413582,0.073173,0.033808,False,0.053491,6,30684911.0
cg01419713,0.084264,0.025215,False,0.054739,8,42180617.0
cg01423916,-0.252673,-0.075626,False,0.164150,11,47863614.0
cg01437161,-0.221839,0.032156,False,0.126997,12,8681518.0
cg01437515,-0.124817,-0.086786,False,0.105802,1,1212935.0
cg01438056,-0.031451,0.237792,False,0.134621,15,90230338.0
cg01449715,-0.277349,-0.132318,False,0.204833,13,50917270.0
cg01456691,-0.013549,0.207047,False,0.110298,6,11382323.0
cg01471232,-0.012573,-0.028588,False,0.020580,11,415430.0
cg01475476,0.054941,-0.020932,False,0.037936,7,22353442.0
cg01481000,-0.096751,-0.164228,False,0.130489,1,33049257.0
cg01483139,-0.012405,0.240697,False,0.126551,4,186628304.0
cg01484075,0.048223,-0.092372,False,0.070298,2,120913058.0
cg01485547,-0.104379,-0.148199,False,0.126289,6,10555031.0
cg01485975,-0.277447,0.153595,False,0.215521,5,157059175.0
cg01492330,0.140926,-0.101836,False,0.121381,12,52790221.0
cg01492538,-0.173131,-0.216911,False,0.195021,7,2734909.0
cg01493517,-0.128490,-0.128353,False,0.128421,12,6556281.0
cg01494083,-0.041933,0.092882,False,0.067407,16,83805156.0
cg01510278,-0.286380,-0.005342,False,0.145861,16,11362381.0
cg01511480,0.102872,0.163039,False,0.132956,12,6362085.0
cg01514538,0.011272,-0.045504,False,0.028388,1,3063816.0
cg01519261,-0.033123,0.063996,False,0.048559,21,35049170.0
cg01534572,-0.075227,0.130495,False,0.102861,16,88958149.0
cg01537769,0.073970,0.124304,False,0.099137,13,93423589.0
cg01545587,0.044962,-0.204156,False,0.124559,14,105527242.0
cg01552748,0.126614,-0.070091,False,0.098353,13,111573179.0
cg01556275,0.129641,0.045429,False,0.087535,1,58779925.0
cg01559561,0.172816,0.062688,False,0.117752,20,36431827.0
cg01564045,0.128729,0.056074,False,0.092402,X,149502065.0
cg01564640,0.223381,-0.156714,False,0.190047,19,40624057.0
cg01568433,0.230508,0.163622,False,0.197065,3,50329910.0
cg01570265,0.169221,0.142930,False,0.156075,14,69714034.0
cg01574513,-0.069302,-0.117383,False,0.093342,16,85948114.0
cg01577755,0.057669,0.252007,False,0.154838,5,912318.0
cg01581098,-0.145027,-0.070326,False,0.107677,7,106113907.0
cg01589587,-0.136046,-0.014196,False,0.075121,14,75536097.0
cg01606770,0.170448,0.256950,False,0.213699,1,96814240.0
cg01612095,-0.141249,-0.175063,False,0.158156,16,88646705.0
cg01612681,-0.087771,-0.045298,False,0.066535,11,2301156.0
cg01613817,-0.153825,0.113964,False,0.133894,21,38498473.0
cg01616876,-0.243216,-0.013195,False,0.128205,12,113107123.0
cg01618923,0.068439,-0.153208,False,0.110823,13,49309199.0
cg01622006,-0.071988,-0.024807,False,0.048398,6,170148173.0
cg01634544,0.129355,0.012014,False,0.070684,14,70661430.0
cg01636184,-0.003480,0.289338,False,0.146409,11,8874148.0
cg01638792,0.045298,-0.012171,False,0.028735,11,69293877.0
cg01640991,0.005744,-0.006365,False,0.006054,12,121509512.0
cg01645998,0.156511,0.097057,False,0.126784,16,82011617.0
cg01653532,-0.085753,-0.107367,False,0.096560,17,59366717.0
cg01657186,-0.164266,0.070355,False,0.117311,12,570734.0
cg01660911,0.127551,0.058980,False,0.093265,22,16601882.0
cg01660934,-0.087610,-0.179858,False,0.133734,16,68235138.0
cg01661742,0.015043,0.060869,False,0.037956,4,141220038.0
cg01681098,0.085123,0.144278,False,0.114701,11,128696114.0
cg01681367,0.204545,0.149064,False,0.176805,16,29664750.0
cg01684901,0.099155,-0.144988,False,0.122072,3,184340617.0
cg01687402,0.008903,-0.288806,False,0.148855,17,50543300.0
cg01691160,0.194049,0.208598,False,0.201324,4,155419270.0
cg01693305,0.030722,0.030096,False,0.030409,1,19486817.0
cg01696784,-0.030835,-0.028757,False,0.029796,2,234995857.0
cg01699740,-0.026114,-0.184819,False,0.105466,11,123525778.0
cg01700683,0.023366,-0.003213,False,0.013290,15,63218743.0
cg01704698,-0.202427,-0.161039,False,0.181733,16,84907688.0
cg01708377,0.022999,-0.059363,False,0.041181,6,1686512.0
cg01710351,0.032001,0.202459,False,0.117230,1,160647302.0
cg01714342,0.131415,0.048481,False,0.089948,14,24340387.0
cg01721818,0.143960,0.038087,False,0.091023,2,15595788.0
cg01722297,-0.213337,-0.008061,False,0.110699,17,48113340.0
