cpg,bc_hc,bc_case,delta_bc,mean_beta_hc,mean_beta_case,sd_beta_hc,sd_beta_case,delta_var,bimodal_in_hc,lost_in_case,loss_of_bimodality,in_residual_concordant
cg00028929,0.3709321153876714,0.4645597375055849,0.09362762211791348,0.7667205902335457,0.7686236397515527,0.04883724573192749,0.0499292390103926,0.00010785233747623996,False,False,False,False
cg00031013,0.41467725969623975,0.45516620004798813,0.04048894035174838,0.8640138259023354,0.8642790869565218,0.025974948653266636,0.0334807925941112,0.0004462655151900532,False,False,False,False
cg00031187,0.2898867490324831,0.3873890500284865,0.09750230099600338,0.8725790934182591,0.8757478509316771,0.018593601215740264,0.01693711931092887,-5.885599561733816e-05,False,False,False,False
cg00034336,0.3130303450447348,0.42635446957889206,0.11332412453415724,0.20337371762208073,0.19111790683229812,0.06409579884436022,0.06735856969131705,0.00042890548136332793,False,False,False,False
cg00037681,0.3411832587602658,0.4578254405256762,0.11664218176541041,0.03867987473460722,0.037359366459627334,0.007203641387344784,0.008227894532996763,1.580579920865132e-05,False,False,False,False
cg00041401,0.30440180449999277,0.3102978821137936,0.005896077613800843,0.024777428874734612,0.024467465838509315,0.0035969388585080685,0.0038592490558900443,1.9558341235428712e-06,False,False,False,False
cg00041575,0.5680879931902533,0.507926718664519,-0.060161274525734276,0.043453420382165604,0.04059983229813664,0.014728469422492136,0.011108634241681122,-9.352605681383551e-05,True,True,True,False
cg00041865,0.3172920612662068,0.26684033591924705,-0.05045172534695974,0.9192359129511677,0.9198140931677019,0.005535726326756662,0.0049737678220354775,-5.90589961723127e-06,False,False,False,False
cg00043076,0.4786137960231245,0.6304782022118606,0.1518644061887361,0.8958172314225051,0.8975278944099377,0.01790739206797341,0.019161554033272746,4.6490462293914084e-05,False,False,False,False
cg00045753,0.37983855717937653,0.38550281504280093,0.005664257863424393,0.8815927643312101,0.882522695652174,0.01637223765902178,0.017957299147228222,5.441442669955245e-05,False,False,False,False
cg00047683,0.582617088266246,0.38226150314701385,-0.20035558511923218,0.8867347813163481,0.8905061801242234,0.024640352340862804,0.019060602236317264,-0.00024384040587076045,True,True,True,False
cg00048743,0.5848010357082097,0.5505766522371506,-0.03422438347105916,0.1512750297239915,0.1507455652173913,0.091145013048807,0.0942440035297195,0.0005745187976425835,True,True,True,False
cg00051307,0.41335393274130194,0.43549822072815075,0.02214428798684881,0.8702187303609341,0.8665499627329193,0.024935317233806036,0.02353638931125806,-6.780842373944169e-05,False,False,False,False
cg00057966,0.3442428875226622,0.4242415538393584,0.07999866631669622,0.026279934182590232,0.026434776397515534,0.003741087322588624,0.0036857289763613165,-4.111362680438814e-07,False,False,False,False
cg00058887,0.6109095412948956,0.6767513032299994,0.06584176193510383,0.8376796369426751,0.8331153291925467,0.08123629404242068,0.0986705509320522,0.003136542151488073,True,False,False,False
cg00067884,0.32146555815629013,0.4702747205695018,0.14880916241321168,0.9256962781316348,0.9248807329192547,0.006392201788376933,0.007497635392873676,1.5354292781142743e-05,False,False,False,False
cg00070899,0.44676649251248735,0.4327125031808654,-0.014053989331621941,0.7783937558386412,0.7698016149068323,0.08236130526391887,0.08593948384001544,0.0006022102779118452,False,False,False,False
cg00075967,0.39393652464860124,0.4429013377613313,0.04896481311273004,0.7534590106157112,0.7526141925465838,0.056734694486593656,0.0648893538038517,0.0009918026785943235,False,False,False,False
cg00078348,0.37250738934097427,0.3608927767093513,-0.011614612631622945,0.6229028343949045,0.6112963167701864,0.055451922442147694,0.05327816389601165,-0.00023635295439968385,False,False,False,False
cg00081602,0.4940536512390039,0.4949835103872605,0.0009298591482566065,0.9295109235668791,0.9310243229813664,0.012092746146527607,0.009522313729867919,-5.5560050594327234e-05,False,False,False,False
cg00082235,0.3634138447886724,0.2806148973184012,-0.08279894747027117,0.03407504670912952,0.03425204347826087,0.005619181193280744,0.006048853817406057,5.01343522142782e-06,False,False,False,False
cg00090674,0.3473557864702027,0.6666154216262105,0.31925963515600775,0.9031140530785564,0.9001549254658384,0.01582115937218747,0.02414174530806358,0.0003325147826392545,False,False,False,False
cg00092400,0.3683074504548488,0.5349138050749236,0.16660635462007478,0.12423421231422505,0.11818498757763975,0.03247274610627328,0.03892766128506624,0.0004608835734423583,False,False,False,False
cg00098182,0.3091570796567474,0.49291694314663254,0.18375986348988516,0.7919982484076433,0.7967107329192545,0.05280300750964564,0.053314926218034596,5.432375557077934e-05,False,False,False,False
cg00100680,0.6592371380629028,0.9409222900181905,0.28168515195528765,0.9507554925690022,0.9486382795031055,0.013171968152887759,0.037794359326857756,0.0012549128519069505,True,False,False,False
cg00101602,0.422096955657161,0.36743822590203656,-0.054658729755124424,0.910262617834395,0.9112759192546583,0.010971828345591635,0.01019202142792044,-1.6503716457938673e-05,False,False,False,False
cg00118342,0.5004339350067688,0.4735281024627446,-0.026905832544024177,0.05000092781316349,0.050627633540372675,0.013813154644199318,0.012563006515007386,-3.2974108528447174e-05,False,False,False,False
cg00130808,0.29045772291592775,0.36137826824548874,0.07092054532956099,0.660763872611465,0.6736977329192547,0.08605144963933231,0.10665244526238943,0.003969892095416428,False,False,False,False
cg00136822,0.1804823376230234,0.41502154194623175,0.23453920432320835,0.8785040658174097,0.8783482732919253,0.013130290418022607,0.01919211991156383,0.00019593294023822848,False,False,False,False
cg00141162,0.39062922986206106,0.2865857601369835,-0.10404346972507755,0.026474222929936307,0.025910596273291918,0.00415941990165475,0.004131659358506704,-2.30164863545585e-07,False,False,False,False
cg00143809,0.4693488428969546,0.4602905847828457,-0.00905825811410893,0.8986541231422505,0.8997252298136645,0.026231196358812745,0.028653066783995495,0.000132922573713515,False,False,False,False
cg00147943,0.34153576339671987,0.5959913631284711,0.25445559973175125,0.8844690106157114,0.8814125279503107,0.013232136975492088,0.01916180066860305,0.00019208515592509143,False,False,False,False
cg00149213,0.5631353107641625,0.5699077352312273,0.00677242446706483,0.05519049681528663,0.05564334161490684,0.019673463641858874,0.021442002881932924,7.27143159212768e-05,True,False,False,False
cg00150245,0.34697942918656727,0.37040084602116186,0.02342141683459459,0.9190024543524415,0.9185555279503107,0.00732166613853626,0.008245390089363659,1.4379662681587975e-05,False,False,False,False
cg00154950,0.35192178061580687,0.5043011004816289,0.15237931986582204,0.9521960743099787,0.9513966832298137,0.013217066757697982,0.012125789675533691,-2.7656078422165606e-05,False,False,False,False
cg00157012,0.35571252613090987,0.4500131203347295,0.09430059420381964,0.1717044203821656,0.15888211180124223,0.05352990403759348,0.05984847992952638,0.0007163899236009557,False,False,False,True
cg00164282,0.40980393529670056,0.38870792337369386,-0.021096011923006697,0.03133256900212314,0.03095201242236025,0.004427269883854371,0.004061666920716754,-3.103580449639177e-06,False,False,False,False
cg00164583,0.38866809846348166,0.4342957343972709,0.04562763593378927,0.957649983014862,0.9579244223602484,0.005842927562239945,0.006273323979996321,5.214791260413651e-06,False,False,False,False
cg00164997,0.36107009101017284,0.38169667078627956,0.020626579776106713,0.057960925690021224,0.05979740993788819,0.010688752569018535,0.010253257487545147,-9.120142375799715e-06,False,False,False,True
cg00166343,0.23203803526472594,0.289749917258003,0.05771188199327704,0.05662244161358811,0.05562762111801241,0.009978878574497361,0.009370535701698235,-1.1771078267761256e-05,False,False,False,False
cg00167158,0.30690818052265245,0.24721470507420687,-0.05969347544844558,0.9018900615711252,0.9010698322981364,0.007362384830615232,0.008365616120642296,1.5778822683876986e-05,False,False,False,False
cg00168191,0.34302515262551947,0.42081609676160797,0.0777909441360885,0.9143493312101911,0.9143797329192547,0.008652218630775995,0.00899408947292454,6.032758212224789e-06,False,False,False,False
cg00171729,0.47285224101563816,0.6176945710420103,0.14484233002637215,0.8740143821656051,0.8687826956521738,0.022741878070765255,0.031098365753292292,0.00044991533433998924,False,False,False,False
cg00172074,0.27481429877185665,0.33992229107698285,0.0651079923051262,0.912523762208068,0.9125440248447203,0.00827755074621114,0.007804729741437488,-7.604040019221725e-06,False,False,False,False
cg00172603,0.5908165338886145,0.6993356728356243,0.10851913894700971,0.08512073248407644,0.08304791925465839,0.03760767854496006,0.041111341434720776,0.00027580490902114,True,False,False,False
cg00183886,0.43927022322651726,0.4793393709921156,0.040069147765598334,0.8420503163481955,0.8395462422360248,0.03539024525877585,0.03951329931693512,0.0003088313634333989,False,False,False,False
cg00187503,0.24828524825588816,0.4256265419962886,0.17734129374040042,0.9077723630573248,0.908466857142857,0.011298456994531185,0.013420081209635589,5.244344921594355e-05,False,False,False,False
cg00195796,0.28497902890860516,0.51199187103151,0.22701284212290485,0.16349604033970275,0.1647623788819876,0.03606330144833787,0.04904247736808675,0.0011046028750456125,False,False,False,False
cg00199519,0.8939739637536698,0.9589639609063788,0.06498999715270903,0.9123855201698514,0.9098296521739131,0.03432480653651632,0.0577090801146428,0.0021521455839089874,True,False,False,False
cg00200645,0.2671537537046363,0.3261961711550083,0.05904241745037203,0.8793343227176221,0.8791758198757765,0.015594525175484607,0.018048035649998104,8.254237537477928e-05,False,False,False,False
cg00206063,0.41501317449943625,0.5624216412877826,0.14740846678834635,0.9052833524416136,0.9038719440993789,0.02048610048994272,0.0268497827065808,0.0003012305181065741,False,False,False,False
cg00208218,0.3538382700606516,0.38355831185356914,0.02972004179291754,0.907941668789809,0.9090701739130435,0.010303156055237492,0.009361908271397731,-1.8509698216511756e-05,False,False,False,False
cg00211625,0.12591050171299414,0.4047886598154111,0.278878158102417,0.9429336284501061,0.9426370062111803,0.004930864132971742,0.0043854611480676955,-5.081151616615941e-06,False,False,False,False
cg00212786,0.6645393959638073,0.6284634622527941,-0.03607593371101314,0.9067092271762208,0.9057667018633541,0.025291499247800095,0.025514323159953885,1.1320752109086375e-05,True,False,False,False
cg00213668,0.5970780857718692,0.5571703432254485,-0.03990774254642071,0.8769620106157112,0.8789755900621119,0.02926352994489997,0.030630437235181624,8.186950038234356e-05,True,False,False,False
cg00216138,0.5322752338708239,0.6414188339748259,0.10914360010400204,0.09155530148619957,0.10222352795031056,0.02870513676008696,0.04354672467578103,0.0010723323535729808,False,False,False,False
cg00222625,0.27338928630318027,0.229179343633309,-0.04420994266987127,0.8650738895966029,0.86522899378882,0.012457953129427771,0.012326417154579475,-3.26003630630805e-06,False,False,False,False
cg00225623,0.24437338923587879,0.45366799357039045,0.20929460433451166,0.030280815286624203,0.029749385093167702,0.003774372827971791,0.0037774680774000455,2.3374831244620076e-08,False,False,False,False
cg00232092,0.29010601234858685,0.31452721291454394,0.02442120056595709,0.5180059150743099,0.5028056583850931,0.06417269650617483,0.07196822452609777,0.0010612903645651987,False,False,False,False
cg00232402,0.4859524933340642,0.4536182772859208,-0.032334216048143405,0.10826482590233547,0.10200743478260871,0.039672442263684375,0.04362110529688906,0.0003288981521569127,False,False,False,False
cg00238318,0.32981803595518927,0.33390202145015335,0.004083985494964082,0.02386691082802548,0.02351421739130435,0.003502037623360962,0.003300938002476819,-1.3680758192400459e-06,False,False,False,False
cg00240653,0.16221956550366515,0.13486045693520513,-0.027359108568460022,0.04021601910828025,0.03988984472049689,0.005189366537988191,0.005913274174007796,8.037286391396032e-06,False,False,False,False
cg00242035,0.3484645656316089,0.3458128976195095,-0.002651668012099373,0.0481221932059448,0.04920504968944099,0.008327357369054949,0.008358339239796116,5.169540955617585e-07,False,False,False,False
cg00245885,0.2567074299222257,0.37074662607664266,0.11403919615441693,0.9152221507430998,0.9152982732919255,0.008828563528887987,0.008530815556694722,-5.1687199212664155e-06,False,False,False,False
cg00247963,0.13349061102230278,0.27497515595253497,0.1414845449302322,0.5884229702760085,0.5856424906832298,0.03822459640101372,0.038674170267621454,3.457167586858414e-05,False,False,False,False
cg00249032,0.3958933459040598,0.32499224404863725,-0.07090110185542253,0.9093825753715499,0.9087323354037267,0.00975552762382984,0.00969825349286155,-1.1141984075058143e-06,False,False,False,False
cg00249974,0.31920652154883095,0.3397738774440148,0.02056735589518388,0.9064934076433121,0.9052560683229814,0.010819809889560878,0.013176308593515592,5.6546822105313455e-05,False,False,False,False
cg00255726,0.3915764160475978,0.4856811594675907,0.09410474341999292,0.07540660721868366,0.0776805652173913,0.022936332513987565,0.025161541635446,0.0001070278282800795,False,False,False,False
cg00257775,0.3254880598905392,0.42231554649480213,0.09682748660426294,0.2575720806794055,0.24238029192546584,0.055514308444529224,0.06481925017661032,0.0011196967513836683,False,False,False,False
cg00263619,0.29989247271524666,0.3044756067252474,0.004583134010000767,0.7926482993630573,0.7895752732919255,0.04044760875715515,0.05447531515546601,0.0013315509071154515,False,False,False,False
cg00265360,0.3275411624875811,0.403871414735263,0.07633025224768192,0.12372736518046708,0.11996098136645963,0.018336670968261234,0.018955027248883094,2.3059555807626185e-05,False,False,False,False
cg00266566,0.9095665469424588,0.35654556951769206,-0.5530209774247667,0.8767845711252654,0.880068850931677,0.04180697339875982,0.012600975775317552,-0.0015890384342744715,True,True,True,False
cg00280812,0.3015874572506323,0.25252088566762315,-0.049066571583009144,0.7813686560509554,0.7782395403726708,0.031008970279728848,0.034160221879218265,0.0002053645210283153,False,False,False,False
cg00281100,0.3641904551108707,0.3579739631010683,-0.006216492009802399,0.9111075286624204,0.9113484782608695,0.009121949894827926,0.009206467489003967,1.5490737423357867e-06,False,False,False,False
cg00281977,0.8161779175020266,0.8445366834967227,0.02835876599469611,0.030847397027600847,0.03630444099378882,0.031386103527515266,0.04284555898016805,0.0008506544296831527,True,False,False,False
cg00285317,0.5151274355063572,0.6981062991600712,0.18297886365371396,0.8483093014861995,0.844464204968944,0.03777878078338587,0.04965378587946719,0.0010382621746848502,False,False,False,False
cg00287915,0.30803465228589433,0.35539666794764774,0.04736201566175341,0.1974905414012739,0.18453483229813666,0.04388357031541004,0.04968378244334816,0.0005427104942504135,False,False,False,False
cg00302521,0.4546104821483797,0.6004211423563484,0.14581066020796868,0.023197993630573246,0.023362695652173915,0.003094155225507248,0.0038058186307998805,4.910458891009666e-06,False,False,False,False
cg00308914,0.4421644714812662,0.4452179339899325,0.0030534625086662825,0.09717626326963907,0.08972742857142857,0.0398956065420784,0.04492895073275614,0.0004269511925860995,False,False,False,False
cg00311883,0.1848330736615681,0.33772591340281355,0.15289283974124546,0.044002380042462846,0.04423186335403727,0.004635492498099988,0.004004828430308992,-5.449139943730085e-06,False,False,False,False
cg00318947,0.7145418669169759,0.34834114568155344,-0.3662007212354224,0.8920472887473461,0.8933512236024844,0.02377517851675738,0.013140382322717609,-0.00039258946591649234,True,True,True,False
cg00320288,0.3452485218721027,0.4122185983423123,0.06697007647020958,0.18535818683651806,0.18050078260869565,0.043708916162021626,0.05022461844400807,0.0006120429457875606,False,False,False,False
cg00325139,0.49406961789045656,0.5051366130439178,0.011066995153461212,0.8853996199575372,0.8855260434782609,0.02207524229707138,0.02305814198264569,4.4361589217438544e-05,False,False,False,False
cg00325381,0.39841785041556765,0.3872381484981829,-0.011179701917384766,0.7251549554140129,0.7259082857142857,0.033039710649590236,0.03538172766475455,0.0001602441727342112,False,False,False,False
cg00325491,0.45410949771763537,0.5417854290096198,0.08767593129198442,0.8492841677282378,0.8505463788819877,0.03389791102117455,0.041904745289308244,0.0006069393061623343,False,False,False,False
cg00325531,0.527237461951738,0.5075308518908997,-0.019706610060838292,0.26571449256900215,0.26413040372670804,0.1519501826145082,0.1411577181351315,-0.0031633566074651606,False,False,False,False
cg00331101,0.3085639075967186,0.3149231752222169,0.006359267625498322,0.05245831847133759,0.0521437950310559,0.009986821181067354,0.008861375729195504,-2.1212617488640392e-05,False,False,False,False
cg00335219,0.3241915086849246,0.34859788426646965,0.02440637558154507,0.20047801486199576,0.19021183850931675,0.04529466451686692,0.05085526261532584,0.0005346511019782342,False,False,False,False
cg00339740,0.5052621680429703,0.6387209199416691,0.13345875189869882,0.9231982951167729,0.9229271801242236,0.011541983420021011,0.013392742315284142,4.6148165455562506e-05,False,False,False,False
cg00344445,0.2343640688477034,0.3266206468224407,0.0922565779747373,0.6199874628450106,0.6075631118012421,0.05852172455693042,0.06426869782279256,0.0007056732747201871,False,False,False,True
cg00355699,0.3252948448144902,0.3500087954328418,0.024713950618351577,0.8948984607218683,0.8947882484472048,0.009697716254852176,0.011637428396144407,4.1384039115764076e-05,False,False,False,False
cg00356694,0.3274579503244074,0.4081424180570507,0.08068446773264332,0.017313683651804673,0.017543652173913044,0.002182230906061608,0.002148498269899436,-1.4608691160959587e-07,False,False,False,False
cg00359423,0.14468786675033468,0.17730032818140667,0.03261246143107199,0.9127769766454352,0.9125779254658386,0.007206537587310964,0.007050282883112553,-2.2276952654158686e-06,False,False,False,False
cg00360761,0.30292970569234945,0.21063850242908314,-0.09229120326326631,0.19589640976645434,0.18584140372670807,0.05329384867377894,0.05601296042908048,0.0002972174295660865,False,False,False,True
cg00362657,0.7768064365870205,0.8022249062016031,0.025418469614582606,0.035011036093418255,0.037420260869565215,0.01849880591053692,0.031135356522473314,0.0006272046056658058,True,False,False,False
cg00362818,0.4762007864194658,0.4781403144834849,0.0019395280640190915,0.7983032823779191,0.8017512857142858,0.0591960788950396,0.06196119216185125,0.0003350135775701049,False,False,False,False
cg00363080,0.41867157129396787,0.29454833315889717,-0.1241232381350707,0.05383484076433121,0.05304788819875777,0.012925266987411387,0.010245635432950088,-6.208948127094429e-05,False,False,False,False
cg00366413,0.21875618187546889,0.30983991829544155,0.09108373641997267,0.6469669171974521,0.6429529130434783,0.035122383441689206,0.03765722856361566,0.0001844850444673472,False,False,False,False
cg00370106,0.1300926214873379,0.3202732523164189,0.190180630829081,0.053832683651804665,0.05425224844720496,0.007993848838107923,0.0077187340923164476,-4.322763258631174e-06,False,False,False,False
cg00375025,0.37640099984983033,0.4645734977572393,0.08817249790740894,0.9044993545647557,0.9037917204968945,0.016333236592245632,0.018224235412703592,6.534813879936795e-05,False,False,False,False
cg00375608,0.37514100729972427,0.40075864383703486,0.025617636537310584,0.9138132271762208,0.9119971739130435,0.008667059688745727,0.008495308464503522,-2.9476577412159685e-06,False,False,False,False
cg00381974,0.23852763382368697,0.2721955096478927,0.03366787582420572,0.9731860976645434,0.9732846770186334,0.0019212944093664121,0.001626152897187424,-1.0469989624315774e-06,False,False,False,False
cg00387964,0.3361585546259541,0.3891922003752587,0.05303364574930458,0.03269342887473461,0.032900291925465834,0.004855283506713973,0.005532677967810606,7.036747564928162e-06,False,False,False,False
cg00400165,0.36857269427486133,0.2937738613294615,-0.07479883294539985,0.8838480912951169,0.8832653167701863,0.014350876602261952,0.014148227991705514,-5.7753039480701275e-06,False,False,False,False
cg00405112,0.45162102873056803,0.4608493319845721,0.009228303254004089,0.8240236496815286,0.830601298136646,0.04853646322024512,0.0561507432594223,0.000797117706655351,False,False,False,False
cg00412294,0.1576457073446148,0.3756091862891589,0.2179634789445441,0.016867972399150742,0.016894763975155276,0.0026329725692267286,0.002374736792034877,-1.2931697188563014e-06,False,False,False,False
cg00415057,0.2991924717243233,0.4263684723611686,0.1271760006368453,0.8665333991507432,0.8666281863354037,0.02073574449032393,0.021252950685788603,2.171681328456298e-05,False,False,False,False
cg00421645,0.3931586417312406,0.4388172452561425,0.04565860352490192,0.8904934118895966,0.8902945403726709,0.017441948262010953,0.017943509834336267,1.774798600025538e-05,False,False,False,False
cg00428709,0.4156034015147723,0.5347455834070834,0.11914218189231113,0.8699434861995754,0.8724514782608696,0.01903614581384808,0.019165621258873583,4.94619079250124e-06,False,False,False,False
cg00435692,0.408949540708607,0.4242006044871795,0.015251063778572493,0.8910090636942675,0.8922003416149068,0.017176978872780115,0.016095948345043853,-3.5969050069614423e-05,False,False,False,False
cg00437360,0.7525914621723034,0.48408378789758694,-0.2685076742747165,0.9458527898089172,0.9488475403726708,0.02320907185665155,0.007549224938688889,-0.0004816702192722927,True,True,True,False
cg00437411,0.46899400426951515,0.41297750948097445,-0.056016494788540705,0.8385307303609342,0.8390038819875778,0.03419638204126639,0.031506677124337246,-0.00017672184129501056,False,False,False,False
cg00440980,0.311977646684492,0.38556720561220376,0.07358955892771174,0.7722096050955414,0.7859305217391305,0.04998744431811337,0.053835936442130236,0.000399563463144602,False,False,False,False
cg00442389,0.4069192022473308,0.4633575472066031,0.0564383449592723,0.0749459617834395,0.07287526086956522,0.021002908339607173,0.02233867616196228,5.7894293947081206e-05,False,False,False,False
cg00447208,0.4052964378881624,0.301328485842468,-0.10396795204569437,0.058093301486199574,0.05767126708074533,0.013578870552097284,0.01125016231869443,-5.781957327364277e-05,False,False,False,False
cg00448868,0.2755928035988886,0.281449344333784,0.005856540734895388,0.6710312611464967,0.6651393664596272,0.04071854541728796,0.04230673426162339,0.00013185982298387572,False,False,False,False
cg00449000,0.38889656552121654,0.714437832987173,0.32554126746595646,0.034746987261146486,0.03650009937888198,0.0064883305599481075,0.01269848122375515,0.00011915299193490555,False,False,False,False
cg00450164,0.2982118581604123,0.3830358261484017,0.08482396798798941,0.017070562632696393,0.01720639751552795,0.002016285051351331,0.001954597846359652,-2.4495266730905153e-07,False,False,False,False
cg00452882,0.4667130290037284,0.4587946625112405,-0.007918366492487894,0.8105797749469215,0.7934304968944099,0.09949298060560624,0.10645367976596232,0.0014335327459265162,False,False,False,False
cg00456892,0.44372266043648984,0.4650676781642969,0.02134501772780706,0.08454852229299364,0.0795084099378882,0.03145408287219459,0.031920854859611776,2.9581645637515768e-05,False,False,False,False
cg00459816,0.38623110976736946,0.43699159575392704,0.05076048598655758,0.8960843630573249,0.8958053229813663,0.017646364946447984,0.01734972335283854,-1.0381295403197137e-05,False,False,False,False
cg00461650,0.6365527819552668,0.7574145740615776,0.12086179210631087,0.8855684628450106,0.882935,0.02801092158529703,0.03561701279638005,0.00048395987247984104,True,False,False,False
cg00463982,0.39018094520336055,0.3961229702003772,0.005942024997016626,0.24024370276008492,0.23794024223602486,0.10110733127100874,0.11393733784145217,0.0027590245176517085,False,False,False,False
cg00469083,0.42020857427389297,0.8403400325946457,0.42013145832075277,0.9366363418259023,0.9362153291925468,0.008070761915832692,0.01644209846201831,0.00020520540393264953,False,False,False,False
cg00470044,0.32921678463983134,0.3287982886841679,-0.000418495955663456,0.9137685817409766,0.9133827018633541,0.008648463769450368,0.009488131028978202,1.5228704851563289e-05,False,False,False,False
cg00475131,0.322908111522485,0.38470052681887756,0.06179241529639257,0.8362115307855627,0.8313187204968945,0.023119473816037274,0.02478641681425816,7.985638895970646e-05,False,False,False,False
cg00476955,0.31457335151882304,0.37251641296248683,0.05794306144366379,0.2571283439490446,0.24715366459627328,0.04449374588431072,0.05012234336924304,0.0005325558820066839,False,False,False,False
cg00487187,0.544527436302681,0.6347852130953331,0.09025777679265212,0.0512777940552017,0.0505704844720497,0.022794142994209614,0.025975964491743515,0.0001551777764358447,False,False,False,False
cg00491064,0.34087685061268763,0.3757985486292713,0.03492169801658368,0.72478616985138,0.7302639565217391,0.04505655332754962,0.05644899184688198,0.0011563956827710256,False,False,False,False
cg00491523,0.3400506052484405,0.3961461470984494,0.05609554185000892,0.6850597176220806,0.6838105403726707,0.050087652807840936,0.056719979697853584,0.0007083831331261064,False,False,False,False
cg00498816,0.318751302181282,0.3356432171136455,0.016891914932363472,0.9472713842887475,0.9480040807453416,0.006120434465082496,0.006175367785580827,6.754492458197942e-07,False,False,False,False
cg00500789,0.47072235319309547,0.5625659906018616,0.09184363740876617,0.8927234861995753,0.8944404223602485,0.0449116554797437,0.0525240663849249,0.0007417207516768054,False,False,False,False
cg00502099,0.5778143025828852,0.53648804041259,-0.041326262170295225,0.032960229299363056,0.03054393167701863,0.014592242911993654,0.012159122007840565,-6.50893052010763e-05,True,True,True,False
cg00512404,0.17235199042415048,0.20149739709386924,0.029145406669718765,0.036360709129511684,0.036476590062111805,0.005439208083228767,0.006330637371615959,1.049198495823947e-05,False,False,False,False
cg00513941,0.2985038371311728,0.5127086619884171,0.21420482485724435,0.9364790849256901,0.9366125838509316,0.006450010715577932,0.0074203248821724495,1.3458583125917431e-05,False,False,False,False
cg00514575,0.7721343883642982,0.7559505017908769,-0.01618388657342129,0.06458763269639066,0.06606439130434782,0.10593357402162258,0.10535936703612155,-0.00012132588274241414,True,False,False,False
cg00516870,0.5319915672460777,0.40220790520142674,-0.12978366204465092,0.9007728110403398,0.8997237701863354,0.018006488915978027,0.015684956703497958,-7.821577629063407e-05,False,False,False,False
cg00521850,0.47105457689818747,0.5105083147969853,0.03945373789879786,0.864639,0.8684529440993788,0.03635866889372333,0.04080295543098693,0.0003429283681797013,False,False,False,False
cg00524220,0.4912054795048344,0.5359077912295294,0.044702311724694965,0.026320218683651808,0.027224086956521742,0.005858813520231009,0.006771806050079351,1.1531661315049632e-05,False,False,False,False
cg00532399,0.4635643718422847,0.5504911383739602,0.08692676653167553,0.8898029193205944,0.8900320248447207,0.02433616007940649,0.029706616645738686,0.00029023438512638066,False,False,False,False
cg00542261,0.35584371830320755,0.41293739870390606,0.05709368040069851,0.9255520870488322,0.9251946521739132,0.008468468914773881,0.008739948670659395,4.671737005269405e-06,False,False,False,False
cg00543840,0.4631622557839456,0.5473397376564216,0.08417748187247603,0.8910934840764331,0.8931747391304348,0.030871315957299004,0.03075252676499155,-7.320246503862357e-06,False,False,False,False
