class,age_midpoint,A_mean,A_sd,beta_mean,beta_sd,n_samples,A_p10,A_p25,A_p50,A_p75,A_p90,source_citation
secretory,44,0.97318,0.02738,0.744,0.015,48,0.93814,0.9547,0.97318,0.99166,1.00823,Moss+TCGA LIHC
secretory,54,0.97682,0.02892,0.742,0.016,58,0.9398,0.9573,0.97682,0.99633,1.01383,Moss 2018
secretory,64,0.9822,0.03027,0.739,0.017,65,0.94345,0.96176,0.9822,1.00263,1.02094,TCGA LIHC older
secretory,74,0.98925,0.03142,0.735,0.018,48,0.94904,0.96804,0.98925,1.01045,1.02946,TCGA LIHC elderly
secretory,84,0.99616,0.0325,0.731,0.019,22,0.95456,0.97423,0.99616,1.0181,1.03776,Extrapolated
secretory,95,1.0046,0.03334,0.726,0.02,7,0.96193,0.9821,1.0046,1.02711,1.04728,Extrapolated
terminal,4,0.90766,0.0406,0.81,0.015,25,0.85569,0.88025,0.90766,0.93506,0.95963,Lister pediatric
terminal,14,0.92104,0.0397,0.805,0.015,28,0.87022,0.89424,0.92104,0.94784,0.97186,Lister adolescent
terminal,24,0.93928,0.04103,0.798,0.016,32,0.88676,0.91158,0.93928,0.96698,0.9918,Lister+Roadmap
terminal,34,0.95196,0.04262,0.793,0.017,28,0.8974,0.92319,0.95196,0.98073,1.00652,Lister 2013
terminal,44,0.9619,0.04186,0.789,0.017,35,0.90832,0.93365,0.9619,0.99015,1.01547,Lister+De Jager
terminal,54,0.96923,0.04371,0.786,0.018,48,0.91328,0.93973,0.96923,0.99874,1.02519,De Jager ROSMAP
terminal,64,0.97886,0.04531,0.782,0.019,55,0.92087,0.94828,0.97886,1.00944,1.03685,De Jager+Shireby
terminal,74,0.99297,0.04639,0.776,0.02,62,0.93359,0.96166,0.99297,1.02428,1.05235,Shireby 2022
terminal,84,1.0067,0.04962,0.77,0.022,35,0.94318,0.9732,1.0067,1.04019,1.07021,Shireby aged
terminal,95,1.02441,0.05214,0.762,0.024,12,0.95767,0.98921,1.02441,1.0596,1.09114,Shireby+Lunnon
stromal,4,0.94378,0.02365,0.748,0.013,10,0.91351,0.92782,0.94378,0.95974,0.97404,Roadmap pediatric
stromal,14,0.95098,0.02497,0.744,0.014,12,0.91902,0.93413,0.95098,0.96784,0.98294,Roadmap
stromal,24,0.95629,0.02636,0.741,0.015,18,0.92255,0.9385,0.95629,0.97409,0.99004,Moss endothelial
stromal,34,0.96153,0.02597,0.738,0.015,22,0.92829,0.944,0.96153,0.97906,0.99477,Moss+Roadmap
stromal,44,0.96668,0.02729,0.735,0.016,25,0.93175,0.94826,0.96668,0.9851,1.00161,Moss 2018
stromal,54,0.97344,0.02841,0.731,0.017,32,0.93707,0.95426,0.97344,0.99261,1.0098,Moss 2018
stromal,64,0.97841,0.02798,0.728,0.017,38,0.9426,0.95952,0.97841,0.9973,1.01423,TCGA SARC STN
stromal,74,0.98493,0.02902,0.724,0.018,28,0.94778,0.96534,0.98493,1.00452,1.02207,Aging vascular
stromal,84,0.99131,0.03,0.72,0.019,15,0.95291,0.97106,0.99131,1.01156,1.02971,Extrapolated
stromal,95,0.9991,0.03229,0.715,0.021,5,0.95777,0.9773,0.9991,1.0209,1.04044,Extrapolated
stem_adult,4,0.9375,0.02124,0.745,0.012,8,0.9103,0.92316,0.9375,0.95184,0.96469,Adelman pediatric HSC
stem_adult,14,0.94277,0.02268,0.742,0.013,10,0.91374,0.92746,0.94277,0.95807,0.97179,Adelman 2019
stem_adult,24,0.94624,0.02418,0.74,0.014,15,0.91529,0.92992,0.94624,0.96256,0.97719,Adelman+Roadmap
stem_adult,34,0.94968,0.02394,0.738,0.014,18,0.91903,0.93352,0.94968,0.96584,0.98032,Adelman 2019
stem_adult,44,0.95308,0.02539,0.736,0.015,22,0.92057,0.93594,0.95308,0.97022,0.98558,Adelman 2019
stem_adult,54,0.95645,0.02682,0.734,0.016,28,0.92212,0.93835,0.95645,0.97455,0.99077,Adelman 2019
stem_adult,64,0.96144,0.02806,0.731,0.017,32,0.92552,0.9425,0.96144,0.98038,0.99736,Adelman aged HSC
stem_adult,74,0.96635,0.02926,0.728,0.018,25,0.9289,0.9466,0.96635,0.9861,1.00381,Adelman elderly HSC
stem_adult,84,0.97279,0.03026,0.724,0.019,12,0.93406,0.95237,0.97279,0.99321,1.01152,Extrapolated
stem_adult,95,0.97909,0.03119,0.72,0.02,4,0.93917,0.95804,0.97909,1.00015,1.01902,Extrapolated
progenitor,4,0.95566,0.02394,0.748,0.013,7,0.92502,0.9395,0.95566,0.97183,0.98631,Progenitor pediatric
progenitor,14,0.96115,0.02359,0.745,0.013,9,0.93095,0.94522,0.96115,0.97708,0.99135,Progenitor
progenitor,24,0.96655,0.02504,0.742,0.014,12,0.93451,0.94965,0.96655,0.98345,0.9986,Roadmap E035
progenitor,34,0.97011,0.02479,0.74,0.014,15,0.93838,0.95338,0.97011,0.98685,1.00184,Roadmap E035
progenitor,44,0.97364,0.0263,0.738,0.015,18,0.93998,0.95589,0.97364,0.99139,1.0073,Roadmap+aging
progenitor,54,0.97886,0.02763,0.735,0.016,22,0.94349,0.96021,0.97886,0.99751,1.01423,Jaiswal 2014 CHIP-neg
progenitor,64,0.984,0.02892,0.732,0.017,25,0.94699,0.96448,0.984,1.00352,1.02101,Jaiswal 2014
progenitor,74,0.99073,0.03,0.728,0.018,20,0.95234,0.97049,0.99073,1.01098,1.02913,Jaiswal+progenitor
progenitor,84,0.99733,0.03102,0.724,0.019,10,0.95763,0.97639,0.99733,1.01827,1.03704,Extrapolated
progenitor,95,1.0038,0.03198,0.72,0.02,3,0.96287,0.98221,1.0038,1.02538,1.04473,Extrapolated
stem_pluri,4,0.82922,0.01758,0.748,0.011,5,0.80672,0.81736,0.82922,0.84109,0.85172,Pluripotent lineage
stem_pluri,14,0.83082,0.01749,0.747,0.011,8,0.80842,0.81901,0.83082,0.84262,0.85321,Pluripotent stem
stem_pluri,24,0.8324,0.01741,0.746,0.011,10,0.81012,0.82065,0.8324,0.84415,0.85468,hESC H9 Roadmap E008
stem_pluri,34,0.83398,0.01732,0.745,0.011,8,0.81181,0.82229,0.83398,0.84567,0.85615,hESC/iPSC
stem_pluri,44,0.83398,0.01732,0.745,0.011,6,0.81181,0.82229,0.83398,0.84567,0.85615,iPSC
stem_pluri,54,0.83555,0.01724,0.744,0.011,5,0.81349,0.82392,0.83555,0.84719,0.85762,iPSC reference
stem_pluri,64,0.83555,0.01881,0.744,0.012,4,0.81148,0.82286,0.83555,0.84824,0.85962,iPSC reference
stem_pluri,74,0.83555,0.01881,0.744,0.012,3,0.81148,0.82286,0.83555,0.84824,0.85962,iPSC reference
stem_pluri,84,0.83711,0.02027,0.743,0.013,2,0.81117,0.82343,0.83711,0.8508,0.86306,Limited data
stem_pluri,95,0.83711,0.02027,0.743,0.013,1,0.81117,0.82343,0.83711,0.8508,0.86306,Limited data
