cpg_id,PT,POD,DCT,TAL,PC,CNT_IC,PEC,FIB,EC,Myeloid,B
cg00067720,0.755125,0.755125,0.755125,0.755125,0.755125,0.755125,0.755125,0.536173,0.755125,0.755125,0.755125
cg00071658,0.852919,0.26034,0.852919,0.852919,0.852919,0.852919,0.852919,0.852919,0.852919,0.852919,0.852919
cg00074348,0.7058884999999999,0.7058884999999999,0.7058884999999999,0.7058884999999999,0.7058884999999999,0.7058884999999999,0.7058884999999999,0.7058884999999999,0.290318,0.7058884999999999,0.480936
cg00079388,0.69533,0.69533,0.69533,0.69533,0.69533,0.69533,0.69533,0.69533,0.69533,0.952024,0.69533
cg00081919,0.7806245,0.7806245,0.7806245,0.7806245,0.7806245,0.7806245,0.7806245,0.399896,0.7806245,0.403319,0.7806245
cg00085619,0.146597,0.146597,0.146597,0.146597,0.616665,0.146597,0.146597,0.146597,0.146597,0.146597,0.146597
cg00089453,0.685893,0.405707,0.685893,0.685893,0.685893,0.685893,0.685893,0.685893,0.685893,0.685893,0.685893
cg00093087,0.799662,0.799662,0.799662,0.799662,0.075572,0.799662,0.799662,0.799662,0.799662,0.799662,0.799662
cg00093686,0.207663,0.207663,0.207663,0.207663,0.207663,0.207663,0.207663,0.477183,0.207663,0.207663,0.207663
cg00101940,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.48249
cg00109503,0.0291,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023
cg00110654,0.34514200000000006,0.34514200000000006,0.789992,0.34514200000000006,0.882272,0.827308,0.34514200000000006,0.34514200000000006,0.34514200000000006,0.34514200000000006,0.34514200000000006
cg00115194,0.292164,0.292164,0.292164,0.292164,0.292164,0.292164,0.292164,0.292164,0.588266,0.292164,0.292164
cg00115288,0.155995,0.155995,0.155995,0.155995,0.155995,0.155995,0.155995,0.155995,0.545496,0.583901,0.155995
cg00125544,0.869612,0.869612,0.869612,0.869612,0.869612,0.869612,0.5473,0.869612,0.869612,0.869612,0.869612
cg00128482,0.89418,0.89418,0.89418,0.89418,0.89418,0.89418,0.89418,0.680412,0.89418,0.89418,0.89418
cg00131705,0.426621,0.426621,0.426621,0.426621,0.037549,0.426621,0.426621,0.426621,0.426621,0.426621,0.426621
cg00139477,0.898417,0.898417,0.898417,0.898417,0.898417,0.898417,0.898417,0.898417,0.898417,0.898417,0.613107
cg00142257,0.181521,0.181521,0.181521,0.181521,0.181521,0.181521,0.181521,0.181521,0.455241,0.181521,0.181521
cg00145587,0.051308,0.051308,0.051308,0.051308,0.051308,0.051308,0.051308,0.051308,0.051308,0.283077,0.051308
cg00147286,0.779693,0.779693,0.779693,0.779693,0.779693,0.779693,0.779693,0.353331,0.779693,0.779693,0.779693
cg00150520,0.5228675,0.5228675,0.5228675,0.5228675,0.5228675,0.5228675,0.5228675,0.5228675,0.5228675,0.939392,0.778578
cg00151251,0.6107895,0.6107895,0.6107895,0.6107895,0.6107895,0.6107895,0.6107895,0.6107895,0.6107895,0.290044,0.014827
cg00152838,0.339517,0.339517,0.339517,0.339517,0.339517,0.339517,0.339517,0.339517,0.339517,0.563262,0.339517
cg00154333,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.266142
cg00155310,0.181565,0.181565,0.181565,0.181565,0.592192,0.181565,0.181565,0.181565,0.181565,0.181565,0.181565
cg00160583,0.571819,0.571819,0.571819,0.571819,0.571819,0.571819,0.571819,0.249304,0.571819,0.571819,0.571819
cg00169633,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.403874,0.396251
cg00175895,0.373262,0.373262,0.373262,0.373262,0.373262,0.373262,0.373262,0.373262,0.373262,0.373262,0.663168
cg00179906,0.543363,0.096013,0.543363,0.543363,0.543363,0.543363,0.543363,0.543363,0.543363,0.543363,0.543363
cg00187889,0.65637,0.65637,0.65637,0.65637,0.65637,0.65637,0.65637,0.65637,0.65637,0.343795,0.221769
cg00188704,0.443078,0.443078,0.685333,0.443078,0.443078,0.443078,0.443078,0.443078,0.443078,0.443078,0.443078
cg00194126,0.3305795,0.3305795,0.3305795,0.3305795,0.641663,0.3305795,0.3305795,0.3305795,0.753044,0.3305795,0.3305795
cg00199091,0.863924,0.863924,0.863924,0.863924,0.863924,0.863924,0.863924,0.391606,0.863924,0.863924,0.863924
cg00201257,0.888199,0.888199,0.888199,0.888199,0.888199,0.888199,0.888199,0.888199,0.346457,0.888199,0.888199
cg00203284,0.498874,0.498874,0.498874,0.498874,0.498874,0.498874,0.498874,0.797684,0.498874,0.498874,0.498874
cg00207352,0.107946,0.107946,0.107946,0.107946,0.107946,0.107946,0.107946,0.107946,0.107946,0.533212,0.107946
cg00218149,0.896174,0.896174,0.896174,0.896174,0.626496,0.896174,0.896174,0.896174,0.896174,0.896174,0.896174
cg00222015,0.170021,0.170021,0.170021,0.170021,0.170021,0.170021,0.170021,0.170021,0.170021,0.588966,0.573856
cg00222472,0.6486765,0.6486765,0.6486765,0.6486765,0.6486765,0.6486765,0.6486765,0.206209,0.209441,0.6486765,0.6486765
cg00226225,0.886348,0.886348,0.886348,0.886348,0.886348,0.886348,0.886348,0.064528,0.886348,0.886348,0.886348
cg00232952,0.313949,0.313949,0.313949,0.313949,0.313949,0.313949,0.313949,0.313949,0.77897,0.313949,0.313949
cg00233779,0.778193,0.544644,0.778193,0.778193,0.778193,0.778193,0.778193,0.778193,0.778193,0.778193,0.778193
cg00237391,0.694459,0.694459,0.694459,0.694459,0.694459,0.694459,0.694459,0.694459,0.694459,0.222202,0.694459
cg00240195,0.3305795,0.3305795,0.3305795,0.3305795,0.641663,0.3305795,0.3305795,0.3305795,0.753044,0.3305795,0.3305795
cg00241273,0.731084,0.731084,0.731084,0.731084,0.731084,0.731084,0.731084,0.731084,0.182107,0.731084,0.731084
cg00241663,0.133698,0.133698,0.133698,0.133698,0.133698,0.133698,0.133698,0.133698,0.612697,0.133698,0.133698
cg00242035,0.871452,0.871452,0.871452,0.871452,0.871452,0.871452,0.871452,0.871452,0.871452,0.296804,0.871452
cg00244040,0.258949,0.258949,0.258949,0.258949,0.258949,0.258949,0.258949,0.258949,0.028975,0.258949,0.258949
cg00256155,0.498874,0.498874,0.498874,0.498874,0.498874,0.498874,0.498874,0.797684,0.498874,0.498874,0.498874
cg00257893,0.44525,0.44525,0.44525,0.44525,0.44525,0.44525,0.44525,0.44525,0.943604,0.44525,0.44525
cg00259966,0.181952,0.392513,0.181952,0.181952,0.181952,0.181952,0.181952,0.181952,0.181952,0.181952,0.181952
cg00264129,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.530295
cg00266647,0.8915845,0.548277,0.461463,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845
cg00271964,0.373038,0.373038,0.373038,0.373038,0.373038,0.373038,0.373038,0.076258,0.373038,0.373038,0.373038
cg00275741,0.407765,0.407765,0.407765,0.407765,0.407765,0.407765,0.407765,0.407765,0.407765,0.407765,0.624208
cg00280345,0.076979,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242
cg00280812,0.638398,0.638398,0.638398,0.638398,0.638398,0.638398,0.393243,0.638398,0.638398,0.638398,0.638398
cg00296578,0.72195,0.72195,0.72195,0.72195,0.72195,0.72195,0.447457,0.72195,0.72195,0.72195,0.72195
cg00299660,0.437694,0.437694,0.437694,0.437694,0.437694,0.437694,0.437694,0.437694,0.437694,0.437694,0.085008
cg00314966,0.1219595,0.1219595,0.1219595,0.1219595,0.1219595,0.1219595,0.1219595,0.369872,0.374981,0.1219595,0.1219595
cg00318947,0.2277185,0.2277185,0.662813,0.2277185,0.2277185,0.2277185,0.2277185,0.2277185,0.2277185,0.942615,0.2277185
cg00321644,0.8915845,0.548277,0.461463,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845,0.8915845
cg00324097,0.411506,0.411506,0.411506,0.411506,0.411506,0.411506,0.411506,0.411506,0.411506,0.411506,0.096744
cg00326842,0.7806245,0.7806245,0.7806245,0.7806245,0.7806245,0.7806245,0.7806245,0.399896,0.7806245,0.403319,0.7806245
cg00327947,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.48249
cg00329154,0.077785,0.077785,0.077785,0.077785,0.077785,0.077785,0.077785,0.326324,0.077785,0.077785,0.077785
cg00329411,0.827292,0.827292,0.827292,0.827292,0.827292,0.827292,0.827292,0.827292,0.33867,0.827292,0.827292
cg00332937,0.350202,0.350202,0.350202,0.350202,0.350202,0.350202,0.350202,0.830444,0.350202,0.350202,0.350202
cg00333843,0.436362,0.844728,0.844728,0.844728,0.844728,0.844728,0.844728,0.844728,0.844728,0.844728,0.844728
cg00344411,0.023361,0.486743,0.486743,0.486743,0.486743,0.486743,0.486743,0.486743,0.486743,0.486743,0.486743
cg00350296,0.599521,0.599521,0.599521,0.599521,0.599521,0.599521,0.599521,0.04923,0.599521,0.599521,0.599521
cg00350432,0.4715275,0.200867,0.4715275,0.4715275,0.4715275,0.4715275,0.4715275,0.4715275,0.4715275,0.81031,0.4715275
cg00363312,0.636823,0.636823,0.636823,0.636823,0.636823,0.636823,0.636823,0.636823,0.318928,0.636823,0.636823
cg00366413,0.67297,0.67297,0.67297,0.67297,0.256089,0.67297,0.67297,0.67297,0.67297,0.67297,0.67297
cg00370047,0.686003,0.396063,0.686003,0.686003,0.686003,0.686003,0.686003,0.686003,0.686003,0.686003,0.686003
cg00376979,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725,0.863456,0.621725
cg00381179,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.0966475,0.403874,0.396251
cg00397179,0.207663,0.207663,0.207663,0.207663,0.207663,0.207663,0.207663,0.477183,0.207663,0.207663,0.207663
cg00401972,0.803718,0.803718,0.803718,0.803718,0.803718,0.803718,0.803718,0.803718,0.028905,0.803718,0.803718
cg00402547,0.929321,0.568053,0.929321,0.929321,0.929321,0.929321,0.929321,0.929321,0.929321,0.929321,0.929321
cg00406023,0.803338,0.803338,0.803338,0.803338,0.803338,0.803338,0.803338,0.522522,0.803338,0.803338,0.803338
cg00426310,0.078415,0.078415,0.078415,0.078415,0.078415,0.078415,0.078415,0.078415,0.338022,0.078415,0.078415
cg00426486,0.6457546666666667,0.146657,0.6457546666666667,0.6457546666666667,0.6457546666666667,0.6457546666666667,0.6457546666666667,0.124045,0.867803,0.6457546666666667,0.6457546666666667
cg00430542,0.419485,0.419485,0.419485,0.419485,0.806102,0.419485,0.419485,0.419485,0.419485,0.419485,0.419485
cg00431187,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.22434199999999999,0.92864,0.846646
cg00434461,0.506577,0.506577,0.506577,0.506577,0.506577,0.506577,0.506577,0.506577,0.506577,0.070747,0.506577
cg00434535,0.811122,0.811122,0.811122,0.811122,0.811122,0.811122,0.811122,0.811122,0.811122,0.811122,0.500222
cg00438740,0.746298,0.746298,0.746298,0.746298,0.746298,0.746298,0.746298,0.746298,0.252,0.092412,0.204997
cg00439089,0.932779,0.932779,0.932779,0.932779,0.932779,0.932779,0.932779,0.662833,0.932779,0.932779,0.932779
cg00445443,0.443078,0.443078,0.685333,0.443078,0.443078,0.443078,0.443078,0.443078,0.443078,0.443078,0.443078
cg00447208,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.5713010000000001,0.272446,0.142849
cg00450164,0.8086745,0.8086745,0.8086745,0.8086745,0.8086745,0.8086745,0.8086745,0.8086745,0.8086745,0.388541,0.351946
cg00452882,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.914973,0.923031
cg00453202,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.827656,0.48249
cg00454274,0.285682,0.858878,0.858878,0.858878,0.858878,0.858878,0.858878,0.858878,0.858878,0.858878,0.858878
cg00456395,0.864267,0.864267,0.864267,0.864267,0.864267,0.864267,0.864267,0.864267,0.556195,0.864267,0.864267
cg00457087,0.821001,0.821001,0.821001,0.821001,0.821001,0.821001,0.821001,0.058986,0.821001,0.821001,0.821001
cg00458965,0.406639,0.406639,0.406639,0.406639,0.406639,0.406639,0.712206,0.406639,0.406639,0.406639,0.406639
cg00460286,0.727222,0.727222,0.727222,0.727222,0.727222,0.727222,0.727222,0.727222,0.727222,0.956166,0.727222
cg00463367,0.3750386666666667,0.3750386666666667,0.3750386666666667,0.3750386666666667,0.016352,0.3750386666666667,0.3750386666666667,0.826272,0.750743,0.3750386666666667,0.3750386666666667
cg00465319,0.939229,0.939229,0.939229,0.939229,0.939229,0.939229,0.939229,0.715263,0.939229,0.939229,0.939229
cg00469897,0.221935,0.221935,0.221935,0.221935,0.221935,0.221935,0.221935,0.221935,0.221935,0.221935,0.607329
cg00470636,0.837124,0.62472,0.837124,0.837124,0.837124,0.837124,0.837124,0.837124,0.837124,0.837124,0.837124
cg00471696,0.824277,0.479387,0.824277,0.824277,0.824277,0.824277,0.824277,0.824277,0.824277,0.824277,0.824277
cg00473501,0.629568,0.629568,0.629568,0.629568,0.629568,0.629568,0.629568,0.629568,0.629568,0.388434,0.629568
cg00474328,0.214705,0.214705,0.214705,0.214705,0.763077,0.214705,0.214705,0.214705,0.214705,0.214705,0.214705
cg00479240,0.43535999999999997,0.43535999999999997,0.43535999999999997,0.43535999999999997,0.43535999999999997,0.43535999999999997,0.43535999999999997,0.090335,0.01967,0.43535999999999997,0.43535999999999997
cg00486564,0.724354,0.142622,0.142622,0.142622,0.142622,0.142622,0.142622,0.142622,0.142622,0.142622,0.142622
cg00487187,0.240157,0.240157,0.240157,0.240157,0.544274,0.240157,0.240157,0.240157,0.240157,0.240157,0.240157
cg00492309,0.962262,0.962262,0.962262,0.962262,0.962262,0.962262,0.962262,0.962262,0.615316,0.962262,0.962262
cg00492979,0.63304,0.63304,0.63304,0.63304,0.63304,0.63304,0.63304,0.406481,0.63304,0.63304,0.63304
cg00496026,0.820948,0.2853,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948
cg00501622,0.561083,0.561083,0.561083,0.561083,0.561083,0.561083,0.561083,0.561083,0.004868,0.561083,0.561083
cg00507008,0.207663,0.207663,0.207663,0.207663,0.207663,0.207663,0.207663,0.477183,0.207663,0.207663,0.207663
cg00510320,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.44747950000000003,0.914973,0.923031
cg00514609,0.36576949999999997,0.36576949999999997,0.36576949999999997,0.36576949999999997,0.36576949999999997,0.36576949999999997,0.132862,0.36576949999999997,0.36576949999999997,0.738357,0.36576949999999997
cg00516678,0.049797,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769
cg00521255,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.530295
cg00524179,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.945588,0.827485
cg00524443,0.554959,0.554959,0.554959,0.247903,0.554959,0.554959,0.554959,0.554959,0.554959,0.554959,0.554959
cg00533182,0.076979,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242,0.427242
cg00535785,0.83887,0.83887,0.83887,0.83887,0.83887,0.83887,0.83887,0.634267,0.83887,0.83887,0.83887
cg00536924,0.292184,0.292184,0.292184,0.292184,0.292184,0.292184,0.292184,0.292184,0.035415,0.292184,0.292184
cg00538923,0.537386,0.537386,0.537386,0.537386,0.537386,0.537386,0.537386,0.195959,0.537386,0.537386,0.537386
cg00545229,0.901879,0.901879,0.901879,0.901879,0.901879,0.901879,0.901879,0.615209,0.901879,0.901879,0.901879
cg00547068,0.635023,0.635023,0.635023,0.635023,0.635023,0.635023,0.635023,0.635023,0.635023,0.959296,0.635023
cg00547441,0.5943035,0.5943035,0.5943035,0.5943035,0.5943035,0.5943035,0.5943035,0.5943035,0.5943035,0.126288,0.002769
cg00551679,0.1219595,0.1219595,0.1219595,0.1219595,0.1219595,0.1219595,0.1219595,0.369872,0.374981,0.1219595,0.1219595
cg00558219,0.3305795,0.3305795,0.3305795,0.3305795,0.641663,0.3305795,0.3305795,0.3305795,0.753044,0.3305795,0.3305795
cg00562553,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.26436800000000005,0.595868,0.632503
cg00565882,0.491257,0.491257,0.491257,0.491257,0.491257,0.491257,0.491257,0.035951,0.491257,0.491257,0.491257
cg00574513,0.786729,0.175873,0.786729,0.786729,0.786729,0.786729,0.786729,0.034581,0.786729,0.786729,0.786729
cg00574563,0.406639,0.406639,0.406639,0.406639,0.406639,0.406639,0.712206,0.406639,0.406639,0.406639,0.406639
cg00575066,0.34514200000000006,0.34514200000000006,0.789992,0.34514200000000006,0.882272,0.827308,0.34514200000000006,0.34514200000000006,0.34514200000000006,0.34514200000000006,0.34514200000000006
cg00580562,0.291321,0.576584,0.576584,0.576584,0.576584,0.576584,0.576584,0.576584,0.576584,0.576584,0.576584
cg00593243,0.341923,0.341923,0.341923,0.341923,0.341923,0.341923,0.341923,0.341923,0.341923,0.341923,0.628197
cg00595086,0.179425,0.473243,0.179425,0.179425,0.179425,0.179425,0.179425,0.179425,0.179425,0.179425,0.179425
cg00597076,0.428682,0.428682,0.428682,0.428682,0.428682,0.428682,0.428682,0.428682,0.105676,0.428682,0.428682
cg00604454,0.419485,0.419485,0.419485,0.419485,0.806102,0.419485,0.419485,0.419485,0.419485,0.419485,0.419485
cg00605763,0.494062,0.494062,0.494062,0.494062,0.494062,0.494062,0.494062,0.494062,0.205641,0.494062,0.494062
cg00605777,0.401809,0.401809,0.401809,0.401809,0.401809,0.401809,0.401809,0.401809,0.077436,0.401809,0.401809
cg00619207,0.239828,0.591477,0.239828,0.239828,0.239828,0.239828,0.239828,0.239828,0.239828,0.239828,0.239828
cg00622010,0.049797,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769,0.834769
cg00633740,0.517255,0.517255,0.517255,0.517255,0.517255,0.517255,0.726272,0.517255,0.517255,0.517255,0.517255
cg00638021,0.932779,0.932779,0.932779,0.932779,0.932779,0.932779,0.932779,0.662833,0.932779,0.932779,0.932779
cg00639447,0.796257,0.796257,0.796257,0.796257,0.796257,0.796257,0.796257,0.796257,0.796257,0.796257,0.531264
cg00641210,0.300071,0.300071,0.300071,0.300071,0.300071,0.300071,0.300071,0.300071,0.049264,0.300071,0.300071
cg00643296,0.461318,0.461318,0.461318,0.461318,0.461318,0.461318,0.461318,0.461318,0.461318,0.461318,0.73649
cg00646396,0.719263,0.719263,0.719263,0.719263,0.719263,0.719263,0.719263,0.719263,0.293033,0.719263,0.719263
cg00646731,0.257933,0.727187,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933
cg00652657,0.077785,0.077785,0.077785,0.077785,0.077785,0.077785,0.077785,0.326324,0.077785,0.077785,0.077785
cg00661399,0.854967,0.854967,0.854967,0.854967,0.854967,0.854967,0.854967,0.587314,0.854967,0.854967,0.854967
cg00668519,0.819666,0.390823,0.819666,0.819666,0.819666,0.819666,0.819666,0.819666,0.819666,0.819666,0.819666
cg00668559,0.553422,0.553422,0.553422,0.553422,0.553422,0.553422,0.553422,0.553422,0.553422,0.553422,0.171888
cg00670721,0.515545,0.515545,0.515545,0.515545,0.515545,0.515545,0.515545,0.515545,0.515545,0.717471,0.515545
cg00674004,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.12312300000000001,0.465711,0.498288
cg00686453,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.8803449999999999,0.473915,0.350281
cg00687306,0.23418,0.696823,0.23418,0.23418,0.23418,0.23418,0.23418,0.23418,0.23418,0.23418,0.23418
cg00689580,0.199242,0.199242,0.495686,0.199242,0.618897,0.413816,0.199242,0.199242,0.199242,0.199242,0.199242
cg00690402,0.257933,0.727187,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933
cg00694520,0.619351,0.619351,0.619351,0.619351,0.619351,0.619351,0.619351,0.088364,0.619351,0.619351,0.619351
cg00710269,0.771562,0.771562,0.771562,0.771562,0.771562,0.771562,0.771562,0.771562,0.771562,0.771562,0.165727
cg00711072,0.257933,0.727187,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933,0.257933
cg00713294,0.112999,0.112999,0.112999,0.112999,0.112999,0.112999,0.112999,0.112999,0.472911,0.112999,0.112999
cg00713400,0.637485,0.637485,0.637485,0.637485,0.637485,0.637485,0.637485,0.637485,0.637485,0.921978,0.637485
cg00714874,0.759262,0.759262,0.759262,0.759262,0.759262,0.759262,0.759262,0.759262,0.759262,0.759262,0.120356
cg00724728,0.520889,0.520889,0.520889,0.520889,0.520889,0.520889,0.520889,0.319041,0.520889,0.520889,0.520889
cg00725635,0.640806,0.267607,0.640806,0.640806,0.640806,0.640806,0.640806,0.640806,0.640806,0.640806,0.640806
cg00727675,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.375607,0.945588,0.827485
cg00730441,0.274328,0.274328,0.274328,0.274328,0.026101,0.274328,0.274328,0.274328,0.274328,0.274328,0.274328
cg00737841,0.82502,0.82502,0.82502,0.82502,0.82502,0.82502,0.82502,0.346471,0.82502,0.82502,0.82502
cg00737978,0.452914,0.452914,0.452914,0.452914,0.452914,0.452914,0.452914,0.452914,0.452914,0.452914,0.139137
cg00741954,0.789778,0.113137,0.789778,0.789778,0.789778,0.789778,0.789778,0.789778,0.789778,0.789778,0.789778
cg00743139,0.279448,0.279448,0.279448,0.279448,0.279448,0.279448,0.279448,0.279448,0.279448,0.530497,0.279448
cg00743540,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.47411,0.2179,0.2179
cg00759508,0.871335,0.58402,0.871335,0.871335,0.871335,0.871335,0.871335,0.871335,0.871335,0.871335,0.871335
cg00761125,0.342788,0.342788,0.342788,0.342788,0.342788,0.342788,0.342788,0.342788,0.063095,0.342788,0.342788
cg00761344,0.64003,0.64003,0.64003,0.64003,0.64003,0.64003,0.64003,0.222582,0.64003,0.64003,0.64003
cg00764612,0.269991,0.269991,0.269991,0.269991,0.269991,0.269991,0.269991,0.269991,0.269991,0.269991,0.526678
cg00767581,0.14111,0.14111,0.14111,0.14111,0.14111,0.14111,0.14111,0.787162,0.627228,0.14111,0.14111
cg00768487,0.609187,0.609187,0.609187,0.609187,0.609187,0.609187,0.609187,0.609187,0.609187,0.609187,0.320262
cg00769161,0.1468835,0.1468835,0.1468835,0.1468835,0.1468835,0.1468835,0.1468835,0.1468835,0.1468835,0.887276,0.924671
cg00770316,0.655759,0.655759,0.655759,0.655759,0.655759,0.655759,0.655759,0.287415,0.655759,0.655759,0.655759
cg00771593,0.6931135,0.6931135,0.6931135,0.6931135,0.274562,0.073469,0.6931135,0.6931135,0.6931135,0.6931135,0.6931135
cg00776080,0.142334,0.142334,0.142334,0.142334,0.142334,0.142334,0.142334,0.142334,0.142334,0.38386,0.142334
cg00786685,0.484465,0.484465,0.484465,0.484465,0.484465,0.484465,0.484465,0.484465,0.484465,0.484465,0.761939
cg00790307,0.380869,0.09689,0.09689,0.09689,0.09689,0.09689,0.09689,0.09689,0.09689,0.09689,0.09689
cg00790741,0.901743,0.677543,0.901743,0.901743,0.901743,0.901743,0.901743,0.901743,0.901743,0.901743,0.901743
cg00792424,0.34514200000000006,0.34514200000000006,0.789992,0.34514200000000006,0.882272,0.827308,0.34514200000000006,0.34514200000000006,0.34514200000000006,0.34514200000000006,0.34514200000000006
cg00794641,0.896174,0.896174,0.896174,0.896174,0.626496,0.896174,0.896174,0.896174,0.896174,0.896174,0.896174
cg00801571,0.740191,0.097873,0.740191,0.740191,0.740191,0.740191,0.740191,0.740191,0.740191,0.740191,0.740191
cg00804392,0.7480455,0.7480455,0.7480455,0.7480455,0.7480455,0.7480455,0.7480455,0.7480455,0.7480455,0.343315,0.100205
cg00809969,0.2704795,0.2704795,0.2704795,0.2704795,0.2704795,0.2704795,0.2704795,0.2704795,0.2704795,0.755424,0.722646
cg00810292,0.828704,0.828704,0.828704,0.828704,0.828704,0.828704,0.828704,0.828704,0.45627,0.828704,0.828704
cg00819233,0.821001,0.821001,0.821001,0.821001,0.821001,0.821001,0.821001,0.058986,0.821001,0.821001,0.821001
