disease_id,phase,time_range,substrate,disease_severity_class,mechanism,organ_pages_to_link,evidence_anchors,B_cells,naive_B_cells,memory_B_cells,plasma_cells,CD4_T_cells,CD8_T_cells,naive_CD4_T_cells,naive_CD8_T_cells,memory_CD4_T_cells,memory_CD8_T_cells,memory_T_cells_pooled,regulatory_T_cells,NK_cells,neutrophils,eosinophils,basophils,granulocytes_pooled,monocytes,macrophages_peripheral,microglia,kupffer_cells,pulmonary_macrophages,oral_macrophages,dendritic_cells,IC_immune_pooled,leukocyte_pooled,PBMC,Stage1_immune_pooled_Xu538,Stage1_immune_directional_panel,MPP,L_MPP,CMP,GMP,MEP,erythroblast,erythroid_progenitor,nRBC,megakaryocyte,OPC,NeuIm,HSPC_pooled,cortical_neurons,neurons_pooled,oligodendrocytes,cardiomyocytes,left_atrium,kera_diff,epi_upper,NeuMa,brain_pooled,skeletal_muscle,glia,astrocytes,breast_ductal,breast_lobular,breast_secretory_pooled,breast_LE,breast_BE,liver_hepatocytes,liver_bile_duct,cholangiocytes,pancreatic_beta_cells,pancreatic_acinar_cells,pancreatic_duct_cells,pancreatic_endocrine_pooled,pancreatic_exocrine_pooled,prostate_LE,prostate_BE,prostate_Fib,prostate_EC,prostate_SM,prostate_Leu,gastric_differentiated,gastric_antrum_diff,gastric_corpus_diff,gastric_fundus_diff,thyroid,esophageal_glandular,skin_melanocytes,head_neck_larynx_secretory,salivary,gastric_undifferentiated,gastric_antrum_undiff,gastric_corpus_undiff,gastric_fundus_undiff,colon_epithelial,small_intestine,rectal_epithelium,eso_basal,eso_epi_basal,eso_epi_stratified,eso_epi_suprabasal,lung_epithelial,lung_airway,kidney_epithelial,bladder_epithelial,bladder_loyfer_bulk,cervix_uterine,prostate_basal_cycling,breast_basal_cycling,skin_keratinocytes,pancreatic_ductal_cycling,head_neck_larynx,epithelial_cycling_pooled,fibroblasts,endothelial_cells,vascular_endothelial,adipocytes,smooth_muscle,cardiac_fibroblasts,cardiac_endothelial,cardiac_smooth_muscle,cardiac_stromal_pooled,pancreatic_stellate,hepatic_stellate,brain_astrocytes,osteoblasts,BMSC,placenta,mammary_stromal,stromal_pooled,HSC,stem_pluri
colorectal_cancer,near_dx,within 2 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,GSE51032 d=−0.41 at 0-2yr,,,,,-0.3/-0.4,-0.3/-0.4,,,,,,,,,,,,,,,,,,,,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorectal_cancer,at_dx,at clinical diagnosis (blood),whole_blood_buffy_coat,ACTIVE,compartment_flip_at_diagnosis,cycling:colon,VAL-099 paired d=+0.539 age50+ stratum,,,,,+0.539,+0.539,,,,,,,,,,,,,,,,,,,,,,+0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorectal_cancer,tumor_tissue,TCGA-COAD/READ paired,tumor_tissue_paired,ACTIVE_TUMOR,compartment_flip_CCL019_plus_cell_of_origin_CCL039,cycling:colon,"VAL-061 TIL d=+1.07; VAL-062 cycling-class d=+0.7241; VAL-098 TCGA-READ rectal d=+0.612, Colon_epithelial d=−2.50; VAL-099 reproduction Colon_epithelial d=−1.603",+0.5/+1.0,,,,+1.07,+1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.603,,+0.612,,,,,,,,,,,,,,,,+0.7241,,,,,,,,,,,,,,,,,,,
colorectal_cancer,pre_malignant,colorectal polyp / adenoma (GSE282666),tumor_tissue_normalized,PRE_MALIGNANT,O5_data_integrity_flag_CCL040,cycling:colon,VAL-100 GSE282666 polyp PNP- A_immune=0.807 (+15.13 anchor-SD); CCL-040 noob-bg-corrected substrate caveat,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lung_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive,cycling:lung,"VAL-046 UK Biobank cohort-level n=680, VAL-056 Kadota field-effect d=+0.52 at 10mm",,,,,+0.35/+0.50,,,,,,,,,+0.5/+1.0,,,,+0.4/+0.7,,,,,,,,,,+0.35/+0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lung_cancer,tumor_tissue,TCGA-LUAD paired (largest cycling-class tissue effect),tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_smoking_dominant,cycling:lung,VAL-063 paired d=+1.020 p=3.93e-08; ever-smoker stratum d=+1.283; never-smoker n=2 d=+0.57 (underpowered),,,,,+0.7/+1.0,+0.7/+1.0,,,,,,,,+1.0/+1.5,,,,,,,,,,,,,,+1.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.020,+1.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pancreatic_cancer,mid_pre_dx,5-10 years before diagnosis (Rotterdam Study),whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_null_directional_pass_AD_instance,secretory:pancreatic_exocrine,VAL-046 Rotterdam pancreatic n=182,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.0/+0.3,+0.5/+0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,
pancreatic_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_null_directional_pass_AD_instance,secretory:pancreatic_exocrine,VAL-067 GSE49149 n=196 d=+0.25 pooled CI straddles zero; bidirectional pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.25,+0.6/+0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.4/+0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pancreatic_cancer,tumor_tissue,TCGA-PAAD paired (small-n + directional fallback),tumor_tissue_paired,ACTIVE_TUMOR,pooled_null_directional_pass_AD_instance,secretory:pancreatic_exocrine,VAL-066 n=5 d=+1.18; VAL-068 n=7 d=−0.31; VAL-069 directional 324-CpG d=+1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.18,+1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prostate_cancer,at_dx,at clinical diagnosis (GSE269244 EPIC AA n=118),tumor_tissue_paired,ACTIVE,pooled_positive_balanced_bidirectional,secretory:prostate,VAL-058 paired d=+0.4973; VAL-118 reproduction d=+0.5258 (within ±0.10 tolerance),,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prostate_cancer,tumor_tissue,GSE269244 EPIC AA n=118 paired (multi-atlas),tumor_tissue_paired,ACTIVE_TUMOR,cell_of_origin_negative_microenv_positive_CCL039,secretory:prostate,VAL-058 + VAL-117 multi-atlas + VAL-118 reproduction; ProstateRef LE d=−1.78 luminal dedifferentiation,+0.674,,,,+0.659,+0.587,,,,,,,+0.645,+0.39,,,,+0.771,,,,,,,,,,+0.5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78,+0.477,+0.4/+0.6,+0.4/+0.6,+0.4/+0.6,+0.4/+0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,pre_malignant_fibrosis,liver fibrosis,plasma_cfDNA,PRE_MALIGNANT,substrate_restricted_ccfDNA,secretory:liver,VAL-059 GSE298812 dose-response Fib d=+0.44,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,,,+0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,pre_malignant_cirrhosis,cirrhosis,plasma_cfDNA,PRE_MALIGNANT,substrate_restricted_ccfDNA,"secretory:liver,immune:kupffer_cells",VAL-059 GSE298812 Cir d=+0.45,,,,,+0.4/+0.6,,,,,,,,,,,,,,,,+0.5/+1.0,,,,,,,+0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,active_ccfDNA,active disease (substrate-restricted to plasma cfDNA),plasma_cfDNA,ACTIVE,substrate_restricted_ccfDNA_only,"secretory:liver,immune:kupffer_cells",VAL-059 GSE298812 HCC d=+0.634; whole-blood NULL d=−0.156 (substrate transferability flag),,,,,+0.5/+0.8,,,,,,,,,,,,,+0.5/+0.8,+0.5/+1.0,,-0.5/-1.0,,,,,,,+0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,tumor_tissue,TCGA-LIHC paired n=46,tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_etiology_stratified,"secretory:liver,immune:kupffer_cells",VAL-064 paired pooled d=+0.498; non-viral d=+0.664; viral HBV+HCV d=+0.023 (NULL — paired contrast blunting per Villanueva 2015),,,,,,,,,,,,,,,,,,,+1.0/+1.5,,-1.0/-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gastric_cancer,tumor_tissue,TCGA-STAD primary tumor n=395,tumor_tissue,ACTIVE_TUMOR,pooled_positive_substrate_tier3_caveat,"cycling:gastric,secretory:gastric",VAL-126 sealed STAD d=+3.343 vs anchor; subtype hierarchy MSI ≈ EBV > CIN > GS within cohort; CHK-3.2 tier-3 substrate baseline -5.02 anchor-SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,,,+0.5/+1.0,,,,,,,,,,,+0.5/+1.0,,,,,,,,,+0.5/+1.0,,,,,,,,,,,+0.5/+1.0,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
esophageal_cancer_escc,tumor_tissue,TCGA-ESCA primary tumor squamous (n=96),tumor_tissue,ACTIVE_TUMOR,pooled_positive_squamous_subtype_substrate_tier3,cycling:esophagus,VAL-127 within-cohort all-ESCA d=+2.883; ESCC d=+2.644; d_ESCC-EAC=−1.064,,,,,,,,,,,,,,-1.5,-1.5,,,,,,,,,,,,,+2.644,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,-0.99,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,
esophageal_cancer_eac,tumor_tissue,TCGA-ESCA primary tumor adeno (n=89),tumor_tissue,ACTIVE_TUMOR,pooled_positive_adenocarcinoma_subtype_substrate_tier3,cycling:esophagus,VAL-127 within-cohort EAC d=+3.703 (strongest in sprint),,,,,+1.0/+2.0,+1.0/+2.0,,,,,,,,,,,,+1.0/+2.0,+1.0/+2.0,,,,,,,,,+3.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.0/+2.0,,-0.05,,,,,,,,,,,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,
esophageal_cancer_eac,pre_malignant_barretts,Barrett's esophagus precursor,tumor_tissue,PRE_MALIGNANT,pooled_positive_pre_malignant,cycling:esophagus,VAL-127 Barrett-positive within ESCA d=+4.50 vs Barrett-negative d=+2.81 (+1.69 d-units),,,,,,,,,,,,,,,,,,,,,,,,,,,,+4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cervical_cancer,pre_malignant_cin3,CIN3 high-grade dysplasia (Verlaat anchor),tumor_tissue,PRE_MALIGNANT,pooled_positive_HPV_stratified,cycling:cervix,VAL-073 Verlaat monotonic Normal<CIN3<SCC d=+0.7253,,,,,+0.5/+0.7,,,,,,,,,,,,,,,,,,,,,,,+0.5/+0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+0.73,,,,,,,,,,,,,,,,,,,,,,,,,
cervical_cancer,tumor_tissue,invasive cervical cancer SCC,tumor_tissue,ACTIVE_TUMOR,pooled_positive_HPV_stratified,cycling:cervix,VAL-073 d=+0.7253; VAL-074 (HPV-neg normals) d=−0.61; VAL-081 d=−0.43 — cohort heterogeneity per CCL-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.7253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.7253,,,,,,,,,,,,,,,,,,,,,,,,,
bladder_cancer,tumor_tissue,"TCGA-BLCA n=440, n=21 paired",tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_loudest_immune_in_cookbook,cycling:bladder,VAL-119/120/121/122; VAL-120 paired d=+1.90 (3.8x louder than prostate); VAL-121 BladderRef Epi d=−1.46; VAL-122 Salas IDOL all 6/6 POSITIVE,+1.15,,,,+0.5/+1.0,+0.5/+1.0,,,,,,,+0.79,+1.24,,,,+1.13,+0.5/+1.0,,,,,,+0.5905,,,+1.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.46,+1.91,,,,,,,,+0.3691,+0.4069,,,,,,,,,,,,,,,,,
kidney_cancer,tumor_tissue,predicted; v0.1 card pending,tumor_tissue,ACTIVE_TUMOR,pooled_positive_cycling_predicted,cycling:kidney,immune-atlas Section 5 PREDICTED d=+0.30/+0.50; VAL-106 calibration anchor (KIRC adjacent-normal),,,,,+0.30/+0.50,,,,,,,,,,,,,,,,,,,,,,,+0.30/+0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glioma_lgg,active,low-grade glioma at diagnosis,whole_blood_buffy_coat,ACTIVE,pooled_positive_orthogonal_to_cellfraction,"terminal:cortical_neurons,immune:microglia","VAL-088 pre-surgery LGG d=+1.25; VAL-090 LGG cortical-neuron 1.292% d=+1.96; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,+1.25,,,,,,,,,+1.0/+1.5,,,,,,+0.5/+1.5,,,,,,,,+1.25,,,,,,,,,,,,,,+1.96,,,,,,,,,,+0.5/+1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
