IlmnID,CHR,MAPINFO
cg00002810,1,57888706
cg00002837,1,44513357
cg00002907,10,22829117
cg00002926,16,20796362
cg00002930,6,31515397
cg00002934,7,6570990
cg00002979,12,95929182
cg00003009,2,25943965
cg00003014,3,197279818
cg00003036,8,132054734
cg00003091,4,1715003
cg00003167,12,56742754
cg00003173,3,14166749
cg00003181,6,146157366
cg00003187,1,8739980
cg00003202,1,151319511
cg00003241,7,157382311
cg00003266,2,42543152
cg00003287,1,201346148
cg00003298,12,113901209
cg00003305,19,30715644
cg00003345,1,10816498
cg00003407,17,42144169
cg00003432,2,86279781
cg00003513,1,10757435
cg00003529,3,149510114
cg00003555,7,142985451
cg00003578,1,12600528
cg00003622,16,10834205
cg00003625,17,48912542
cg00003640,1,210125753
cg00003722,10,4500433
cg00003758,2,234338993
cg00003784,17,62503071
cg00003818,19,17336524
cg00003858,1,45080599
cg00003900,16,2897073
cg00003911,5,38596398
cg00003929,5,66484832
cg00003937,1,19631742
cg00003944,18,77796249
cg00003965,3,108476877
cg00003969,15,82925332
cg00003994,7,15725861
cg00003999,2,196538160
cg00004031,X,139770906
cg00004055,16,66586744
cg00004061,6,81797193
cg00004067,3,36981713
cg00004072,19,39898014
cg00004073,2,237027591
cg00004082,4,10020359
cg00004089,17,74678835
cg00004105,10,100022607
cg00004121,1,142618999
cg00004175,12,2333160
cg00004192,22,21398552
cg00004207,2,38977300
cg00004209,1,17004266
cg00004219,12,132536832
cg00004255,21,23450268
cg00004257,1,34629174
cg00004260,7,35031740
cg00004306,6,132938376
cg00004322,15,51530188
cg00004421,17,7475078
cg00004429,9,140681205
cg00004438,16,70398595
cg00004454,2,241861873
cg00004533,21,45402463
cg00004562,6,31089292
cg00004608,6,134272462
cg00004633,11,848749
cg00004667,1,16292745
cg00004693,10,54322213
cg00004700,2,106013884
cg00004723,19,19555406
cg00004747,14,64096593
cg00004771,6,72294825
cg00004778,15,80952889
cg00004786,4,28997412
cg00004806,6,161558104
cg00004818,4,178364145
cg00004821,18,47460658
cg00004836,7,157155663
cg00004859,3,110612893
cg00004883,16,75148459
cg00004905,1,116004297
cg00004915,5,180470516
cg00004939,14,69261660
cg00004963,6,147124995
cg00004979,12,111885465
cg00004996,8,17271534
cg00005010,16,56691848
cg00005040,6,127439205
cg00005072,16,89371981
cg00005077,10,46168235
cg00005083,6,46655542
cg00005112,16,69958839
cg00005164,19,35511521
cg00005166,16,3264441
cg00005215,18,61223376
cg00005249,17,55230906
cg00005297,4,3465366
cg00005306,16,30709565
cg00005325,1,201684966
cg00005347,11,112087134
cg00005354,8,27713726
cg00005390,16,2569280
cg00005423,7,150499079
cg00005434,1,74664455
cg00005437,17,18010739
cg00005440,16,8885905
cg00005461,3,46131479
cg00005502,10,43652151
cg00005541,12,133009862
cg00005543,6,170151631
cg00005549,13,58198536
cg00005579,1,161352829
cg00005597,14,70102930
cg00005599,14,22974296
cg00005617,X,68059897
cg00005619,11,47608721
cg00005622,8,145180402
cg00005631,6,134957461
cg00005644,7,933880
cg00005734,7,39662047
cg00005740,13,24079417
cg00005817,4,75168740
cg00005849,2,237071181
cg00005854,19,2242096
cg00005861,10,112068220
cg00005876,3,61814066
cg00005888,22,47531181
cg00005893,6,158508542
cg00005986,6,27162288
cg00006032,14,66974438
cg00006040,11,63600051
cg00006081,10,124908906
cg00006090,16,72206654
cg00006122,12,52463315
cg00006166,2,231751016
cg00006183,5,151038877
cg00006198,1,154476305
cg00006299,7,117451011
cg00006301,10,62332793
cg00006378,12,110531862
cg00006387,11,11284118
cg00006397,1,160336698
cg00006414,7,148822836
cg00006459,4,148635715
cg00006468,11,102720501
cg00006480,11,37132176
cg00006600,15,85985204
cg00006609,19,2010307
cg00006626,1,154127461
cg00006713,11,60919285
cg00006735,9,138306332
cg00006771,11,122539624
cg00006775,4,76894886
cg00006787,13,110533440
cg00006815,X,103810907
cg00006828,3,146324072
cg00006848,X,146646783
cg00006867,15,90066805
cg00006884,7,23637029
cg00006899,14,103483020
cg00006926,18,46626639
cg00006948,4,1768888
cg00007021,8,101819245
cg00007032,13,30002628
cg00007036,1,33742088
cg00007064,9,124974152
cg00007076,8,67342599
cg00007127,11,108407746
cg00007205,4,87292106
cg00007215,17,21416280
cg00007221,1,43999019
cg00007226,14,105781365
cg00007239,4,165877044
cg00007266,17,21199767
cg00007269,19,2945105
cg00007300,14,24521433
cg00007317,4,142248060
cg00007324,19,4047802
cg00007326,19,13366045
cg00007420,6,99796731
cg00007426,2,240404781
cg00007466,19,7585085
cg00007540,14,103609264
cg00007644,11,20623258
cg00007675,8,37606578
cg00007800,1,1838517
cg00007809,2,242275776
cg00007810,12,49113737
cg00007898,1,205180626
cg00007932,13,47171976
cg00007981,11,93862593
cg00007987,19,56156429
cg00008004,1,153756118
cg00008033,19,52429979
cg00008034,8,139738152
cg00008036,1,179712090
cg00008075,5,126938798
cg00008103,2,202009321
cg00008254,1,12676744
cg00008282,7,44366651
cg00008345,2,232643842
cg00008364,17,28152859
cg00008369,22,41635792
cg00008387,16,50059010
cg00008404,9,138563418
cg00008446,1,156815773
cg00008452,12,99126268
cg00008488,5,175199914
cg00008493,14,93813776
cg00008500,14,98383718
cg00008564,6,27830390
cg00008612,13,60726242
cg00008621,14,62179982
cg00008629,9,115093660
cg00008647,1,207082899
cg00008665,3,43146779
cg00008671,10,86087960
cg00008695,8,960720
cg00008713,18,11980952
cg00008737,19,51021199
cg00008795,16,50702112
cg00008800,2,38710170
cg00008810,1,53924762
cg00008819,4,3257790
cg00008893,2,72263056
cg00008916,13,29596376
cg00008932,X,71498596
cg00008945,X,80377378
cg00008956,2,109335125
cg00008971,1,45966924
cg00008985,16,86417977
cg00009001,12,120151889
cg00009038,2,132152166
cg00009053,11,61283864
cg00009085,7,155473358
cg00009088,11,60930187
cg00009163,1,192831061
cg00009167,1,109656432
cg00009196,20,19954587
cg00009200,15,40121850
cg00009214,12,16064568
cg00009292,1,50882081
cg00009293,7,44151171
cg00009304,11,4871186
cg00009306,14,22989582
cg00009349,14,22674548
cg00009352,3,197712357
cg00009364,14,56586027
cg00009407,14,89290920
cg00009412,2,118572391
cg00009421,2,44065570
cg00009436,4,186402630
cg00009523,2,1165350
cg00009528,6,76134610
cg00009553,16,61854083
cg00009556,9,139888271
cg00009585,15,33111076
cg00009602,3,183046809
cg00009629,11,70486651
cg00009644,1,189399072
cg00009714,3,197845009
cg00009733,4,77652443
cg00009737,4,77624121
cg00009750,2,202730891
cg00009786,20,35905123
cg00009796,16,33318909
cg00009817,10,55239663
cg00009834,1,1347670
cg00009871,13,103532259
cg00009916,1,65613818
cg00009919,7,44318618
cg00009922,13,110867375
cg00009927,16,1157222
cg00009944,21,48017231
cg00009945,8,117559923
cg00010046,16,88729479
cg00010078,2,109967171
cg00010096,6,128837495
cg00010108,4,1615270
cg00010168,10,99258641
cg00010187,10,43922866
cg00010201,3,98287105
cg00010207,7,112126059
cg00010242,14,81580764
cg00010266,8,145734518
cg00010288,14,88469008
cg00010312,8,18704868
cg00010445,19,14089629
cg00010506,2,234227981
cg00010529,1,200638050
cg00010533,7,99063855
cg00010572,2,8345012
cg00010583,19,48467053
cg00010654,1,45476117
cg00010659,6,10723145
cg00010664,20,40645203
cg00010672,2,55281780
cg00010734,6,133258884
cg00010738,2,54506519
cg00010742,1,91182988
cg00010743,4,97231660
cg00010789,2,232321340
cg00010810,2,187046831
cg00010848,6,3284422
cg00010853,6,30653166
cg00010890,12,76406512
cg00010900,20,39929139
cg00010940,5,38149321
cg00010946,3,157819281
cg00010947,4,84377399
cg00010954,16,54620054
cg00010992,4,90032981
cg00011093,6,71482988
cg00011113,7,127877085
cg00011122,16,11439026
cg00011173,18,67910484
cg00011200,X,48380233
cg00011203,1,9259065
cg00011225,2,219738313
cg00011239,2,20876219
cg00011247,8,64081000
cg00011274,13,73843062
cg00011284,16,53469343
cg00011345,2,239957888
cg00011346,2,213403858
cg00011350,12,49444295
cg00011459,16,8890424
cg00011460,4,40439821
cg00011461,12,57432409
cg00011482,14,37128789
cg00011513,1,152484385
cg00011564,16,3591727
cg00011574,19,17596904
cg00011578,19,46850431
cg00011605,16,85193528
cg00011616,17,75672422
cg00011717,1,5918461
cg00011740,16,49311902
cg00011754,3,14584787
cg00011762,11,56411396
cg00011777,12,126830756
cg00011794,5,10510227
cg00011810,5,57285473
cg00011855,13,114199891
cg00011856,2,217560945
cg00011861,14,103607264
cg00011891,X,153714659
cg00011905,3,25658741
cg00011918,11,69911375
cg00011924,17,8301191
cg00011943,20,24686277
cg00011994,6,30711903
cg00012036,17,73775611
cg00012100,4,83559826
cg00012123,5,667618
cg00012126,2,193061252
cg00012148,6,54172996
cg00012168,1,228984682
cg00012194,22,50720287
cg00012199,14,21151023
cg00012203,2,219082014
cg00012238,18,21718457
cg00012317,1,149370973
cg00012362,1,153599486
cg00012386,1,227922511
cg00012395,X,129472060
cg00012397,11,17756434
cg00012469,7,140771418
cg00012521,7,30540209
cg00012522,15,98503951
cg00012525,5,111683252
cg00012529,12,132896896
cg00012532,1,246852603
cg00012536,19,33835237
cg00012576,13,94568319
cg00012587,17,7059821
cg00012667,20,42075045
cg00012668,14,62053417
cg00012680,X,135251565
cg00012692,13,20805486
cg00012698,15,34158766
cg00012701,6,30434337
cg00012708,5,1499413
cg00012722,9,136988168
cg00012761,1,64465736
cg00012762,17,72744648
cg00012824,5,142065097
cg00012840,22,42558524
cg00012868,19,43710212
cg00012920,17,73911256
cg00012960,16,411010
cg00012992,14,61788344
cg00013006,11,4389855
cg00013015,6,33866315
cg00013196,8,88885253
cg00013255,3,123009039
cg00013301,4,72894732
cg00013302,3,149809004
cg00013349,1,77049379
cg00013369,1,192857593
cg00013374,7,100730519
cg00013386,3,40498592
cg00013409,1,38231979
cg00013410,17,60142591
cg00013423,16,27256768
cg00013441,12,123258907
cg00013451,8,23711588
cg00013475,2,71680720
cg00013530,3,50266326
cg00013540,7,74508805
cg00013543,6,32042657
cg00013569,17,80615691
cg00013618,22,22380838
cg00013655,16,629014
cg00013660,9,140068769
cg00013677,22,23221385
cg00013684,20,30279645
cg00013688,9,73216094
cg00013702,17,61015067
cg00013733,19,1423272
cg00013759,7,151487734
cg00013804,2,9358576
cg00013809,7,158249710
cg00013831,10,126420351
cg00013899,1,64992432
cg00013936,6,127624024
cg00013949,8,141716292
cg00013952,11,66563343
cg00013991,3,193379318
cg00013993,19,7533809
cg00014020,19,18344739
cg00014085,2,85581504
cg00014104,22,22220366
cg00014112,2,127413529
cg00014118,1,1935560
cg00014152,X,48457127
cg00014168,1,6511877
cg00014176,15,74315105
cg00014194,9,137978762
cg00014203,17,7757968
cg00014260,8,10383070
cg00014272,19,2329226
cg00014278,2,9301190
cg00014285,2,200716174
cg00014289,11,124709874
cg00014301,2,3327026
cg00014327,6,57087283
cg00014333,8,20130022
cg00014340,5,114517236
cg00014377,7,101364175
cg00014380,16,4424289
cg00014434,9,130921863
cg00014445,1,44034052
cg00014467,20,44081017
cg00014484,12,131865278
cg00014502,9,75405916
cg00014561,16,56762905
cg00014638,10,94113650
cg00014665,8,142243059
cg00014667,13,113805720
cg00014733,22,29730658
cg00014748,6,58777303
cg00014786,7,6614944
cg00014806,19,2475657
cg00014825,17,65602809
cg00014830,17,77765732
cg00014837,12,6757256
cg00014848,4,631688
cg00014893,20,22456202
cg00014900,1,44438410
cg00014931,18,74871035
cg00014986,17,79849734
cg00014991,6,56246719
cg00014996,18,158347
cg00014998,2,177014961
cg00015002,8,16988112
cg00015024,10,97803044
cg00015058,2,66652948
cg00015081,3,157557638
cg00015121,14,24024632
cg00015159,3,99584047
cg00015189,2,4188399
cg00015193,15,74588504
cg00015219,17,4613812
cg00015286,1,39112661
cg00015289,11,69325490
cg00015319,12,54500831
cg00015343,11,44786265
cg00015373,9,134247287
cg00015383,12,101441814
cg00015530,8,145052949
cg00015572,6,28479501
cg00015603,2,241069872
cg00015629,20,44640512
cg00015639,14,24554538
cg00015664,9,140655654
cg00015699,12,90313588
cg00015770,4,122302006
cg00015791,18,31802147
cg00015798,3,157008723
cg00015801,4,170175973
cg00015838,3,9490168
cg00015930,1,46921745
cg00015991,3,131221866
cg00016012,6,44144122
cg00016048,4,8308991
cg00016066,15,57210657
cg00016127,11,56310670
cg00016156,5,170815182
cg00016223,6,36515006
cg00016226,11,120008938
cg00016238,1,244374064
cg00016255,17,41133927
cg00016324,2,144223681
cg00016360,7,21582130
cg00016406,14,104643442
cg00016418,5,82840804
cg00016439,18,55018649
cg00016481,8,77768352
cg00016498,17,40307047
cg00016522,X,149737875
cg00016538,16,4004020
cg00016563,18,61313911
cg00016576,9,128420225
cg00016593,1,41483422
cg00016625,16,33935638
cg00016718,6,49405489
cg00016778,14,54006359
cg00016783,2,8936683
cg00016802,6,7339454
cg00016814,7,145875025
cg00016841,16,31499478
cg00016892,19,41948652
cg00016913,17,27369891
cg00016934,X,40035960
cg00016968,1,113250447
cg00017002,6,28249250
cg00017004,X,152040288
cg00017033,14,60559006
cg00017059,2,45797254
cg00017099,X,153057869
cg00017110,X,150123345
cg00017121,17,38244554
cg00017157,1,167127352
cg00017188,17,38375746
cg00017203,8,145000032
cg00017221,1,149719535
cg00017271,17,76220742
cg00017362,8,19711802
cg00017363,10,8277522
cg00017389,1,151500628
cg00017429,14,98170159
cg00017437,1,2706334
cg00017441,19,18220972
cg00017461,22,30663315
cg00017475,9,136131706
cg00017489,7,153583317
cg00017507,12,109097978
cg00017546,1,28659474
cg00017557,6,10687885
cg00017562,6,164769885
cg00017578,1,30838663
cg00017595,4,166152012
cg00017601,8,27288038
cg00017630,3,126216670
cg00017639,15,85438981
cg00017709,6,99638131
cg00017826,2,30644954
cg00017842,2,119528420
cg00017851,2,106351194
cg00017853,2,242913408
cg00017887,17,18245080
cg00017931,6,157932179
cg00017970,1,26487736
cg00018010,17,20105625
cg00018024,10,134600847
cg00018034,13,78271042
cg00018044,18,19109495
cg00018049,6,50112488
cg00018103,1,29513748
cg00018107,3,6785372
cg00018128,2,162275745
cg00018179,15,72521158
cg00018181,7,101931733
cg00018204,X,151128775
cg00018212,4,104104012
cg00018216,17,60902460
cg00018229,1,231113418
cg00018232,3,179333462
cg00018245,7,76709078
cg00018261,X,117957688
cg00018276,9,107954217
cg00018305,17,80539085
cg00018391,1,183787015
cg00018443,1,36507449
cg00018446,5,142466473
cg00018524,2,110370906
cg00018539,7,2632688
cg00018557,17,43238883
cg00018572,13,77386496
cg00018606,2,208989424
cg00018635,2,1770191
cg00018667,19,53502606
cg00018674,9,87091349
cg00018682,8,11359568
cg00018696,8,3046482
cg00018739,12,124459489
cg00018758,14,54936773
cg00018767,3,183693808
cg00018783,1,54868742
cg00018792,7,63667462
cg00018799,17,52847066
cg00018828,16,1245910
cg00018845,14,38067964
cg00018850,14,73066920
cg00018896,13,25671475
cg00019082,3,11057499
cg00019085,12,120933844
cg00019091,12,112934407
cg00019093,13,30424931
cg00019118,12,132851517
cg00019137,19,41103106
cg00019141,3,32433309
cg00019151,1,173470148
cg00019168,X,45612344
cg00019196,13,46426201
cg00019275,19,35249216
cg00019301,4,123843793
cg00019308,1,234906903
cg00019351,9,111238157
cg00019366,12,130623365
cg00019377,19,41035023
cg00019458,1,7887941
cg00019463,15,59279702
cg00019511,14,101201287
cg00019553,10,95097285
cg00019576,8,144337536
cg00019607,12,132282182
cg00019654,14,82148288
cg00019678,12,110154228
cg00019746,9,117482511
cg00019759,1,212687841
cg00019809,18,33647528
cg00019826,4,1554148
cg00019838,16,6571082
cg00019841,18,48256145
cg00019877,9,115773737
cg00019880,17,53832577
cg00019891,1,60336369
cg00019997,7,108025566
cg00020049,15,62625858
cg00020052,2,68546898
cg00020063,5,177704544
cg00020133,12,787938
cg00020172,6,31050372
cg00020175,15,71124692
cg00020191,12,79258082
cg00020229,9,109771269
cg00020297,6,17600382
cg00020340,7,910387
cg00020348,7,142749541
cg00020383,20,17442843
cg00020390,7,100727887
cg00020405,5,65439519
cg00020419,6,43273547
cg00020438,18,1438823
cg00020446,12,124585443
cg00020450,5,141245449
cg00020474,1,8214962
cg00020590,2,173891946
cg00020617,4,185923876
cg00020622,2,144694679
cg00020649,15,28341561
cg00020720,1,84972481
cg00020778,12,109825144
cg00020794,16,88824569
cg00020799,12,94565091
cg00020807,14,95982443
cg00020864,17,73471672
cg00020893,11,62390807
cg00020967,5,177773814
cg00020991,4,169930428
cg00021022,18,66099915
cg00021023,2,204630230
cg00021028,21,45209229
cg00021030,17,27225769
cg00021044,4,42316847
cg00021101,3,98531992
cg00021108,14,92980025
cg00021123,1,16945448
cg00021152,8,26367087
cg00021157,11,70845411
cg00021166,12,27676701
cg00021237,8,67525848
cg00021242,15,29773424
cg00021256,2,219848372
cg00021264,2,85779670
cg00021275,2,128142154
cg00021325,14,91294411
cg00021340,6,125791239
cg00021350,7,107531383
cg00021413,16,15876894
cg00021476,16,85660214
cg00021513,16,85214745
cg00021527,17,34136179
cg00021532,16,4324279
cg00021539,6,37225412
cg00021540,17,75084648
cg00021550,1,54209079
cg00021558,12,52262964
cg00021576,1,244211965
cg00021581,14,88959371
cg00021600,16,84003606
cg00021659,2,161996384
cg00021663,4,24282836
cg00021712,11,71901672
cg00021762,22,27832683
cg00021764,10,121262233
cg00021766,14,93352500
cg00021783,15,43398580
cg00021786,X,31090305
cg00021837,13,53059019
cg00021853,7,31803097
cg00021855,8,144690955
cg00021878,11,125251941
cg00021892,1,153582520
cg00021895,17,80407703
cg00021933,1,86082315
cg00021944,10,104005239
cg00021945,19,52430919
cg00022021,3,186926459
cg00022024,9,138800323
cg00022054,1,48177260
cg00022059,17,40055141
cg00022064,X,40906132
cg00022076,16,68293989
cg00022101,10,129079551
cg00022138,20,42085878
cg00022145,22,49452166
cg00022218,3,107241754
cg00022235,16,11764846
cg00022259,12,133385283
cg00022262,12,132959563
cg00022264,5,52662007
cg00022308,2,27851830
cg00022315,1,201070605
cg00022318,1,37376083
cg00022401,17,9930879
cg00022492,15,41055529
cg00022510,3,155760532
cg00022592,1,230716784
cg00022594,19,15512549
cg00022606,20,442444
cg00022633,13,26827876
cg00022642,1,231377609
cg00022688,10,114136010
cg00022826,4,47840732
cg00022866,11,64108439
cg00022871,17,43884357
cg00022900,8,94143533
cg00022908,1,184507735
cg00022911,19,19372391
cg00022938,10,65133288
cg00022966,1,205747924
cg00023001,17,55938747
cg00023003,20,15780598
cg00023024,1,23521271
cg00023056,16,58059316
cg00023132,3,69133947
cg00023154,1,44872462
cg00023168,19,44669067
cg00023174,19,12202385
cg00023185,8,65489938
cg00023196,7,158107179
cg00023197,20,45280242
cg00023231,7,156688214
cg00023233,10,126077697
cg00023288,2,44223283
cg00023301,19,22737293
cg00023304,16,57281116
cg00023321,6,31511362
cg00023345,17,61518491
cg00023351,12,79187937
cg00023363,8,134590223
cg00023411,2,72126421
cg00023415,X,48435151
cg00023464,13,111267666
cg00023507,6,33276464
cg00023523,18,30459544
cg00023526,9,23825846
cg00023648,10,50265467
cg00023673,16,86755631
cg00023695,15,75230593
cg00023702,1,114496770
cg00023726,1,2839934
cg00023728,4,6329772
cg00023750,16,29211283
cg00023804,1,155862918
cg00023808,7,101944555
cg00023826,2,97493490
cg00023828,17,19708150
cg00023916,16,19485517
cg00023919,11,66839190
cg00023948,4,40427691
cg00024046,2,20398357
cg00024049,21,34960005
cg00024086,7,156814490
cg00024102,7,3132246
cg00024170,16,71894377
cg00024198,1,2443576
cg00024244,12,46661958
cg00024247,13,93744607
cg00024269,13,50961670
cg00024280,19,17501256
cg00024304,9,138772549
cg00024313,8,80605836
cg00024361,15,77817055
cg00024367,8,37623730
cg00024377,18,3666161
cg00024396,6,53214007
cg00024404,5,79552469
cg00024416,22,24240386
cg00024437,4,146828471
cg00024443,16,21569472
cg00024456,1,201981373
cg00024471,3,188692546
cg00024472,17,47573863
cg00024494,16,73096841
cg00024515,3,185455972
cg00024516,4,123506193
cg00024674,18,42606303
cg00024701,9,100459800
cg00024705,2,32667476
cg00024720,1,224727818
cg00024722,15,32163259
cg00024740,9,125869335
cg00024790,16,22385411
cg00024792,2,72155467
cg00024812,2,9564247
cg00024870,2,43039927
cg00024937,1,192848661
cg00024967,3,169377817
cg00024989,19,17902241
cg00024998,20,56256841
cg00025002,7,149187415
cg00025063,5,177628817
cg00025138,14,71275916
cg00025155,3,61379581
cg00025185,15,99550858
cg00025197,2,240387065
cg00025211,1,145588626
cg00025216,5,118781383
cg00025278,11,17429270
cg00025328,11,66405054
cg00025331,2,145147349
cg00025347,8,42359991
cg00025354,19,38586473
cg00025357,1,17577454
cg00025405,5,2135862
cg00025436,12,56660491
cg00025439,16,87856449
cg00025496,17,1057342
cg00025518,4,110570733
cg00025526,8,134783218
cg00025590,11,64850920
cg00025591,21,48026042
cg00025626,2,239049391
cg00025643,1,37904693
cg00025647,3,147077126
cg00025663,2,10827684
cg00025680,2,45180559
cg00025715,19,58597096
cg00025751,13,102376106
cg00025795,17,77983155
cg00025823,17,43909150
cg00025877,6,34164283
cg00025972,4,187762311
cg00025981,13,42031280
cg00025982,13,47652871
cg00025987,X,15512018
cg00025991,10,736624
cg00026030,21,34100438
cg00026104,16,85855298
cg00026119,12,124270438
cg00026141,3,191579257
cg00026183,9,140974473
cg00026222,1,2144243
cg00026230,16,30064605
cg00026239,20,8286496
cg00026290,4,10686553
cg00026302,3,42530597
cg00026327,17,79056182
cg00026341,6,49845520
cg00026346,15,42267274
cg00026362,6,43858740
cg00026363,4,154720945
cg00026374,6,35464535
cg00026375,6,30227812
cg00026401,6,40445698
cg00026412,10,62059893
cg00026455,16,90032735
cg00026457,1,200116735
cg00026458,2,207633744
cg00026472,5,176074315
cg00026474,8,134585499
cg00026546,1,33354784
cg00026553,15,90562838
cg00026554,11,62573813
cg00026570,19,35047548
cg00026603,13,73141876
cg00026703,15,96870029
cg00026729,7,112758919
cg00026731,18,55254091
cg00026776,6,32278652
cg00026803,1,160055252
cg00026853,16,30934155
cg00026857,12,6619802
cg00026891,17,39769293
cg00026909,1,58089000
cg00026919,13,40226030
cg00026920,14,101409591
cg00026958,14,64214752
cg00026974,17,42298150
cg00027029,3,170783227
cg00027038,10,12397122
cg00027076,X,65897390
cg00027081,2,3325157
cg00027083,18,5543800
cg00027114,7,42740485
cg00027155,16,11099198
cg00027162,7,151087725
cg00027232,2,85547230
cg00027294,3,49724571
cg00027400,18,49866411
cg00027420,11,34642670
cg00027454,X,46740284
cg00027466,1,156269047
cg00027499,16,30759506
cg00027570,1,117306668
cg00027586,18,76148675
cg00027619,2,46948733
cg00027637,1,226900520
cg00027650,15,57510574
cg00027662,16,21820171
cg00027669,17,37382698
cg00027674,11,87908896
cg00027712,13,99668128
cg00027729,16,31285772
cg00027745,7,1452677
cg00027808,12,49183318
cg00027842,1,6912823
cg00027940,1,22741049
cg00027948,12,56531333
cg00027990,19,18368367
cg00027995,15,39888092
cg00028013,15,74218696
cg00028014,2,201601405
cg00028022,1,246984572
cg00028034,20,30779306
cg00028056,2,220407170
cg00028060,6,114160742
cg00028135,3,114343672
cg00028184,1,222638643
cg00028211,2,45028801
cg00028232,4,1540468
cg00028250,1,198952195
cg00028251,6,119397401
cg00028299,8,59170967
cg00028302,10,43306954
cg00028308,12,54090753
cg00028318,6,29570738
cg00028336,4,186741787
cg00028338,4,1952722
cg00028429,15,101273478
cg00028431,8,125564371
cg00028455,6,126112405
cg00028467,16,27390689
cg00028480,20,23007247
cg00028487,19,53030710
cg00028507,1,2918105
cg00028515,3,187548755
cg00028550,17,55730048
cg00028595,12,64492783
cg00028598,15,27128632
cg00028636,12,6876320
cg00028677,15,55884657
cg00028678,2,131674174
cg00028749,13,103451643
cg00028757,6,31848497
cg00028813,8,9205351
cg00028829,16,58768410
cg00028844,20,43938183
cg00028870,3,138634860
cg00028881,6,31632938
cg00028899,5,149563152
cg00028918,5,159200478
cg00028929,12,52908477
cg00028935,3,147114405
cg00028993,19,48247713
cg00029031,1,175440457
cg00029052,16,19566217
cg00029150,3,195946347
cg00029161,7,75268281
cg00029163,14,22355893
cg00029229,3,40722889
cg00029233,17,43227452
cg00029246,7,137223416
cg00029256,19,46143347
cg00029284,12,111731202
cg00029336,2,178994308
cg00029353,12,52241040
cg00029397,12,57940956
cg00029451,12,7636166
cg00029458,19,13372995
cg00029465,11,34215140
cg00029521,6,39272633
cg00029583,8,1443907
cg00029587,14,95703787
cg00029597,7,129209376
cg00029640,19,35770140
cg00029647,3,52821390
cg00029648,2,45181634
cg00029678,17,78354381
cg00029694,6,7939580
cg00029701,11,122751218
cg00029751,20,34597823
cg00029812,17,40086366
cg00029821,6,147374492
cg00029822,15,75871729
cg00029825,16,31500438
cg00029826,14,20801458
cg00029831,8,145653348
cg00029855,4,21197392
cg00029922,2,192030586
cg00029928,6,133080437
cg00029931,X,100645740
cg00029943,2,20636990
cg00029973,17,3501740
cg00029979,17,49027094
cg00030005,7,155129408
cg00030047,1,6268789
cg00030074,17,12044493
cg00030117,2,119980248
cg00030125,X,125299402
cg00030176,6,29760783
cg00030290,2,8717172
cg00030291,7,8302093
cg00030296,17,75318731
cg00030420,5,140683771
cg00030422,3,38080703
cg00030423,19,29704212
cg00030427,6,169562539
